code,p2002,p2003,p2004,p2005,p2006,p2007,p2008,p2009,p2010,p2011,p2012,p2013,p2014,p2015,p2016
S01009758,31.51,21.19,36.58,19.78,26.74,32.47,20.17,17.99,18.11,20.03,6.54,6.3,10.94,14.33,11.15
S01009759,94,46.84,64.22,50.27,68.18,68.55,34.17,60.57,60.24,40.44,39.73,32.92,19.85,11.1,20.39
S01009760,56.58,88.66,70.95,88.34,86.69,58.75,25.52,30.47,32.29,34.48,38.12,40.84,33.49,18.74,27.09
S01009761,36.68,35.25,38.28,39.94,30.22,19.86,16.4,16.86,28.16,41.57,18.66,14.4,5.62,9.06,6.98
S01009762,67.92,56.79,45.3,61.43,55.17,33.72,39.24,31.8,30.17,37.8,35.52,17.17,21.6,19.96,21.42
S01009763,9.95,19.93,13.29,18.21,12.83,26.87,41.6,19.61,15.44,40,11.33,10.42,8.96,8.74,5.1
S01009764,103.04,58.75,51.11,48.28,49.76,69.4,48.64,24.78,32.36,37.27,23.32,22.5,21.19,14.66,30.57
S01009765,76.03,54.05,40.49,42.32,44.88,40.84,20.41,22.02,23.81,31.53,18.66,27.48,11.55,14.61,21.78
S01009766,60.33,32.51,39.66,43.33,54.59,41.03,64.03,20.52,45.3,39.37,22.23,20.18,11.36,20.6,21.28
S01009767,310.82,219.39,228.45,131.62,198.95,230.11,187.01,150.48,142.32,149.6,106.9,101.89,128.25,117.74,93.41
S01009768,112.47,73.77,178.42,144.33,78.25,63.74,80.39,51.75,46.12,32.36,18.09,28.17,17.88,28.65,12.16
S01009769,109.98,105.66,122.47,75.02,88.4,93.1,85.41,61.38,71.33,140.71,76.49,56.73,48.63,37.07,42.7
S01009770,23.42,13.87,22.35,15.11,21.68,38.85,26.09,20.11,22.89,24.79,15.38,32.95,13.14,17.73,13.31
S01009771,80.66,25.08,13.09,20.34,21.3,30.13,15.52,10.94,19.82,24.66,9.5,18.2,5.76,13.65,15.05
S01009772,61.67,47.23,100.51,124.32,71.67,46.89,37.03,28.17,30.04,17.21,16.7,8.98,17.29,10.23,13.08
S01009773,0,0,0,0,9.87,22.54,12.46,16.73,20.75,33.17,29.11,21.37,22.5,21.71,18.13
S01009774,0,0,0,0,0,0,27.84,13.08,28.53,17.65,22.25,19.33,8.49,16.72,9.72
S01009775,212.02,149.94,148.35,167.99,93.92,194.03,422.62,471.15,548.83,656.21,449.48,476.19,449.26,451.52,500.69
S01009776,78.21,99.95,58.5,69.77,133.76,56.9,52.12,61.37,39.78,36.08,31.64,31.34,24.02,24.5,21.08
S01009777,90.55,67.11,68.42,51.59,70.47,62.06,75.15,60.72,57.51,73.11,30.86,27.03,50.19,22.81,41.26
S01009778,60.12,77.94,71.08,58.68,52.19,36.39,57.36,50.72,44.9,35.5,23.06,29.45,21.9,28.01,41.92
S01009779,111.53,100.91,79.03,121.59,107.76,66.83,124.63,93.16,74.4,88.01,49.64,41.59,26.46,35.71,35.48
S01009780,276.51,158.06,224.29,281.65,133.4,93.43,46.69,87.64,96.91,35.59,33.35,46.34,31.52,21.65,33.24
S01009781,50.63,64.7,93.58,123.34,71.01,49.36,50.96,36.88,66.67,67.14,48.78,41.07,44.25,22.07,24.43
S01009782,183.26,120.67,112.95,174.63,118.21,168.8,55.31,75.44,57.99,42.46,31.26,63.72,46.24,33.83,24.13
S01009783,37.86,71.56,76.33,82.05,69.25,84.34,55.9,47.57,52.41,31.21,36.08,36.01,65.83,21.22,12.93
S01009784,63.71,49.75,28.3,68.6,57.1,46.6,56.72,49.24,47.98,51.21,20.24,41.55,33.06,32.08,36.78
S01009785,72.35,71.22,81.17,71.6,79.72,52.31,62.2,60.61,91.91,56.32,23.43,42.27,35.49,34.87,43.97
S01009786,50.25,53.37,48.95,52.79,45.45,68.69,49.75,56.94,51.05,45.17,19.01,47.3,27.66,21.25,36.96
S01009787,46.56,42.75,39.58,62.63,39.52,39.24,50.79,62.5,35.84,48.55,53,42.53,32.73,37.83,40.9
S01009788,17.2,35.05,27.75,30.01,22.55,35.09,45.03,25.11,35.42,32.53,22.39,16.91,21.33,18.93,22.91
S01009789,44.37,50.54,58.49,46.07,50.62,51.57,30.89,49.18,36.16,32.84,25.55,26.65,20.93,22.99,40.7
S01009790,44.73,40.54,36.67,41.8,29.19,33.06,40.27,59.31,35.95,27.24,18.84,17.3,10.87,15.77,28.39
S01009791,56.55,47.75,90.14,51.39,73.86,56.8,58.65,63.7,43.35,44.91,27.26,22.42,42.91,33.37,56.27
S01009792,29.75,16.42,28.03,6.05,21.92,24.49,24.66,13.26,14.07,18.59,23.28,10.44,17.03,21.21,29.38
S01009793,21.66,32.12,35.71,23.86,18.87,27.44,32.82,6.56,34.75,31.46,36.12,16.72,12.2,9.48,15.73
S01009794,53.54,43.77,78.7,14.82,41.65,39.17,65.39,26.39,33.12,54.63,73.37,46.21,35.45,30.97,26.22
S01009795,17.06,22.16,35.29,10.21,25.53,26.29,41.18,20.8,14.33,17.93,14.2,12.21,4.93,21.48,12.9
S01009796,17.13,10.24,17.48,13.22,27.34,32.07,21.98,12.41,8.1,29.63,32.82,17.93,10.38,37.04,7.89
S01009797,70.76,48.7,66.92,38.41,33.48,78.34,42.87,37.95,73.55,56.7,47.02,34.03,32.55,23.2,25.28
