"code","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"E01009510",0.0918470992,0.0956870302,0.131916369,0.1673158044,0.1580987513,0.153356577,0.1763453719,0.1425229868,0.1312582742,0.138440404,0.0996421384
"E01009511",0.1166329751,0.2119604196,0.1624184074,0.1632974123,0.1709729572,0.1988881887,0.1931915098,0.1747023221,0.1391563365,0.098839119,0.1714778644
"E01009493",0.1284386172,0.1262987167,0.1356619854,0.2052226373,0.1477643547,0.1782319187,0.1306137228,0.0915639132,0.1537663053,0.1607571503,0.1697119028
"E01009486",0.0842421156,0.1060312293,0.0978665958,0.1174040249,0.0992977865,0.1093331404,0.0887903777,0.1269662576,0.1140156179,0.1097240026,0.1247846425
"E01009487",0.0627709773,0.0904830435,0.0786579442,0.0801836673,0.0861608417,0.0808878149,0.1187315802,0.1032124265,0.0681316367,0.0607146774,0.0953319948
"E01009488",0.100059287,0.1112862355,0.1104320788,0.098316662,0.127971358,0.1369575605,0.1106005109,0.0870720028,0.1092131331,0.0907438286,0.0905429464
"E01009489",0.0504079019,0.0664911342,0.0595906366,0.0834318677,0.0888933263,0.0961986545,0.0933949887,0.1130591001,0.1338331003,0.0761668363,0.0892558896
"E01009490",0.1543294057,0.1743463098,0.2148570369,0.1715853461,0.2270239215,0.2138172119,0.2375530064,0.1379295643,0.2096313543,0.1169988243,0.1175112752
"E01009491",0.0809771488,0.1028297571,0.0620641569,0.0849052781,0.0757914133,0.0746832976,0.1079275904,0.1030855364,0.093214494,0.0668955409,0.0981754923
"E01009492",0.0731929902,0.1005976549,0.0850184249,0.1314349109,0.1312293203,0.1483929632,0.1258294196,0.1448831431,0.1169665423,0.1570376926,0.1240064221
"E01009494",0.0688131567,0.0826643085,0.0792798579,0.0879358156,0.077770713,0.1173894675,0.1338032582,0.1081103853,0.1013150708,0.1095872578,0.1052992018
"E01009495",0.0707343109,0.0909677285,0.1207784606,0.1602166449,0.1456449277,0.1479538743,0.1389694072,0.0999132833,0.0951239157,0.1090402787,0.1155058612
"E01009496",0.0663146608,0.074322624,0.0869689723,0.0727496418,0.069695871,0.0837896199,0.0860949956,0.0634958178,0.1070722664,0.1203627456,0.0770737478
"E01009497",0.136770255,0.150099303,0.154305261,0.2081862016,0.1639315548,0.1459302471,0.1252678817,0.1741947616,0.2035269911,0.1594170516,0.2180812917
"E01009498",0.0816938488,0.1023705818,0.0814989589,0.1037917214,0.0657197557,0.1213030861,0.1284574171,0.1528518428,0.1314897192,0.1263521665,0.1348715757
"E01009499",0.0793347113,0.0880723732,0.180044006,0.2041343228,0.2505302947,0.2380625564,0.2179216403,0.2244686286,0.2651203051,0.2108604336,0.2254444536
"E01009500",0.0823707322,0.093952368,0.0972588166,0.1584585983,0.1593423821,0.2676342405,0.2079487266,0.1969334718,0.1657435867,0.1314117229,0.1630970297
"E01009501",0.1097944624,0.142880047,0.1751110999,0.196850987,0.1891720046,0.2417470852,0.2847895771,0.3229861205,0.3214482443,0.2600612015,0.216854098
"E01009502",0.0744870319,0.0785827503,0.1114497557,0.1283876302,0.1685732753,0.138847552,0.179040754,0.1707179722,0.1435248618,0.1383036593,0.1548059897
"E01009503",0.0685643025,0.1328929842,0.1397609618,0.1454490537,0.1193184903,0.2009499975,0.2017493479,0.1069429961,0.1025301573,0.1081104143,0.0695309965
"E01009504",0.0381543222,0.0471164875,0.0484385939,0.1048632926,0.07421498,0.1046940705,0.0782334646,0.1195558744,0.1113539998,0.1303998116,0.1045808445
"E01009505",0.089209245,0.1012991727,0.0724812108,0.1477931158,0.084917211,0.1195276396,0.1165752745,0.1010299164,0.1251828416,0.1133340645,0.1099086609
"E01009506",0.0288571302,0.0593484073,0.0355904229,0.0408369105,0.0416528729,0.0602697266,0.0592534825,0.0612117956,0.0636473888,0.1303177648,0.1225098445
"E01009507",0.116682746,0.123148264,0.2281292399,0.1844776877,0.1613391977,0.1165303805,0.1687309175,0.1406196349,0.1589448883,0.1712591486,0.1057182435
"E01009508",0.0771248862,0.0762103446,0.0885661597,0.0778563485,0.095619442,0.098833188,0.0943832955,0.1036184749,0.076579381,0.1249573698,0.0814138229
"E01009509",0.1615959476,0.1627266237,0.2233659466,0.2177466263,0.2135191423,0.2001290921,0.2702120524,0.1892439303,0.2484851921,0.233751508,0.2091018259
"E01009066",0.0981978578,0.0943860335,0.1025309483,0.0937792275,0.1020653029,0.0937359384,0.1219211156,0.1466342268,0.1186734495,0.1342833631,0.1316090365
"E01009067",0.0560021437,0.0604963455,0.0434208813,0.0528418572,0.0476258038,0.049044323,0.0873753021,0.0573797139,0.0512072174,0.0941897968,0.1079930415
"E01009068",0.2774724061,0.2751225328,0.2840873353,0.2488891657,0.2786959043,0.2876032408,0.3339129153,0.3163624561,0.3004735366,0.3167282337,0.336789829
"E01009069",0.1936881821,0.2014376523,0.2469845315,0.1726066875,0.2088774218,0.1670065151,0.2662363639,0.2694892444,0.2364211189,0.2382640853,0.2171534136
"E01009070",0.0504477185,0.0402926324,0.0525517047,0.0414396694,0.0479761223,0.0822050816,0.0780313109,0.078062804,0.0806007388,0.0846450119,0.0710575057
"E01009071",0.140045176,0.1122428507,0.1398316338,0.1128665904,0.1159379166,0.1104785897,0.110038973,0.1157237927,0.0827705361,0.1271726351,0.1265206725
"E01009072",0.0916480159,0.1033654616,0.0874071387,0.0783753908,0.1034315451,0.0775660118,0.1109149722,0.110901968,0.0965415166,0.1045277013,0.144150357
"E01009073",0.0799020988,0.0931488112,0.101357793,0.1305642593,0.0992102069,0.1789382792,0.1859364397,0.1898276248,0.1285677255,0.1264615623,0.1058080382
"E01009074",0.0993326328,0.1164264478,0.139732693,0.11991552,0.1439984306,0.1814773586,0.1412380204,0.1445024727,0.0792409991,0.1332441028,0.107154958
"E01009075",0.0678973733,0.0579708814,0.0769900849,0.0665211339,0.0772627512,0.088829597,0.1047605164,0.0813365692,0.0880648416,0.1002886135,0.1114351701
"E01009077",0.053513602,0.0830214449,0.0460357456,0.0582164567,0.0814490576,0.0939268466,0.0899583766,0.0679623502,0.0982194932,0.10116378,0.1129916108
"E01009078",0.1106007499,0.1394744968,0.091675728,0.1244362112,0.1542802793,0.171645585,0.1871718232,0.2066786333,0.2400663784,0.1465356944,0.1523516024
"E01009079",0.1435092261,0.1360817016,0.197047691,0.2153523343,0.1760700917,0.1620429013,0.2172702563,0.1652616969,0.1347588805,0.175744377,0.1841389111
"E01009080",0.0836846822,0.1114137842,0.1398316338,0.1946576146,0.1257468353,0.1732301233,0.1971447369,0.1326001791,0.1056835961,0.112431549,0.0967986409
"E01009081",0.076398232,0.0984803466,0.1374570544,0.1364746444,0.1078105267,0.1151940229,0.1346567959,0.0984159798,0.0876598128,0.100589452,0.10314413
