"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
598.753591,618.43094,634.360221,538.784531,557.524862,576.265194,702.762431,744.928177,817.078453,844.251934,836.755801,853,865,882,858
809.830939,794.712707,807.426519,839.143646,860.983425,826.823204,805.491712,796.381215,799.614364,776.832044,761.496132,792,807,814,809
902,875,891,901,913,924,928,926,898,897,886,885,915,884,846
903,920,917,880,853,892,898,872,897,927,874,874,844,848,873
748.003315,741.39779,752.717127,737.801105,761.176795,796.552486,848.088398,877.933701,886.38011,859.924862,867.774585,868,883,880,894
877,849,816,808,805,791,789,788,809,806,794,787,776,841,852
669,679,666,657,648,639,648,666,668,661,668,663,687,653,655
901,926,928,930,928,958,994,1009,980,985,1004,984,977,975,980
775.412155,872.458564,947.496133,964.270718,966.314917,1064.359116,1072.657459,1100.756906,1088.927072,1091.99116,1078.973481,NA,NA,NA,NA
388.27612,484.197761,496.589552,510.358209,517.242537,548.910448,570.940299,581.496269,599.854478,611.328358,620.048508,643,636,603,639
552.820513,543.846154,517.820513,566.282051,603.974359,569.871795,554.615384,514.230769,493.589743,485.51282,473.846154,487,484,486,468
717,710,680,675,673,672,685,676,660,685,674,661,665,684,672
840,825,815,806,769,770,789,799,795,805,812,799,818,786,758
457.72388,570.802239,585.410448,601.641791,609.757463,647.089552,673.059701,685.503731,707.145522,720.671642,730.951492,729,729,719,703
925,986,970,944,948,923,925,933,934,928,913,895,910,884,889
703.862002,616.290573,516.747328,481.52381,483.757046,499.941691,524.951409,556.922255,588.922255,598.990282,603.970845,593,541,525,520
201.266902,206.491383,211.715864,213.954927,272.17057,397.060539,502.794079,535.136103,560.760937,566.731772,584.146708,569,589,598,617
489.030646,519.611598,525.273996,524.22217,517.714237,538.87912,561.468997,564.857798,562.119077,554.802936,570.603269,530,538,603,835
905,917,917,934,892,896,902,914,908,892,842,879,868,879,864
899.724702,851.003093,888.281485,876.400796,893.502872,906.157755,914.79187,889.515246,887.88069,914.198851,911.126823,903,890,883,860
603.037882,601.998811,601.798575,603.989597,623.628022,707.01896,769.194582,764.819381,777.358492,775.09248,794.41726,768,781,801,784
666.508738,660.702912,656.058252,657.219417,635.737864,646.768932,644.446602,611.353398,607.28932,599.161165,611.353398,635,640,628,628
770,788,774,768,771,751,780,795,824,815,827,826,826,823,847
657,637,638,633,625,628,617,607,605,601,609,610,607,584,566
666.111531,668.930057,652.018904,625.712666,580.616257,542.096409,514.850662,510.153119,489.483932,495.120983,495.120983,485,486,483,474
610.047577,628.760476,606.70186,615.249148,596.740146,603.525707,614.938518,630.241471,632.324341,635.613304,641.465333,645,649,644,629
801.137998,946.709427,993.252672,970.47619,994.242954,1013.058309,1014.048591,1011.077745,1011.077745,1018.009718,1016.029155,NA,NA,NA,NA
533.809756,505.565854,486.736586,507.448781,530.985366,506.507317,514.980488,521.570732,546.990244,590.297561,647.72683,696,681,675,644
224.861246,230.698188,236.53513,239.036677,304.076889,443.6076,561.73619,597.869641,626.498452,633.169243,652.625717,702,711,737,717
227.006186,232.898807,238.791427,241.316836,306.977463,447.839151,567.094564,603.572691,632.474591,639.209014,658.851082,668,694,684,688
726,721,716,728,738,695,690,696,699,726,715,698,685,677,676
854,898,883,879,870,860,892,912,928,926,929,932,926,952,NA
972,891,888,883,819,817,862,886,898,870,892,906,866,907,886
616,626,614,595,621,607,586,590,586,571,583,580,587,595,597
933,926,895,887,890,859,852,832,810,805,795,771,767,762,751
834.644221,842.102512,835.136683,819.79196,791.299497,763.265326,763.78794,740.428141,711.181909,717.526633,716.935678,708,710,684,678
1006.551313,1018.732697,1025.527447,1026.627685,990.474941,953.565633,943.694511,908.847256,860.880669,867.909308,871.966587,850,851,831,829
615,585,577,568,571,570,550,559,538,553,539,520,517,516,517
653.469066,671.730616,646.931277,663.12845,651.194297,656.940457,668.900924,680.527385,681.721315,683.843584,688.600943,678,670,675,707
622,617,615,638,657,638,630,617,616,605,593,606,629,631,638
408.983348,379.579316,347.502191,346.432953,396.152497,454.960561,510.026292,541.03418,585.407537,618.019281,663.461875,639,671,698,740
545.5624,520.528327,481.742158,479.874905,520.345888,569.290247,632.208369,651.708554,686.96383,710.669632,758.280859,899,987,NA,NA
613.300323,615.118407,579.968784,576.938644,567.848224,560.575888,609.058127,584.817007,573.908504,558.757804,584.817007,545,528,534,517
611.391469,663.778199,684.860663,683.582938,663.139336,677.194313,678.472038,686.138388,679.749763,670.805687,686.138388,711,708,682,687
1000,918,872,915,924,992,995,974,913,915,881,881,907,901,883
884,873,840,864,827,848,867,858,854,848,862,845,929,923,910
821,789,780,775,805,791,806,833,850,852,861,851,858,869,841
845,849,860,846,844,858,832,850,833,878,885,942,NA,NA,NA
1016.355779,1005.897488,1025.863317,1019.20804,1009.700503,989.734674,961.21206,973.571859,968.818091,975.473367,964.064322,977,972,962,948
717,693,714,692,700,696,710,690,685,706,695,692,685,708,736
678,689,706,705,716,715,711,705,696,694,703,700,712,720,710
793,776,779,767,781,774,780,787,796,803,793,791,803,800,809
762.0162,857.500736,850.060383,881.061856,861.840942,874.861561,898.42268,865.561119,837.659794,836.419735,845.100147,819,812,838,853
511.062559,525.239494,569.408714,575.724701,566.053417,568.571619,569.670632,568.922381,564.551149,556.779621,543.88054,553,567,588,620
865,834,830,835,843,797,802,828,824,817,824,815,822,821,811
419.661876,417.217244,453.071851,504.00169,496.667794,499.519865,505.631445,510.52071,486.889264,478.74049,486.074387,518,538,526,509
947,999,988,1016,1025,1053,1029,999,1008,1015,1018,NA,NA,NA,NA
916,902,905,895,890,846,832,839,830,857,843,832,831,819,788
1113.587368,1085.945263,1078.54421,1062.183158,1058.183158,1070.452631,1040.916842,1048.44421,1069.670526,1019.825263,993.48421,972,961,925,971
1033.178137,1066.317813,1067.29251,1025.380567,1010.760121,1003.937247,998.089069,1004.911943,996.139676,967.873482,972.746963,933,942,917,931
858.975206,854.780992,838.842975,858.975206,843.03719,835.487603,843.876033,835.487603,802.772727,814.516529,821.227273,807,794,796,771
786,796,784,788,796,814,789,807,812,797,776,782,770,780,767
758,783,771,734,734,716,714,721,707,750,751,755,731,747,731
1006,1022,1010,1001,974,1005,1011,1032,1020,1045,1044,NA,NA,NA,NA
767,750,758,759,763,752,747,761,735,752,719,722,740,745,723
831,831,811,799,811,801,783,772,774,778,760,753,744,747,761
