code,TDS,quintile
E00045077,-3.120673334,2
E00045078,-4.914746579,1
E00045079,2.215833687,4
E00045080,-1.696884867,2
E00045081,2.828538113,4
E00045082,1.778525095,4
E00045083,-3.39586365,1
E00045084,-0.297743427,3
E00045085,1.913080204,4
E00045086,-0.009144321,3
E00045087,1.108722507,3
E00045088,-4.446252059,1
E00045090,0.731812816,3
E00045091,0.909401059,3
E00045092,-1.164996287,2
E00045093,1.945962245,4
E00045094,-3.168327221,2
E00045095,-1.868962306,2
E00045096,2.249415445,4
E00045097,-1.921725085,2
E00045098,-1.145604492,2
E00045099,3.252411565,5
E00045100,2.237240328,4
E00045101,1.359138371,4
E00045102,1.215304408,3
E00045103,-0.674502892,3
E00045104,2.561721528,4
E00045105,1.820246766,4
E00045106,1.591496096,4
E00045107,1.60912566,4
E00045108,3.851197844,5
E00045109,3.450141225,5
E00045110,-0.022896496,3
E00045111,3.367340345,5
E00045112,-1.762866154,2
E00045113,2.439513131,4
E00045114,2.187233106,4
E00045115,1.767222512,4
E00045116,1.1455739,3
E00045117,3.694010085,5
E00045118,-0.99191224,2
E00045119,0.794574337,3
E00045120,3.040579786,5
E00045121,0.955519524,3
E00045122,2.548717839,4
E00045123,1.965848379,4
E00045124,3.092115529,5
E00045125,1.664104481,4
E00045126,0.035726494,3
E00045127,0.285136666,3
E00045128,-0.69025986,3
E00045129,0.23346108,3
E00045130,-0.841477681,3
E00045131,3.553714915,5
E00045132,2.014847843,4
E00045133,-1.46567737,2
E00045134,3.522557402,5
E00045135,3.718019561,5
E00045136,2.099148427,4
E00045137,-2.612762725,2
E00045138,0.6668241,3
E00045139,4.549961651,5
E00045140,0.262204243,3
E00045141,-2.9932138,2
E00045142,-0.367294655,3
E00045143,-2.308387558,2
E00045144,-2.991536061,2
E00045145,1.01258627,3
E00045146,-5.36570068,1
E00045147,2.038177296,4
E00045148,2.473795311,4
E00045149,-3.534019693,1
E00045150,-2.681298839,2
E00045151,-2.516295446,2
E00045152,-2.258882832,2
E00045153,-1.153194452,2
E00045154,-1.952974969,2
E00045155,-3.853247498,1
E00045156,-2.533717427,2
E00045157,-4.338536364,1
E00045158,-2.105393528,2
E00045159,-2.367922429,2
E00045160,0.399010853,3
E00045161,2.656133349,4
E00045162,-0.522474058,3
E00045163,-3.055258839,2
E00045164,3.497683973,5
E00045165,0.498805998,3
E00045166,3.576991933,5
E00045167,6.358375458,5
E00045168,2.817540374,4
E00045169,4.158890595,5
E00045170,4.003400921,5
E00045171,5.913398822,5
