"Code","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","clustr"
"E00175790",0.000595,0.000521,0.000198,0.000267,0.000372,0.000249,0.000111,0.000223,0.000156,0.000202,"A"
"E00175698",0.000215,0.000203,0.000158,0.00023,0.000192,0.000401,0.000198,5.5e-05,0.000149,0.000154,"C"
"E00046560",0.000393,0.000448,0.00041,0.001061,0.001438,0.000997,0.000634,0.000894,0.000709,0.000556,"F"
"E00045492",0.001089,0.00116,0.000543,0.000638,0.000824,0.000946,0.000887,0.00105,0.000679,0.00035,"A"
"E00046049",0.000278,0.000309,0.00018,0.000242,0.000208,0.000182,0.000225,0.000171,0.000246,7.4e-05,"B"
"E00047583",8.2e-05,0.000136,7.6e-05,0.000218,5.8e-05,0.000238,0.00024,0.000378,0.000351,0.00027,"F"
"E00045420",0.000464,0.000375,0.000313,0.000285,0.000475,0.000406,0.000257,0.000511,0.000434,0.000407,"E"
"E00045092",0.000201,0.000248,0.000197,0.00015,0.000217,9.5e-05,0.000143,0.000202,0.000171,0.000181,"C"
"E00045133",0.000212,0.000257,0.000428,0.000424,0.00033,0.000214,0.000276,0.00033,0.000332,0.000163,"C"
"E00045141",0.000241,0.000339,0.000464,0.000217,0.000246,0.000462,0.000325,0.000108,0.00045,0.000307,"D"
"E00045273",0.000362,0.000147,0.000349,0.000318,0.00024,0.000356,0.00017,0.000156,0.000179,0.000211,"B"
"E00045415",0.000294,0.000407,0.000366,0.000436,0.000417,0.000305,0.000327,0.000189,0.000373,0.000195,"B"
"E00045469",0.000729,0.000819,0.000505,0.000837,0.000739,0.000745,0.000971,0.001078,0.001025,0.001576,"F"
"E00045593",0.000215,0.000293,0.000371,0.000193,0.000239,0.000356,0.000296,0.000357,0.000205,0.000212,"D"
"E00045481",0.000253,0.000248,0.000195,0.000414,0.000189,0.000428,0.00022,0.00019,0.000214,0.000218,"C"
"E00045707",0.000264,0.000221,0.000141,0.000145,0.000268,0.000174,0.000126,0.000221,0.000207,0.000104,"C"
