Code,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
E00175790,21,8,17,11,21,22,19,8,10,19,8,3,8,6,7
E00175698,12,20,12,9,13,13,11,7,9,9,16,7,2,5,5
E00046560,24,24,34,30,24,23,23,18,41,53,30,16,23,18,15
E00045492,61,85,76,79,72,65,58,25,26,37,33,30,38,25,13
E00046049,24,24,19,25,15,14,13,7,8,7,6,7,5,7,2
E00047583,10,15,6,9,9,6,9,4,11,3,11,10,16,14,11
E00045420,59,31,68,45,36,42,30,22,18,33,28,15,30,26,23
E00045092,19,21,28,17,11,20,22,16,11,18,7,9,13,10,11
E00045133,11,18,25,17,12,15,16,22,20,16,9,10,12,12,6
E00045141,30,30,31,20,26,16,20,25,10,12,19,12,4,17,11
E00045273,19,3,1,2,3,8,3,9,10,9,14,7,6,10,12
E00045415,46,40,51,16,26,23,28,21,22,23,15,14,8,15,8
E00045469,117,112,107,75,76,68,65,35,54,51,46,52,56,56,84
E00045593,44,27,24,28,23,22,26,28,13,19,25,19,23,13,13
E00045481,43,28,25,25,19,20,17,11,21,11,22,9,8,9,9
E00045707,31,14,23,11,24,23,16,9,8,17,11,7,11,10,5
E00047628,27,15,19,14,25,13,8,7,11,8,12,14,9,9,4
E00045525,21,25,19,18,12,12,20,22,27,16,12,20,11,10,16
E00045669,42,29,37,30,25,38,38,26,35,26,39,19,17,16,13
E00045673,36,19,42,38,40,26,34,16,13,16,7,5,11,11,7
E00045681,346,269,281,197,272,282,234,142,150,182,158,191,218,178,159
E00047633,34,23,26,25,16,30,24,20,25,25,28,19,9,6,10
E00047612,66,41,37,29,22,27,18,23,15,24,21,17,12,24,31
E00047615,66,47,77,59,43,118,97,51,89,64,73,58,52,40,44
E00047626,36,16,16,18,23,17,10,12,20,10,13,12,2,5,6
E00045687,504,371,418,339,323,261,226,137,164,188,167,185,201,191,169
E00045696,78,61,55,39,42,39,33,18,28,28,22,30,27,32,32
E00045698,53,33,31,23,33,23,28,19,14,20,13,18,15,10,17
E00045700,7,14,14,13,6,10,13,9,11,11,8,13,18,12,7
E00045720,228,180,94,75,60,55,28,37,43,78,43,44,18,21,18
E00046039,36,31,50,40,33,37,26,50,39,56,30,39,43,23,26
E00045728,46,41,45,42,19,13,17,11,17,17,20,9,20,11,5
E00045741,32,26,24,27,17,16,20,12,12,10,11,13,12,8,7
E00045745,71,62,74,66,50,40,50,52,46,49,31,24,27,22,18
E00046033,17,14,12,21,22,22,15,10,17,14,16,7,5,8,8
E00046540,20,19,16,20,22,17,15,10,15,16,13,11,15,6,14
E00046541,14,18,9,13,11,12,10,9,10,7,8,9,4,6,14
E00046587,5,13,12,3,11,6,3,5,10,5,3,4,5,4,14
E00046592,109,91,87,83,81,95,87,79,36,64,47,50,64,59,59
E00046599,9,9,9,6,13,11,3,10,17,11,8,3,8,7,5
E00046600,265,226,221,191,183,236,194,129,175,184,194,207,260,173,262
E00046601,16,24,19,28,22,12,19,33,15,22,21,20,13,15,8
E00047069,22,16,17,17,16,14,11,14,13,8,21,8,11,10,9
E00047073,13,12,8,11,10,12,13,10,8,7,14,13,13,7,7
E00047077,41,41,49,52,35,48,24,35,25,14,23,13,13,25,14
E00047078,14,16,9,22,11,12,13,16,8,8,9,7,9,2,11
E00047135,40,61,51,41,30,61,41,44,42,21,23,15,38,18,23
E00047956,13,14,20,6,21,27,9,18,6,6,10,8,7,7,6
E00047967,33,25,43,25,39,20,21,26,29,30,31,29,24,18,15
E00045981,18,16,24,8,10,5,12,13,12,8,5,7,7,5,6
E00046018,30,15,19,16,19,22,13,12,9,11,7,5,4,8,5
E00045085,26,22,21,20,23,25,10,11,13,10,9,8,12,9,14
E00045548,14,5,8,8,12,9,3,5,2,7,5,6,4,6,0
E00045551,4,11,10,7,3,7,3,5,6,6,7,6,8,8,5
E00045552,15,28,24,16,27,18,2,10,9,13,17,3,3,12,10
E00046738,25,11,22,12,18,11,11,19,10,16,7,9,13,17,9
E00046749,37,26,35,19,17,27,18,31,21,13,11,15,25,31,21
E00047815,11,12,10,14,13,12,10,4,7,4,3,3,3,6,2
E00047816,10,19,14,13,17,9,11,4,4,7,11,4,9,7,10
E00047818,13,10,5,6,6,4,6,1,7,5,9,5,5,1,4
E00175751,20,16,26,19,37,9,16,25,4,13,14,8,10,9,8
E00046545,18,31,14,31,24,26,28,25,26,19,20,20,12,13,25
E00047001,9,4,8,2,4,6,14,6,8,7,5,7,8,8,8
