Code,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
E00175790,22,19,8,10,19,8,3,8,6,7
E00175698,13,11,7,9,9,16,7,2,5,5
E00046560,23,23,18,41,53,30,16,23,18,15
E00045492,65,58,25,26,37,33,30,38,25,13
E00046049,14,13,7,8,7,6,7,5,7,2
E00047583,6,9,4,11,3,11,10,16,14,11
E00045420,42,30,22,18,33,28,15,30,26,23
E00045092,20,22,16,11,18,7,9,13,10,11
E00045133,15,16,22,20,16,9,10,12,12,6
E00045141,16,20,25,10,12,19,12,4,17,11
E00045273,8,3,9,10,9,14,7,6,10,12
E00045415,23,28,21,22,23,15,14,8,15,8
E00045469,68,65,35,54,51,46,52,56,56,84
E00045593,22,26,28,13,19,25,19,23,13,13
E00045481,20,17,11,21,11,22,9,8,9,9
E00045707,23,16,9,8,17,11,7,11,10,5
E00047628,13,8,7,11,8,12,14,9,9,4
E00045525,12,20,22,27,16,12,20,11,10,16
E00045669,38,38,26,35,26,39,19,17,16,13
E00045673,26,34,16,13,16,7,5,11,11,7
E00045681,282,234,142,150,182,158,191,218,178,159
E00047633,30,24,20,25,25,28,19,9,6,10
E00047612,27,18,23,15,24,21,17,12,24,31
E00047615,118,97,51,89,64,73,58,52,40,44
E00047626,17,10,12,20,10,13,12,2,5,6
E00045687,261,226,137,164,188,167,185,201,191,169
E00045696,39,33,18,28,28,22,30,27,32,32
E00045698,23,28,19,14,20,13,18,15,10,17
E00045700,10,13,9,11,11,8,13,18,12,7
E00045720,55,28,37,43,78,43,44,18,21,18
E00046039,37,26,50,39,56,30,39,43,23,26
E00045728,13,17,11,17,17,20,9,20,11,5
E00045741,16,20,12,12,10,11,13,12,8,7
E00045745,40,50,52,46,49,31,24,27,22,18
E00046033,22,15,10,17,14,16,7,5,8,8
E00046540,17,15,10,15,16,13,11,15,6,14
E00046541,12,10,9,10,7,8,9,4,6,14
E00046587,6,3,5,10,5,3,4,5,4,14
E00046592,95,87,79,36,64,47,50,64,59,59
E00046599,11,3,10,17,11,8,3,8,7,5
E00046600,236,194,129,175,184,194,207,260,173,262
E00046601,12,19,33,15,22,21,20,13,15,8
E00047069,14,11,14,13,8,21,8,11,10,9
E00047073,12,13,10,8,7,14,13,13,7,7
E00047077,48,24,35,25,14,23,13,13,25,14
E00047078,12,13,16,8,8,9,7,9,2,11
E00047135,61,41,44,42,21,23,15,38,18,23
E00047956,27,9,18,6,6,10,8,7,7,6
E00047967,20,21,26,29,30,31,29,24,18,15
E00045981,5,12,13,12,8,5,7,7,5,6
E00046018,22,13,12,9,11,7,5,4,8,5
E00045085,25,10,11,13,10,9,8,12,9,14
E00045548,9,3,5,2,7,5,6,4,6,0
E00045551,7,3,5,6,6,7,6,8,8,5
E00045552,18,2,10,9,13,17,3,3,12,10
E00046738,11,11,19,10,16,7,9,13,17,9
E00046749,27,18,31,21,13,11,15,25,31,21
E00047815,12,10,4,7,4,3,3,3,6,2
E00047816,9,11,4,4,7,11,4,9,7,10
E00047818,4,6,1,7,5,9,5,5,1,4
E00175751,9,16,25,4,13,14,8,10,9,8
E00046545,26,28,25,26,19,20,20,12,13,25
E00047001,6,14,6,8,7,5,7,8,8,8
E00175777,13,6,9,9,12,7,10,8,8,5
E00046989,4,10,10,7,7,3,7,7,6,2
E00045584,68,38,47,29,45,31,30,44,31,70
E00045807,143,95,74,71,99,66,61,83,79,71
E00046103,13,19,15,23,13,14,7,8,8,8
E00046105,39,24,27,15,10,24,21,14,20,19
E00046108,6,10,7,9,7,10,2,5,6,9
E00046111,11,9,10,9,6,12,9,5,6,7
E00046112,9,13,18,7,9,7,6,4,3,8
E00046114,28,16,25,13,6,13,7,4,8,7
E00046116,10,18,20,9,9,6,10,6,5,13
E00046117,14,25,21,14,18,20,9,12,15,7
E00046781,24,13,18,8,11,9,9,5,9,10
E00046118,7,12,12,4,10,11,5,6,7,6
E00046123,10,23,16,5,6,8,6,6,11,6
E00046120,12,12,15,19,15,10,16,9,16,4
E00046125,14,7,11,15,10,19,9,8,5,11
E00046584,23,12,11,18,18,18,8,8,11,14
E00046586,13,12,18,18,16,7,19,9,10,15
E00046294,10,17,6,19,9,11,10,7,3,3
E00046348,14,18,14,8,13,13,9,16,6,12
E00046298,18,14,13,9,11,18,15,7,17,10
E00046378,14,16,7,6,16,10,10,8,17,9
E00046301,9,11,4,7,6,17,10,3,6,2
