code,p2001,p2002,p2003,p2004,p2005,p2006,p2007,p2008,p2009,p2010,p2011
E01008881,1397,1397,1426,1435,1468,1500,1511,1592,1601,1576,1601
E01008882,1599,1599,1585,1595,1652,1661,1677,1718,1710,1734,1753
E01008883,1509,1509,1504,1552,1613,1635,1661,1735,1764,1851,1823
E01008884,1515,1515,1478,1460,1524,1553,1621,1706,1780,1803,1875
E01008885,1319,1319,1299,1280,1296,1293,1284,1276,1268,1277,1312
E01008886,1435,1435,1453,1391,1416,1462,1477,1517,1541,1584,1570
E01008887,1448,1448,1431,1436,1425,1416,1436,1436,1462,1499,1481
E01008888,1565,1565,1588,1591,1601,1599,1586,1637,1634,1663,1660
E01008889,1548,1548,1563,1544,1556,1578,1615,1679,1711,1718,1777
E01008890,1473,1473,1544,1544,1529,1538,1540,1607,1653,1695,1736
E01008891,1486,1486,1520,1541,1541,1550,1556,1585,1572,1595,1558
E01008892,1507,1507,1522,1454,1444,1485,1470,1519,1537,1495,1538
E01008893,1552,1552,1549,1565,1580,1621,1642,1646,1686,1704,1720
E01008894,1345,1345,1344,1398,1399,1461,1454,1445,1420,1406,1407
E01008895,1442,1442,1457,1456,1488,1507,1592,1714,1732,1752,1825
E01008896,1513,1513,1491,1459,1475,1508,1527,1545,1564,1560,1585
E01008897,1579,1579,1620,1657,1643,1556,1590,1630,1616,1682,1691
E01008898,1419,1419,1421,1449,1469,1473,1511,1545,1603,1620,1673
E01008899,1403,1403,1337,1362,1397,1422,1385,1366,1339,1297,1246
E01008901,1630,1630,1640,1643,1687,1581,1548,1602,1641,1661,1696
E01008905,1694,1694,1661,1614,1647,1612,1636,1654,1641,1680,1713
E01008906,1718,1718,1764,1700,1632,1669,1627,1655,1719,1710,1788
E01008907,1548,1548,1590,1546,1565,1579,1601,1591,1612,1658,1683
E01008909,1318,1318,1294,1300,1341,1411,1477,1544,1596,1597,1634
E01008910,1590,1590,1627,1771,1799,1819,1825,1850,1891,1871,1818
E01008911,1354,1354,1420,1495,1573,1632,1644,1702,1715,1657,1630
E01008913,1363,1363,1475,1465,1498,1532,1510,1503,1521,1477,1487
E01008914,1511,1511,1562,1536,1665,1970,2262,2483,2622,2790,2734
E01008915,1284,1284,1271,1284,1301,1342,1372,1394,1392,1395,1386
E01008916,1397,1397,1437,1457,1473,1433,1427,1425,1500,1528,1539
E01008917,1304,1304,1285,1309,1326,1303,1314,1333,1337,1345,1335
E01008918,1595,1595,1576,1593,1607,1649,1680,1730,1728,1705,1729
E01008919,1455,1455,1530,1535,1541,1561,1542,1521,1526,1530,1578
E01008920,1428,1428,1421,1405,1424,1455,1449,1423,1386,1389,1395
E01008921,1402,1402,1437,1424,1403,1426,1393,1401,1416,1411,1426
E01008923,1275,1275,1308,1334,1341,1346,1348,1330,1338,1330,1353
E01008924,1395,1395,1341,1365,1361,1355,1388,1354,1352,1356,1426
E01008925,1437,1437,1446,1392,1388,1353,1371,1357,1355,1341,1296
E01008927,1408,1408,1364,1394,1404,1392,1402,1386,1366,1346,1393
E01008928,1486,1486,1456,1462,1485,1479,1507,1481,1486,1448,1491
E01008929,1533,1533,1551,1556,1571,1534,1526,1510,1521,1500,1478
E01008930,1259,1259,1147,1035,1013,1017,1136,1230,1321,1387,1506
E01008931,1437,1437,1417,1450,1462,1458,1507,1445,1460,1458,1440
E01008932,1483,1483,1463,1450,1470,1453,1468,1476,1504,1516,1549
E01008933,1525,1525,1492,1514,1556,1548,1554,1570,1551,1537,1560
E01008934,1459,1459,1472,1411,1420,1408,1403,1409,1390,1388,1404
E01008935,1517,1517,1521,1513,1543,1548,1572,1620,1651,1649,1679
E01008936,1496,1496,1566,1576,1576,1532,1545,1550,1561,1545,1569
E01008937,1406,1406,1401,1440,1438,1437,1449,1458,1447,1438,1422
E01008938,1505,1505,1548,1577,1581,1593,1567,1564,1542,1543,1599
E01008939,1523,1523,1395,1405,1398,1355,1389,1488,1512,1509,1545
E01008940,1561,1561,1539,1562,1616,1618,1639,1603,1563,1552,1530
E01008941,1526,1526,1534,1539,1558,1555,1576,1566,1559,1545,1523
E01008942,1445,1445,1451,1461,1486,1496,1515,1559,1576,1567,1605
E01008943,1390,1390,1309,1362,1339,1327,1351,1339,1364,1436,1460
E01008944,1674,1674,1712,1677,1711,1751,1726,1702,1729,1748,1719
E01008945,1523,1523,1529,1552,1593,1618,1627,1656,1697,1787,1842
E01008946,1532,1532,1530,1505,1498,1513,1538,1522,1524,1506,1484
E01008947,1406,1406,1366,1379,1390,1371,1365,1378,1367,1379,1391
E01008948,1523,1523,1448,1459,1461,1446,1439,1427,1452,1452,1463
E01008949,1332,1332,1342,1301,1326,1333,1334,1301,1290,1268,1263
E01008950,1555,1555,1496,1468,1480,1462,1446,1414,1404,1420,1420
E01008951,1417,1417,1408,1436,1455,1467,1445,1436,1442,1446,1424
E01008952,1504,1504,1549,1532,1568,1596,1654,1618,1604,1593,1599
E01008953,1561,1561,1530,1531,1536,1504,1513,1493,1505,1526,1567
E01008954,1862,1862,1809,1757,1723,1711,1659,1495,1440,1405,1355
E01008955,1567,1567,1587,1565,1563,1529,1530,1537,1533,1517,1536
E01008956,1512,1512,1506,1506,1512,1507,1502,1506,1506,1512,1512
E01008957,1459,1459,1432,1445,1437,1470,1437,1501,1561,1601,1667
E01008958,1586,1586,1584,1608,1612,1518,1511,1506,1546,1558,1550
E01008959,1714,1714,1708,1742,1706,1722,1722,1732,1770,1743,1760
E01008960,1574,1574,1578,1573,1632,1616,1617,1623,1617,1620,1608
E01008961,1517,1517,1525,1497,1479,1509,1518,1498,1496,1498,1498
E01008962,1663,1663,1726,1724,1767,1736,1816,1792,1821,1841,1920
E01008963,1400,1400,1407,1360,1377,1347,1363,1369,1384,1338,1372
E01008964,1555,1555,1514,1492,1499,1490,1464,1470,1501,1460,1471
