"code","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"E00045759","0","26","51","34","19","32","15","25","8","10","24","15","14","0","11","15","7"
"E00045210","0","15","20","13","20","19","12","6","17","15","9","11","6","15","15","4","8"
"E00045288","0","32","40","27","20","32","15","17","10","18","7","10","14","8","9","3","2"
"E00046253","0","26","15","28","12","13","16","5","10","8","9","14","4","0","2","4","0"
"E00045414","0","17","4","11","13","4","3","8","12","10","6","10","3","10","3","6","1"
"E00045193","0","22","27","20","17","30","9","26","9","6","10","21","17","24","17","32","0"
"E00045867","0","9","23","14","18","21","27","13","13","14","6","7","34","11","13","12","4"
"E00046622","0","114","106","85","84","73","83","81","89","104","50","57","58","58","73","64","14"
"E00175662","0","22","54","39","53","33","26","15","28","14","15","28","19","8","10","9","2"
"E00048067","0","30","22","55","59","31","22","11","31","0","13","16","10","10","7","13","4"
"E00045231","0","12","6","20","7","26","12","7","14","2","10","8","0","12","10","6","0"
"E00045798","0","41","25","66","20","25","19","15","34","13","22","7","4","27","26","16","7"
"E00047167","0","52","38","45","18","33","16","16","18","39","14","11","15","11","15","6","7"
"E00045244","0","36","32","44","34","33","13","12","8","14","5","16","5","9","6","9","4"
"E00047242","0","174","192","161","179","185","165","96","82","55","52","95","58","52","62","79","24"
"E00046787","0","13","24","25","19","16","16","10","7","4","3","7","0","0","0","8","0"
"E00046767","0","36","33","10","13","13","10","7","20","11","8","18","21","22","10","6","4"
"E00046035","0","9","30","23","7","29","34","11","18","6","34","21","15","12","7","7","2"
"E00046736","0","60","41","43","43","45","17","12","14","53","76","52","58","47","47","60","18"
"E00047261","0","13","20","36","41","22","11","3","5","21","4","12","9","0","13","10","7"
"E00045746","0","19","28","20","43","40","36","23","12","14","9","1","8","13","14","12","2"
"E00046155","0","49","35","14","9","11","13","15","3","8","8","9","10","8","2","3","4"
"E00046982","0","28","51","39","39","35","30","10","11","20","18","14","3","9","12","11","4"
"E00047245","0","134","169","155","83","121","117","142","111","105","70","58","53","84","60","58","23"
"E00045722","0","13","2","13","12","10","4","7","12","6","7","8","9","5","12","2","0"
"E00045144","0","63","107","77","52","44","31","30","29","28","21","44","13","19","22","18","6"
"E00046645","0","11","24","19","18","20","13","9","11","12","3","3","0","0","12","10","2"
"E00047181","0","15","16","23","12","23","16","13","15","20","12","14","9","5","7","1","0"
"E00045111","0","30","14","12","33","18","9","10","17","5","4","7","3","8","6","5","0"
"E00045262","0","20","22","16","12","19","14","11","5","11","3","2","7","5","5","6","3"
"E00046141","0","17","26","20","16","4","4","5","14","7","0","3","4","4","4","9","2"
"E00045810","0","24","17","13","12","19","19","18","13","10","10","21","14","13","15","15","5"
"E00045925","0","30","39","25","14","30","17","19","19","22","14","20","17","22","16","19","1"
"E00047114","0","101","85","83","74","77","58","36","41","36","27","34","17","10","11","14","6"
"E00048190","0","33","19","26","36","44","16","28","7","14","15","1","3","21","9","11","0"
"E00045586","0","11","8","12","7","2","0","2","4","0","0","8","2","2","4","4","1"
"E00047235","0","14","16","13","10","7","14","7","16","8","4","10","11","3","2","6","3"
"E00046179","0","50","33","38","31","24","23","32","25","2","12","11","10","6","7","10","5"
"E00048056","0","66","18","46","33","45","23","15","21","17","22","21","16","22","13","46","5"
"E00175646","0","118","116","101","116","74","28","98","53","20","36","93","55","17","15","24","0"
"E00045719","0","12","16","30","25","20","43","1","12","8","12","12","11","15","17","24","1"
"E00047297","0","12","22","10","17","25","7","17","6","9","21","16","14","26","19","15","0"
"E00045950","0","44","58","66","32","67","19","43","15","36","26","44","9","20","32","24","5"
"E00046062","0","96","74","108","95","150","48","101","62","26","35","39","19","41","28","42","11"
"E00046475","0","15","12","4","2","35","2","0","4","9","13","2","12","9","3","4","3"
"E00047082","0","65","72","39","41","65","45","70","45","70","68","34","29","18","44","13","11"
"E00045598","0","7","20","27","20","31","12","0","3","6","19","11","21","33","13","11","5"
"E00047427","0","28","29","27","25","22","20","16","27","19","15","37","17","11","14","7","0"
"E00047125","0","39","21","38","8","14","26","10","28","24","6","17","13","5","7","9","0"
"E00165815","0","35","23","35","25","24","24","15","10","5","21","7","27","6","7","9","3"
"E00046359","0","17","9","12","8","18","7","10","8","9","8","11","11","0","16","2","0"
"E00047316","0","52","52","22","28","47","44","22","40","48","41","20","14","12","8","16","4"
"E00045621","0","16","10","8","12","15","5","15","33","9","10","11","11","9","11","8","1"
"E00045878","0","22","52","45","34","32","38","14","24","24","14","21","11","40","7","7","1"
"E00047421","0","16","30","18","16","8","18","12","22","12","8","18","7","11","7","10","6"
"E00047199","0","25","26","21","10","26","19","36","22","19","13","6","9","9","9","6","0"
"E00045123","0","82","120","113","67","80","77","67","59","42","25","13","27","21","24","20","7"
"E00175726","0","18","34","39","31","19","20","10","5","13","25","23","16","16","10","5","3"
"E00045678","0","23","43","39","24","39","33","12","34","15","19","13","22","2","16","11","1"
"E00045782","0","28","38","11","4","16","33","17","7","5","16","6","20","14","11","18","1"
"E00047390","0","35","54","24","50","28","42","18","11","18","32","15","21","13","6","22","6"
"E00045134","0","143","136","97","111","77","121","74","62","50","59","55","39","42","36","41","6"
"E00047789","0","16","29","21","26","16","16","10","12","35","13","5","15","9","8","18","1"
"E00045600","0","100","88","56","31","106","51","109","91","42","19","53","41","32","32","50","27"
"E00046264","0","93","107","104","135","77","89","54","36","31","34","58","31","40","39","42","7"
