"code","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"E01009192","0","34","47","31","85","59","38","77","62","28","26","19","24","27","33","31","11"
"E01033638","0","32","107","115","172","109","123","141","125","122","96","84","84","47","83","144","19"
"E01033627","0","40","135","224","191","244","215","162","126","61","89","97","164","86","96","133","34"
"E01009348","0","93","176","275","241","231","193","168","129","118","109","110","88","98","76","107","10"
"E01009182","0","37","48","82","68","117","73","52","65","43","37","20","45","18","20","24","6"
"E01009477","0","29","51","33","33","76","62","57","63","24","61","35","56","52","38","64","6"
"E01008988","0","55","147","114","120","107","70","122","153","70","66","29","59","65","33","87","26"
"E01009345","0","133","182","228","255","309","185","232","235","276","229","270","261","281","277","296","85"
"E01009060","0","31","58","88","38","65","74","55","85","58","23","25","29","30","23","24","9"
"E01009112","0","17","20","35","39","18","35","24","22","35","9","27","15","27","42","12","0"
"E01009146","0","313","396","456","492","489","328","366","274","201","176","208","285","171","224","245","77"
"E01009071","0","28","71","77","62","42","44","30","25","32","9","15","13","9","43","36","9"
"E01009484","0","101","123","71","99","157","75","110","110","53","85","63","52","87","88","117","14"
"E01033641","0","27","98","140","186","161","84","123","64","53","59","43","20","66","43","37","31"
"E01009355","0","90","173","162","178","206","93","109","155","112","125","77","83","79","102","59","50"
"E01009223","0","37","50","43","71","81","73","49","26","43","63","15","32","34","30","61","15"
"E01032591","0","22","21","25","13","25","28","31","12","25","18","0","9","5","6","4","3"
"E01008984","0","25","31","53","37","55","30","59","65","47","37","31","19","87","67","69","17"
"E01009411","0","11","12","30","50","35","48","42","20","15","16","15","3","15","38","23","6"
"E01033562","0","39","163","57","111","83","116","103","84","75","56","72","75","89","94","155","42"
"E01008997","0","13","35","45","23","47","31","34","53","21","21","12","50","38","5","27","0"
"E01009024","0","33","47","98","68","126","168","50","64","30","47","30","16","47","27","23","6"
"E01009194","0","49","104","79","66","110","86","119","136","88","68","32","66","84","71","102","25"
"E01009280","0","11","50","42","18","43","48","51","62","33","18","14","6","19","13","26","6"
"E01033616","0","38","98","191","126","111","81","106","76","107","184","79","101","121","92","93","21"
"E01009252","0","57","93","30","19","46","18","22","35","23","40","9","23","3","26","25","0"
"E01009364","0","38","75","74","78","113","71","117","90","87","96","29","72","19","45","59","9"
"E01009113","0","35","70","114","101","159","89","91","73","54","34","75","63","55","65","71","3"
"E01033615","0","365","777","970","1364","1508","1227","1267","1093","935","789","817","747","760","854","876","279"
"E01009258","0","50","98","88","116","101","72","52","96","49","59","47","57","24","43","42","3"
"E01008916","0","55","50","37","48","68","65","70","42","53","104","32","33","43","33","36","25"
"E01009414","0","36","50","70","60","68","83","122","77","41","86","77","53","16","39","66","11"
"E01009365","0","89","191","237","180","231","209","238","156","172","100","112","101","77","70","120","61"
"E01009013","0","34","56","114","188","164","99","112","119","51","109","117","117","102","139","89","9"
"E01009269","0","34","34","48","104","125","69","33","81","54","112","34","61","59","28","50","12"
"E01033628","0","128","159","189","171","239","115","139","148","116","117","71","115","70","112","165","40"
"E01008913","0","44","137","142","133","124","99","165","135","82","45","80","58","88","72","90","20"
"E01009490","0","48","108","173","186","185","176","113","149","52","73","66","60","85","62","96","33"
"E01008989","0","9","66","77","55","51","81","33","49","27","108","85","41","26","50","30","9"
"E01009243","0","8","22","27","20","19","36","37","9","40","17","16","16","9","6","0","3"
"E01009482","0","14","19","46","38","42","31","93","23","29","32","15","9","29","32","17","6"
"E01009056","0","34","40","57","130","140","83","127","44","132","103","89","82","79","71","126","11"
"E01009061","0","24","30","50","58","103","42","78","34","30","64","56","37","33","35","47","16"
"E01009304","0","25","44","76","80","68","99","90","71","42","35","53","30","32","39","70","6"
"E01009118","0","15","46","31","40","67","48","40","10","21","25","42","9","46","41","29","0"
"E01009483","0","29","119","133","115","151","121","142","120","62","140","88","83","49","96","69","13"
"E01009338","0","35","60","83","90","122","47","80","86","66","35","33","29","41","78","34","17"
"E01009520","0","6","28","23","28","43","23","24","8","9","12","3","21","13","12","10","6"
"E01009109","0","28","76","68","128","84","85","62","72","64","101","25","36","41","56","53","15"
"E01009485","0","16","89","30","56","68","55","155","52","26","33","51","26","34","4","33","6"
"E01008907","0","39","66","118","112","154","103","67","63","83","53","46","70","37","58","122","21"
"E01009271","0","16","52","22","39","102","26","20","54","42","16","31","54","35","50","15","3"
"E01009395","0","22","49","76","58","47","44","46","32","49","50","15","43","60","37","36","0"
"E01033621","0","73","179","192","140","198","93","105","104","79","77","99","43","75","57","66","10"
"E01009203","0","96","133","263","230","253","250","269","181","152","141","123","62","121","120","148","28"
"E01009274","0","81","102","126","161","247","102","116","112","97","57","86","34","74","58","73","23"
"E01033646","0","24","18","61","130","144","175","65","127","60","105","52","52","91","139","94","21"
"E01009293","0","23","27","43","35","33","12","24","15","21","21","6","9","12","41","12","3"
"E01033620","0","484","1040","1186","1307","1524","1164","1250","1276","824","834","612","631","489","501","707","109"
"E01009079","0","21","112","131","127","126","109","176","104","73","94","67","63","79","83","70","12"
"E01009065","0","23","15","46","56","53","40","52","36","35","45","50","35","16","24","15","3"
"E01033635","0","54","150","120","229","227","155","174","191","139","125","208","64","113","139","98","25"
"E01009401","0","13","51","40","72","123","52","80","108","46","52","30","96","40","41","61","17"
"E01009053","0","14","48","43","64","71","46","66","58","49","22","36","28","36","51","37","29"
"E01009090","0","3","51","31","35","38","92","67","116","59","50","53","27","63","51","123","23"
"E01033640","0","92","137","219","224","267","193","182","249","118","167","158","145","155","141","122","44"
"E01009391","0","21","42","92","72","31","32","78","78","30","27","13","33","67","15","40","6"
"E01033644","0","76","99","94","123","151","174","277","168","93","87","78","62","88","78","51","45"
"E01009306","0","29","41","50","60","69","43","55","76","9","26","59","35","16","57","30","0"
"E01009210","0","19","44","32","73","79","43","50","40","59","42","34","70","46","47","49","9"
"E01008925","0","4","14","13","6","35","6","22","6","21","12","12","3","6","6","6","6"
"E01009352","0","6","70","87","104","150","124","111","86","82","56","38","53","59","64","83","1"
"E01033648","0","65","76","119","196","101","49","123","96","90","128","74","53","80","83","63","16"
"E01009227","0","9","30","9","34","24","18","15","20","18","29","14","16","34","18","18","3"
"E01009455","0","3","15","45","10","20","6","15","35","37","24","26","3","9","21","19","0"
"E01009358","0","72","151","142","146","198","179","152","156","159","112","200","117","85","131","88","35"
"E01033645","0","30","120","142","107","64","74","105","115","82","44","57","53","69","70","47","14"
"E01009239","0","26","89","105","97","158","89","108","139","87","74","75","64","87","88","82","37"
"E01033567","0","50","36","74","103","78","90","133","79","69","105","82","33","130","81","128","16"
"E01009281","0","7","49","25","33","35","12","46","30","53","30","6","17","18","32","11","6"
"E01033623","0","55","46","122","153","160","153","114","89","66","56","52","67","81","41","82","56"
"E01008910","0","72","121","97","178","177","125","166","113","86","119","82","56","62","36","112","15"
"E01009123","0","23","46","94","58","76","68","67","70","58","55","52","49","50","8","42","22"
"E01009047","0","48","124","113","135","207","104","56","60","35","49","47","33","46","53","74","11"
"E01009200","0","162","208","203","247","354","277","284","234","131","177","119","162","215","241","162","36"
"E01009491","0","8","60","79","84","64","75","96","108","49","33","62","30","49","43","69","14"
"E01009007","0","104","171","289","301","425","256","425","202","187","233","206","137","201","198","223","64"
"E01009493","0","38","63","41","66","82","59","68","47","64","39","24","58","58","96","68","15"
"E01009382","0","41","67","98","140","103","98","126","68","80","50","27","42","53","71","107","18"
"E01009344","0","38","53","50","73","89","37","67","58","60","65","34","68","55","6","41","26"
"E01008894","0","39","59","158","114","83","51","56","34","25","63","30","16","24","51","42","0"
"E01009062","0","35","153","98","83","178","67","56","54","86","43","53","36","49","36","54","17"
"E01008906","0","20","112","39","27","91","28","63","37","60","17","47","24","43","24","30","3"
"E01033557","0","105","285","464","530","567","352","437","385","182","312","362","364","386","331","306","91"
"E01009119","0","47","73","64","59","69","103","69","100","75","71","98","43","23","40","56","20"
"E01009392","0","18","29","52","23","75","28","29","27","26","12","9","9","6","40","17","0"
"E01009517","0","33","75","137","130","113","51","72","38","46","30","31","49","41","21","57","3"
"E01009147","0","15","88","112","96","133","65","113","112","68","106","57","50","48","65","94","3"
"E01008914","0","87","130","258","163","219","209","269","200","192","150","128","128","184","162","174","7"
"E01009017","0","15","22","41","18","56","29","22","25","13","44","9","6","12","6","26","3"
"E01009074","0","45","160","127","116","127","118","99","91","61","46","31","57","27","40","56","28"
"E01009048","0","14","66","72","69","118","58","148","88","87","66","45","55","58","78","123","12"
"E01009476","0","25","117","129","173","153","101","142","89","124","114","53","63","95","106","120","42"
"E01008909","0","44","138","142","144","218","151","140","117","87","40","65","30","78","47","54","3"
"E01008924","0","40","85","94","53","71","43","43","31","33","57","30","15","54","38","19","9"
"E01009273","0","49","53","70","152","130","84","89","93","39","69","34","95","86","50","55","53"
"E01009080","0","28","80","89","96","112","48","88","48","36","27","31","25","23","12","22","3"
"E01009179","0","19","39","71","29","62","36","37","32","21","54","18","11","15","42","21","9"
"E01009129","0","49","83","125","129","108","39","59","109","85","59","59","3","27","42","65","12"
"E01009408","0","8","55","67","86","53","48","64","59","52","81","37","44","64","57","47","14"
"E01009384","0","50","86","123","117","114","90","146","61","33","41","39","16","52","45","27","18"
"E01008901","0","32","106","110","143","108","104","153","85","55","92","95","46","88","82","72","42"
"E01033633","0","64","135","145","115","125","101","123","135","118","105","73","92","85","45","131","25"
"E01008937","0","32","25","94","63","46","45","18","62","49","19","28","29","19","33","35","6"
"E01009305","0","21","39","94","72","80","47","98","82","39","24","17","42","39","24","66","10"
"E01009174","0","24","88","75","46","111","62","70","47","62","22","46","35","30","12","24","15"
"E01009108","0","17","30","59","24","40","67","20","10","10","27","12","14","8","26","6","0"
"E01008899","0","95","202","195","170","191","114","182","94","60","125","91","28","64","92","41","32"
"E01009120","0","19","69","34","93","89","59","53","71","24","53","3","24","15","28","29","0"
"E01009353","0","19","30","39","100","145","124","102","67","60","38","63","60","43","66","48","32"
"E01009249","0","8","65","24","34","46","31","26","45","13","14","26","15","9","21","3","12"
"E01009374","0","12","29","71","48","65","42","40","72","40","6","3","2","14","48","41","6"
"E01009451","0","6","18","59","67","68","13","25","24","35","12","14","19","31","12","40","3"
"E01009124","0","51","102","91","142","104","86","104","151","97","57","36","57","67","43","74","19"
"E01009140","0","33","91","81","129","137","61","47","100","74","49","64","35","26","50","33","30"
"E01033617","0","126","273","289","247","440","372","318","261","149","170","217","167","138","197","275","75"
"E01033564","0","8","47","48","39","65","43","60","48","39","50","36","29","26","34","40","0"
"E01009413","0","10","30","66","62","135","65","102","67","65","28","101","44","37","27","106","9"
"E01009197","0","38","57","68","90","72","66","101","39","63","76","68","44","37","30","60","6"
"E01009178","0","45","78","139","104","142","124","90","66","66","49","28","41","69","64","70","45"
"E01009334","0","16","29","51","45","77","33","53","25","42","50","15","24","26","33","40","0"
"E01009057","0","88","85","101","99","148","84","31","56","76","30","34","19","63","31","71","3"
"E01009070","0","0","13","3","18","15","6","7","10","15","11","6","1","12","9","9","0"
"E01009234","0","16","54","63","40","51","52","9","30","33","27","22","12","18","6","26","0"
"E01009284","0","71","137","149","149","117","138","93","107","111","84","17","41","39","44","73","9"
"E01009139","0","3","9","15","25","36","24","22","9","39","15","9","7","6","9","21","9"
"E01009073","0","60","99","138","133","96","95","80","150","98","94","73","33","79","90","77","17"
"E01009473","0","45","49","85","99","114","66","45","43","49","33","23","23","23","27","42","6"
"E01009172","0","38","123","38","65","69","66","106","57","64","40","47","14","41","18","60","9"
"E01009117","0","67","95","55","135","81","74","49","77","94","95","93","94","99","59","108","22"
"E01009015","0","51","122","144","193","185","111","84","75","68","55","41","40","43","89","71","30"
"E01009409","0","30","20","21","32","107","33","33","58","22","35","53","24","42","58","91","24"
"E01009367","0","35","152","191","156","173","120","86","103","122","84","57","99","123","127","148","93"
"E01009250","0","13","26","62","19","55","68","48","77","72","14","21","41","35","35","18","3"
"E01008890","0","16","37","56","53","46","28","48","39","48","45","3","32","28","24","45","6"
"E01009412","0","40","65","77","75","151","97","75","87","113","74","81","100","122","95","201","30"
"E01009405","0","7","30","19","51","24","13","22","27","30","43","20","13","15","29","25","9"
"E01009475","0","39","47","45","99","89","65","61","62","71","35","31","42","67","63","35","6"
"E01009012","0","4","12","11","39","28","45","9","27","16","25","10","0","24","18","19","0"
"E01008895","0","1","52","36","41","48","46","36","22","36","28","15","31","41","34","22","17"
"E01009317","0","11","18","25","74","41","17","34","51","33","24","48","38","54","76","78","11"
"E01009184","0","51","89","175","143","160","104","90","112","70","105","38","100","52","64","68","70"
"E01009003","0","23","60","49","40","128","80","58","30","38","60","33","34","30","29","48","3"
"E01008996","0","25","40","53","16","59","24","68","14","18","21","21","37","30","25","21","6"
"E01009122","0","40","70","72","109","77","56","73","56","39","46","40","36","20","77","46","17"
"E01009347","0","43","193","185","111","185","66","118","96","63","85","79","70","110","34","65","10"
"E01009480","0","7","21","12","33","72","40","41","33","51","38","33","21","54","50","21","4"
"E01009225","0","3","28","53","27","44","38","25","43","45","33","34","16","45","36","42","3"
"E01009350","0","10","37","54","41","106","43","86","67","53","10","71","43","45","31","43","6"
"E01008970","0","31","33","50","57","48","48","46","15","15","19","10","50","12","14","6","4"
"E01009244","0","1","18","42","23","21","21","21","18","18","21","17","10","12","32","15","3"
"E01009332","0","169","221","264","233","297","243","335","212","156","159","131","97","138","132","130","46"
"E01009067","0","4","3","10","3","24","38","12","12","6","8","4","3","9","0","3","0"
"E01009380","0","13","79","37","114","77","84","57","109","57","39","58","32","91","19","42","12"
"E01008998","0","37","89","64","112","118","110","102","66","50","63","40","27","51","38","74","12"
"E01009153","0","121","209","181","148","184","106","192","143","112","94","92","81","61","85","85","23"
"E01009267","0","3","33","24","12","19","37","35","24","17","8","6","5","12","9","42","17"
"E01008980","0","39","86","96","82","106","51","127","33","36","60","41","40","27","47","73","7"
"E01009176","0","36","30","39","42","38","52","35","75","34","26","4","15","9","37","6","0"
"E01009403","0","3","31","82","53","59","58","24","32","70","57","49","39","27","29","13","3"
"E01009335","0","39","86","74","50","100","49","92","121","85","50","20","86","17","52","50","18"
"E01008905","0","35","91","65","82","66","43","74","57","49","77","47","45","30","36","50","9"
"E01009497","0","73","69","92","102","85","83","62","54","66","38","37","32","41","48","45","3"
"E01008919","0","42","73","59","45","99","61","54","55","71","70","47","33","43","48","80","18"
"E01008991","0","9","29","21","24","52","13","25","19","37","42","31","23","13","33","13","3"
"E01009014","0","14","61","81","88","61","25","50","49","55","30","9","18","32","77","32","6"
"E01009519","0","3","57","95","58","62","65","60","33","48","15","18","17","10","46","9","10"
"E01008939","0","23","25","25","35","67","33","83","40","29","23","21","21","48","24","16","3"
"E01009492","0","23","72","84","63","88","141","95","70","42","66","34","29","83","43","41","27"
"E01008898","0","8","66","88","79","86","81","78","43","27","18","28","27","39","52","128","6"
"E01009185","0","7","15","11","18","13","12","12","12","42","17","18","5","9","24","3","3"
"E01009286","0","3","40","26","29","52","89","42","15","43","48","20","30","27","16","13","6"
"E01008940","0","19","44","72","52","101","33","83","61","38","28","14","27","24","39","42","0"
"E01009173","0","16","58","70","45","75","63","70","43","39","36","37","25","102","66","45","9"
"E01009385","0","24","72","73","64","116","77","41","56","70","23","35","37","36","45","35","11"
"E01009105","0","18","44","38","30","11","33","36","15","6","24","12","29","18","26","15","14"
"E01009389","0","6","41","36","63","34","34","18","50","21","13","18","17","0","25","22","6"
"E01009201","0","50","77","79","112","128","108","87","113","62","51","50","42","42","71","61","22"
"E01009377","0","32","63","100","114","102","63","39","48","27","70","15","32","63","29","32","12"
"E01009499","0","17","47","50","85","116","85","118","43","40","56","21","37","16","64","36","6"
"E01009018","0","26","91","121","126","144","74","61","47","51","38","77","64","33","45","42","49"
"E01009270","0","49","105","99","126","102","73","99","81","54","132","99","90","50","99","56","20"
"E01033629","0","43","180","146","189","219","104","151","93","110","57","65","46","67","73","56","3"
"E01009145","0","25","45","50","39","72","59","47","82","99","55","32","43","57","30","46","7"
"E01009501","0","29","80","90","106","114","104","101","63","68","68","45","42","101","57","77","9"
"E01009114","0","18","47","48","66","37","61","38","42","34","21","17","45","36","81","27","26"
"E01009378","0","145","240","262","267","277","297","360","275","187","190","213","211","162","206","182","63"
"E01009219","0","35","104","114","98","139","125","118","121","104","92","55","43","47","63","96","18"
"E01009241","0","10","17","50","42","42","29","51","47","26","18","23","30","8","28","44","0"
"E01009141","0","44","101","151","115","162","91","81","119","62","99","59","102","39","39","81","1"
