"code","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"E00046641","0","27","17","12","6","31","10","20","29","0","3","6","6","6","12","3","11"
"E00045201","0","1","23","3","48","27","21","10","26","30","19","20","23","13","17","22","3"
"E00046370","0","34","74","146","145","201","172","137","83","36","60","55","91","53","60","86","9"
"E00047393","0","36","26","22","25","36","30","15","15","12","14","18","6","15","9","8","0"
"E00046555","0","12","6","25","6","23","13","0","9","13","6","3","3","3","3","7","0"
"E00048056","0","20","14","15","12","14","13","6","18","6","31","18","11","26","23","19","3"
"E00045600","0","9","23","6","23","3","9","27","29","3","20","6","11","14","0","9","3"
"E00175650","0","83","102","92","110","99","68","107","146","146","98","99","176","163","171","157","46"
"E00045924","0","23","22","49","8","34","31","25","54","26","13","18","3","9","6","7","3"
"E00046191","0","1","0","0","9","0","6","4","0","3","0","0","3","0","6","3","0"
"E00175797","0","143","169","181","131","114","61","71","50","42","18","29","16","74","22","37","6"
"E00045999","0","12","1","10","21","3","9","12","10","3","0","0","0","0","3","0","0"
"E00048006","0","54","27","4","20","23","24","17","24","4","3","28","15","36","0","9","0"
"E00045803","0","14","34","66","94","78","11","48","16","19","26","7","6","31","3","9","0"
"E00047432","0","52","108","91","72","98","29","35","42","45","70","46","45","30","48","26","28"
"E00046763","0","3","1","3","0","6","3","0","0","3","0","5","0","11","0","17","0"
"E00165817","0","0","8","9","10","10","13","3","0","16","9","0","0","0","6","1","3"
"E00045652","0","11","4","9","6","6","0","21","12","6","3","3","0","18","15","31","14"
"E00047633","0","0","1","6","12","12","12","0","6","0","3","0","0","3","0","3","0"
"E00046021","0","3","25","3","0","11","12","3","0","0","0","0","3","5","0","0","0"
"E00045631","0","3","20","40","8","38","12","13","27","3","9","3","5","11","0","3","0"
"E00045783","0","20","13","36","12","26","35","6","12","6","12","4","3","3","3","15","0"
"E00175764","0","15","7","9","6","17","3","21","51","20","23","3","0","14","3","22","0"
"E00047087","0","3","5","3","0","3","0","12","20","3","0","0","3","1","3","12","3"
"E00175626","0","22","17","68","48","48","26","10","11","29","36","23","13","37","31","43","4"
"E00046918","0","0","4","0","0","3","6","7","6","3","3","6","3","0","9","0","0"
"E00047448","0","12","28","19","28","41","31","35","37","35","26","8","16","1","4","11","0"
"E00046209","0","5","18","22","35","52","37","21","11","12","6","3","12","11","23","37","3"
"E00175627","0","359","774","961","1364","1505","1197","1233","1066","926","767","799","732","745","833","863","279"
"E00046964","0","0","4","3","9","6","9","0","9","6","6","3","0","9","6","28","0"
"E00045217","0","45","17","24","24","33","28","34","27","40","71","16","18","23","20","12","22"
"E00047631","0","14","17","26","27","30","17","29","24","14","30","32","7","3","6","20","8"
"E00047480","0","31","39","62","47","54","80","76","53","51","27","18","12","9","6","23","45"
"E00045667","0","22","27","85","75","69","37","61","22","12","47","38","69","47","24","28","6"
"E00047039","0","12","7","15","12","14","17","6","16","5","34","7","9","6","10","6","0"
"E00175775","0","58","71","73","58","82","60","72","56","34","26","24","39","6","63","48","8"
"E00045200","0","3","15","16","12","18","6","15","12","6","22","6","14","3","9","9","0"
