Code,Score,quintile,Code2
S11630101100101,1097,5,S11630101100101
S11630101100102,1072,4,S11630101100102
S11630101100103,1031,3,S11630101100103
S11630101100104,1050,3,S11630101100104
S11630101100105,886,1,S11630101100105
S11630101100106,1076,4,S11630101100106
S11630101100107,992,2,S11630101100107
S11630101100108,1049,3,S11630101100108
S11630101100109,958,2,S11630101100109
S11630101100110,1015,2,S11630101100110
S11630101100111,1018,3,S11630101100111
S11630101100112,984,2,S11630101100112
S11630101100113,992,2,S11630101100113
S11630101100114,992,2,S11630101100114
S11630101100115,1012,2,S11630101100115
S11630101100116,954,2,S11630101100116
S11630101100117,962,2,S11630101100117
S11630101100118,1017,3,S11630101100118
S11630101100119,1015,2,S11630101100119
S11630101100120,1021,3,S11630101100120
S11630101100121,1051,3,S11630101100121
S11630101100122,1088,4,S11630101100122
S11630101100123,946,1,S11630101100123
S11630101100124,1038,3,S11630101100124
S11630101100125,999,2,S11630101100125
S11630101100126,981,2,S11630101100126
S11630101100127,963,2,S11630101100127
S11630101100128,979,2,S11630101100128
S11630101100129,1033,3,S11630101100129
S11630101100130,966,2,S11630101100130
S11630101100131,1032,3,S11630101100131
S11630101100132,896,1,S11630101100132
S11630101100133,974,2,S11630101100133
S11630101100134,1036,3,S11630101100134
S11630101100135,1062,4,S11630101100135
S11630101100136,1046,3,S11630101100136
S11630101100137,1059,4,S11630101100137
S11630101100138,1027,3,S11630101100138
S11630101100139,1034,3,S11630101100139
S11630101100140,1042,3,S11630101100140
S11630101100141,1061,4,S11630101100141
S11630101100142,1120,5,S11630101100142
S11630101100145,1004,2,S11630101100145
S11630101100201,1031,3,S11630101100201
S11630101100202,1114,5,S11630101100202
S11630101100203,1095,5,S11630101100203
S11630101100204,1088,4,S11630101100204
S11630101100205,1106,5,S11630101100205
S11630101100206,1085,4,S11630101100206
S11630101100207,1096,5,S11630101100207
S11630101100208,1103,5,S11630101100208
S11630101100209,1081,4,S11630101100209
S11630101100210,1127,5,S11630101100210
S11630101100212,1001,2,S11630101100212
S11630101100213,1081,4,S11630101100213
S11630101100214,1065,4,S11630101100214
S11630101100215,1089,4,S11630101100215
S11630101100216,1100,5,S11630101100216
S11630101100217,1114,5,S11630101100217
S11630101100218,1107,5,S11630101100218
S11630101100219,1121,5,S11630101100219
S11630101100220,989,2,S11630101100220
S11630101100221,1121,5,S11630101100221
S11630101100301,1116,5,S11630101100301
S11630101100302,1030,3,S11630101100302
S11630101100303,965,2,S11630101100303
S11630101100304,1052,3,S11630101100304
S11630101100305,1062,4,S11630101100305
S11630101100306,1076,4,S11630101100306
S11630101100307,1089,4,S11630101100307
S11630101100308,1056,4,S11630101100308
S11630101100309,1110,5,S11630101100309
S11630101100310,1103,5,S11630101100310
S11630101100311,1053,3,S11630101100311
S11630101100312,1048,3,S11630101100312
S11630101100313,1019,3,S11630101100313
S11630101100314,1021,3,S11630101100314
S11630101100315,1028,3,S11630101100315
S11630101100316,1070,4,S11630101100316
S11630101100317,1055,3,S11630101100317
S11630101100318,1042,3,S11630101100318
S11630101100319,976,2,S11630101100319
S11630101100320,1021,3,S11630101100320
S11630101100321,1070,4,S11630101100321
S11630101100322,1060,4,S11630101100322
S11630101100323,1083,4,S11630101100323
S11630101100324,1095,5,S11630101100324
S11630101100325,1063,4,S11630101100325
S11630101100328,913,1,S11630101100328
S11630101100329,1019,3,S11630101100329
S11630101100330,1023,3,S11630101100330
S11630101100331,1060,4,S11630101100331
S11630101100332,1019,3,S11630101100332
S11630101100333,1022,3,S11630101100333
S11630101100334,942,1,S11630101100334
S11630101100335,1088,4,S11630101100335
S11630101100336,1091,5,S11630101100336
S11630101100401,1032,3,S11630101100401
S11630101100402,1057,4,S11630101100402
S11630101100403,913,1,S11630101100403
S11630101100404,952,2,S11630101100404
S11630101100405,1038,3,S11630101100405
S11630101100406,946,1,S11630101100406
S11630101100407,902,1,S11630101100407
S11630101100408,897,1,S11630101100408
S11630101100409,1005,2,S11630101100409
S11630101100410,998,2,S11630101100410
S11630101100411,975,2,S11630101100411
S11630101100412,1029,3,S11630101100412
S11630101100413,1066,4,S11630101100413
S11630101100414,1022,3,S11630101100414
S11630101100415,1063,4,S11630101100415
S11630101100416,1023,3,S11630101100416
S11630101100417,1107,5,S11630101100417
S11630101100418,1057,4,S11630101100418
S11630101100419,998,2,S11630101100419
S11630101100420,1000,2,S11630101100420
S11630101100421,1017,3,S11630101100421
S11630101100422,1049,3,S11630101100422
S11630101100423,1019,3,S11630101100423
S11630101100424,1019,3,S11630101100424
S11630101100425,1096,5,S11630101100425
S11630101100426,1043,3,S11630101100426
S11630101100427,1065,4,S11630101100427
S11630101100428,1058,4,S11630101100428
S11630101100429,962,2,S11630101100429
S11630101100430,1096,5,S11630101100430
S11630101100431,1118,5,S11630101100431
S11630101100432,1040,3,S11630101100432
S11630101100433,1066,4,S11630101100433
S11630101100434,1015,2,S11630101100434
S11630101100435,1026,3,S11630101100435
S11630101100436,959,2,S11630101100436
S11630101100438,875,1,S11630101100438
S11630101100439,1076,4,S11630101100439
S11630101100440,1033,3,S11630101100440
S11630101100441,940,1,S11630101100441
S11630101100442,910,1,S11630101100442
S11630101100443,1000,2,S11630101100443
S11630101100444,1021,3,S11630101100444
S11630101100501,1103,5,S11630101100501
S11630101100502,1016,3,S11630101100502
S11630101100503,1087,4,S11630101100503
S11630101100504,1065,4,S11630101100504
S11630101100505,1004,2,S11630101100505
S11630101100506,926,1,S11630101100506
S11630101100507,969,2,S11630101100507
S11630101100508,893,1,S11630101100508
S11630101100509,968,2,S11630101100509
S11630101100510,940,1,S11630101100510
S11630101100601,1139,5,S11630101100601
S11630101100602,1070,4,S11630101100602
S11630101100603,1047,3,S11630101100603
S11630101100604,1076,4,S11630101100604
S11630101100605,1022,3,S11630101100605
S11630101100606,1008,2,S11630101100606
S11630101100607,976,2,S11630101100607
S11630101100609,1109,5,S11630101100609
S11630101100610,1048,3,S11630101100610
S11630101100611,1031,3,S11630101100611
S11630101100612,1039,3,S11630101100612
S11630101100613,1080,4,S11630101100613
S11630101100614,1084,4,S11630101100614
S11630101100615,1029,3,S11630101100615
S11630101100616,1038,3,S11630101100616
S11630101100617,1079,4,S11630101100617
S11630101100618,1099,5,S11630101100618
S11630101100619,1086,4,S11630101100619
S11630101100620,1090,4,S11630101100620
S11630101100621,1076,4,S11630101100621
S11630101100622,1125,5,S11630101100622
S11630101100623,1060,4,S11630101100623
S11630101100625,1056,4,S11630101100625
S11630102100701,1004,2,S11630102100701
S11630102100702,1077,4,S11630102100702
S11630102100703,1052,3,S11630102100703
S11630102100704,1024,3,S11630102100704
S11630102100705,1019,3,S11630102100705
S11630102100706,1054,3,S11630102100706
S11630102100707,967,2,S11630102100707
S11630102100708,1041,3,S11630102100708
S11630102100709,1049,3,S11630102100709
S11630102100710,1093,5,S11630102100710
S11630102100711,1025,3,S11630102100711
S11630102100712,1036,3,S11630102100712
S11630102100713,1040,3,S11630102100713
S11630102100714,1011,2,S11630102100714
S11630102100715,922,1,S11630102100715
S11630102100717,1079,4,S11630102100717
S11630102100718,1024,3,S11630102100718
S11630102100719,1013,2,S11630102100719
S11630102100720,976,2,S11630102100720
S11630102100721,980,2,S11630102100721
S11630102100722,1058,4,S11630102100722
S11630102100723,1140,5,S11630102100723
S11630102100724,1100,5,S11630102100724
S11630102100725,920,1,S11630102100725
S11630102100726,856,1,S11630102100726
S11630102100727,870,1,S11630102100727
S11630102100730,871,1,S11630102100730
S11630102100731,956,2,S11630102100731
S11630102100732,1116,5,S11630102100732
S11630102100733,1121,5,S11630102100733
S11630102100734,1082,4,S11630102100734
S11630102100735,1127,5,S11630102100735
S11630102100736,1111,5,S11630102100736
S11630102100737,1087,4,S11630102100737
S11630102100738,945,1,S11630102100738
S11630102100801,1073,4,S11630102100801
S11630102100803,1106,5,S11630102100803
S11630102100804,1058,4,S11630102100804
S11630102100805,1087,4,S11630102100805
S11630102100806,1087,4,S11630102100806
S11630102100808,965,2,S11630102100808
S11630102100809,1104,5,S11630102100809
S11630102100811,1094,5,S11630102100811
S11630102100812,1068,4,S11630102100812
S11630102100814,1125,5,S11630102100814
S11630102100815,990,2,S11630102100815
S11630102100901,1050,3,S11630102100901
S11630102100902,1040,3,S11630102100902
S11630102100903,978,2,S11630102100903
S11630102100904,958,2,S11630102100904
S11630102100905,1016,3,S11630102100905
S11630102100906,949,2,S11630102100906
S11630102100907,1044,3,S11630102100907
S11630102100908,1018,3,S11630102100908
S11630102100909,1018,3,S11630102100909
S11630102100910,1012,2,S11630102100910
S11630102100911,1077,4,S11630102100911
S11630102100912,1031,3,S11630102100912
S11630102100913,1092,5,S11630102100913
S11630102100914,1081,4,S11630102100914
S11630102100915,1119,5,S11630102100915
S11630102100916,1097,5,S11630102100916
S11630102100917,1033,3,S11630102100917
S11630102100920,1089,4,S11630102100920
S11630102100922,1001,2,S11630102100922
S11630102100923,1056,4,S11630102100923
S11630102100924,1094,5,S11630102100924
S11630102100925,1057,4,S11630102100925
S11630102100926,1047,3,S11630102100926
S11630102100927,928,1,S11630102100927
S11630102100928,1017,3,S11630102100928
S11630102100929,994,2,S11630102100929
S11630102100930,931,1,S11630102100930
S11630102100932,1073,4,S11630102100932
S11630102100933,1113,5,S11630102100933
S11630102100934,1074,4,S11630102100934
S11630102100935,1053,3,S11630102100935
S11630102101101,1125,5,S11630102101101
S11630102101102,1003,2,S11630102101102
S11630102101103,1048,3,S11630102101103
S11630102101105,1082,4,S11630102101105
S11630102101106,1087,4,S11630102101106
S11630102101107,1115,5,S11630102101107
S11630102101108,1091,5,S11630102101108
S11630102101109,1063,4,S11630102101109
S11630102101110,1136,5,S11630102101110
S11630102101112,1079,4,S11630102101112
S11630102101114,1087,4,S11630102101114
S11630102101115,1141,5,S11630102101115
S11630102101116,1033,3,S11630102101116
S11630102101117,1102,5,S11630102101117
S11630102101118,1074,4,S11630102101118
S11630102101119,1093,5,S11630102101119
S11630102101120,1103,5,S11630102101120
S11630102101121,1134,5,S11630102101121
S11630102101202,1046,3,S11630102101202
S11630102101203,1107,5,S11630102101203
S11630102101204,1113,5,S11630102101204
S11630102101206,1110,5,S11630102101206
S11630102101208,1127,5,S11630102101208
S11630102101209,1086,4,S11630102101209
S11630102101210,1019,3,S11630102101210
S11630102101211,1094,5,S11630102101211
S11630102101212,1078,4,S11630102101212
S11630102101213,1079,4,S11630102101213
S11630102101214,1082,4,S11630102101214
S11630102101215,1053,3,S11630102101215
S11630102101216,1089,4,S11630102101216
S11630102101217,1096,5,S11630102101217
S11630102101218,1009,2,S11630102101218
S11630102101219,1063,4,S11630102101219
S11630102101220,991,2,S11630102101220
S11630102101221,1044,3,S11630102101221
S11630102101222,1132,5,S11630102101222
S11630102101223,1097,5,S11630102101223
S11630102101224,832,1,S11630102101224
S11630102101225,1026,3,S11630102101225
S11630102101227,999,2,S11630102101227
S11630102101228,1005,2,S11630102101228
S11630102101229,1053,3,S11630102101229
S11630102101230,1115,5,S11630102101230
S11630102101231,1086,4,S11630102101231
S11630102101232,1093,5,S11630102101232
S11630102101233,1096,5,S11630102101233
S11630102101234,1080,4,S11630102101234
S11630102101235,1102,5,S11630102101235
S11630102101236,1102,5,S11630102101236
S11630102101237,1116,5,S11630102101237
S11630102101238,1020,3,S11630102101238
S11630102101301,982,2,S11630102101301
S11630102101302,935,1,S11630102101302
S11630102101303,1081,4,S11630102101303
S11630102101304,1055,3,S11630102101304
S11630102101305,1003,2,S11630102101305
S11630102101306,1079,4,S11630102101306
S11630102101307,1041,3,S11630102101307
S11630102101308,1003,2,S11630102101308
S11630102101309,993,2,S11630102101309
S11630102101310,1092,5,S11630102101310
S11630102101311,1072,4,S11630102101311
S11630102101312,1056,4,S11630102101312
S11630102101313,1009,2,S11630102101313
S11630102101314,973,2,S11630102101314
S11630102101315,989,2,S11630102101315
S11630102101316,979,2,S11630102101316
S11630102101318,1058,4,S11630102101318
S11630102101319,1076,4,S11630102101319
S11630102101320,1064,4,S11630102101320
S11630102101321,1075,4,S11630102101321
S11630102101322,1021,3,S11630102101322
S11630102101324,1035,3,S11630102101324
S11630102101325,1006,2,S11630102101325
S11630102101326,1008,2,S11630102101326
S11630102101327,977,2,S11630102101327
S11630102101329,1041,3,S11630102101329
S11630102101330,1008,2,S11630102101330
S11630102101331,1016,3,S11630102101331
S11630102101332,970,2,S11630102101332
S11630102101333,1018,3,S11630102101333
S11630102101334,1037,3,S11630102101334
S11630102101335,1072,4,S11630102101335
S11630102101336,894,1,S11630102101336
S11630102101337,1010,2,S11630102101337
S11630102101338,1017,3,S11630102101338
S11630102101339,969,2,S11630102101339
S11630102152701,854,1,S11630102152701
S11630102152702,759,1,S11630102152702
S11630102152703,839,1,S11630102152703
S11630102152704,760,1,S11630102152704
S11630102152705,1003,2,S11630102152705
S11630102152706,893,1,S11630102152706
S11630102152707,831,1,S11630102152707
S11630102152708,1013,2,S11630102152708
S11630102152709,712,1,S11630102152709
S11630102152710,898,1,S11630102152710
S11630102152711,903,1,S11630102152711
S11630102152712,944,1,S11630102152712
S11630102152713,900,1,S11630102152713
S11630102152714,953,2,S11630102152714
S11630102152715,805,1,S11630102152715
S11630102152716,954,2,S11630102152716
S11630102152717,794,1,S11630102152717
S11630102152718,802,1,S11630102152718
S11630102152719,901,1,S11630102152719
S11630102152720,825,1,S11630102152720
S11630102152721,927,1,S11630102152721
S11630102152722,812,1,S11630102152722
S11630102152724,729,1,S11630102152724
S11630103101501,980,2,S11630103101501
S11630103101502,1009,2,S11630103101502
S11630103101503,1037,3,S11630103101503
S11630103101504,986,2,S11630103101504
S11630103101505,1109,5,S11630103101505
S11630103101506,1086,4,S11630103101506
S11630103101507,900,1,S11630103101507
S11630103101508,1080,4,S11630103101508
S11630103101509,1091,5,S11630103101509
S11630103101510,1124,5,S11630103101510
S11630103101511,1005,2,S11630103101511
S11630103101512,1037,3,S11630103101512
S11630103101513,1106,5,S11630103101513
S11630103101514,1038,3,S11630103101514
S11630103101515,1041,3,S11630103101515
S11630103101516,1046,3,S11630103101516
S11630103101517,1051,3,S11630103101517
S11630103101518,1035,3,S11630103101518
S11630103101519,1043,3,S11630103101519
S11630103101601,1098,5,S11630103101601
S11630103101602,1117,5,S11630103101602
S11630103101603,999,2,S11630103101603
S11630103101604,1103,5,S11630103101604
S11630103101605,1078,4,S11630103101605
S11630103101606,1104,5,S11630103101606
S11630103101607,1069,4,S11630103101607
S11630103101608,1051,3,S11630103101608
S11630103101609,1005,2,S11630103101609
S11630103101610,1042,3,S11630103101610
S11630103101611,1067,4,S11630103101611
S11630103101612,1003,2,S11630103101612
S11630103101613,1044,3,S11630103101613
S11630103101614,956,2,S11630103101614
S11630103101615,1025,3,S11630103101615
S11630103101616,951,2,S11630103101616
S11630103101617,1044,3,S11630103101617
S11630103101618,1051,3,S11630103101618
S11630103101619,1012,2,S11630103101619
S11630103101620,1027,3,S11630103101620
S11630103101621,954,2,S11630103101621
S11630103101622,1048,3,S11630103101622
S11630103101623,1042,3,S11630103101623
S11630103101624,1021,3,S11630103101624
S11630103101702,1120,5,S11630103101702
S11630103101703,1135,5,S11630103101703
S11630103101704,1102,5,S11630103101704
S11630103101705,1099,5,S11630103101705
S11630103101706,987,2,S11630103101706
S11630103101707,941,1,S11630103101707
S11630103101708,1056,4,S11630103101708
S11630103101709,1046,3,S11630103101709
S11630103101710,1016,3,S11630103101710
S11630103101711,1014,2,S11630103101711
S11630103101801,1020,3,S11630103101801
S11630103101802,1040,3,S11630103101802
S11630103101803,1003,2,S11630103101803
S11630103101804,1046,3,S11630103101804
S11630103101805,989,2,S11630103101805
S11630103101806,1056,4,S11630103101806
S11630103101807,1062,4,S11630103101807
S11630103101808,1088,4,S11630103101808
S11630103101809,1050,3,S11630103101809
S11630103101810,1050,3,S11630103101810
S11630103101811,1094,5,S11630103101811
S11630103101812,1141,5,S11630103101812
S11630103101813,1066,4,S11630103101813
S11630103101814,1058,4,S11630103101814
S11630103101815,959,2,S11630103101815
S11630103101816,1004,2,S11630103101816
S11630103101817,1014,2,S11630103101817
S11630103101818,1044,3,S11630103101818
S11630103101819,1044,3,S11630103101819
S11630103101820,998,2,S11630103101820
S11630103101822,997,2,S11630103101822
S11630103101904,1080,4,S11630103101904
S11630103101905,1136,5,S11630103101905
S11630103101906,1077,4,S11630103101906
S11630103101908,1088,4,S11630103101908
S11630103101909,1115,5,S11630103101909
S11630103101910,1075,4,S11630103101910
S11630103101913,1135,5,S11630103101913
S11630103101914,1123,5,S11630103101914
S11630103101915,1121,5,S11630103101915
S11630103101916,1120,5,S11630103101916
S11630103101917,1099,5,S11630103101917
S11630103101918,1139,5,S11630103101918
S11630103101919,1110,5,S11630103101919
S11630103101920,1132,5,S11630103101920
S11630103101921,1097,5,S11630103101921
S11630103101922,1062,4,S11630103101922
S11630103101923,1108,5,S11630103101923
S11630103101924,1139,5,S11630103101924
S11630103101925,1157,5,S11630103101925
S11630103102001,1049,3,S11630103102001
S11630103102002,1108,5,S11630103102002
S11630103102003,1091,5,S11630103102003
S11630103102004,1058,4,S11630103102004
S11630103102005,972,2,S11630103102005
S11630103102006,882,1,S11630103102006
S11630103102007,1016,3,S11630103102007
S11630103102008,1016,3,S11630103102008
S11630103102009,1026,3,S11630103102009
S11630103102010,907,1,S11630103102010
S11630103102011,932,1,S11630103102011
S11630103102012,1075,4,S11630103102012
S11630103102013,1045,3,S11630103102013
S11630103102014,954,2,S11630103102014
S11630103102015,1060,4,S11630103102015
S11630103102016,1011,2,S11630103102016
S11630103102017,1014,2,S11630103102017
S11630103102018,953,2,S11630103102018
S11630103102019,1019,3,S11630103102019
S11630103102020,1065,4,S11630103102020
S11630103102021,1001,2,S11630103102021
S11630103102022,1023,3,S11630103102022
S11630103102023,1054,3,S11630103102023
S11630103102024,935,1,S11630103102024
S11630103102025,1086,4,S11630103102025
S11630103102026,1069,4,S11630103102026
S11630103102027,1071,4,S11630103102027
S11630103102028,1084,4,S11630103102028
S11630103102030,958,2,S11630103102030
S11630103102101,1038,3,S11630103102101
S11630103102102,1029,3,S11630103102102
S11630103102103,1032,3,S11630103102103
S11630103102104,1065,4,S11630103102104
S11630103102105,1098,5,S11630103102105
S11630103102106,982,2,S11630103102106
S11630103102107,1013,2,S11630103102107
S11630103102108,1047,3,S11630103102108
S11630103102109,971,2,S11630103102109
S11630103102110,885,1,S11630103102110
S11630103102111,967,2,S11630103102111
S11630103102113,704,1,S11630103102113
S11630103102114,1024,3,S11630103102114
S11630103102115,1018,3,S11630103102115
S11630103102116,1024,3,S11630103102116
S11630103102117,1034,3,S11630103102117
S11630103102118,1006,2,S11630103102118
S11630103102119,1010,2,S11630103102119
S11630103102120,948,2,S11630103102120
S11630103102121,985,2,S11630103102121
S11630103102122,461,1,S11630103102122
S11630103102124,1044,3,S11630103102124
S11630103102125,1005,2,S11630103102125
S11630103102126,1062,4,S11630103102126
S11630103102127,1057,4,S11630103102127
S11630103102128,965,2,S11630103102128
S11630103102129,1010,2,S11630103102129
S11630103102130,1029,3,S11630103102130
S11630103102131,1024,3,S11630103102131
S11630103102132,1038,3,S11630103102132
S11630103102133,1001,2,S11630103102133
S11630103102134,1043,3,S11630103102134
S11630103102135,936,1,S11630103102135
S11630103102136,980,2,S11630103102136
S11630103102137,1025,3,S11630103102137
S11630103102138,990,2,S11630103102138
S11630103102139,1006,2,S11630103102139
S11630103102140,1046,3,S11630103102140
S11630201102205,1040,3,S11630201102205
S11630201102206,995,2,S11630201102206
S11630201102207,1048,3,S11630201102207
S11630201102208,1037,3,S11630201102208
S11630201102209,1020,3,S11630201102209
S11630201102210,1030,3,S11630201102210
S11630201102212,1041,3,S11630201102212
S11630201102213,1052,3,S11630201102213
S11630201102214,1034,3,S11630201102214
S11630201102215,1018,3,S11630201102215
S11630201102217,1046,3,S11630201102217
S11630201102221,1034,3,S11630201102221
S11630201102222,1086,4,S11630201102222
S11630201102223,1025,3,S11630201102223
S11630201102224,1033,3,S11630201102224
S11630201102225,1079,4,S11630201102225
S11630201102226,1042,3,S11630201102226
S11630201102227,1137,5,S11630201102227
S11630201102228,995,2,S11630201102228
S11630201102229,1010,2,S11630201102229
S11630201102230,994,2,S11630201102230
S11630201102301,1074,4,S11630201102301
S11630201102302,1069,4,S11630201102302
S11630201102303,1129,5,S11630201102303
S11630201102304,1109,5,S11630201102304
S11630201102305,1115,5,S11630201102305
S11630201102306,1144,5,S11630201102306
S11630201102307,1131,5,S11630201102307
S11630201102308,1107,5,S11630201102308
S11630201102309,1105,5,S11630201102309
S11630201102310,1085,4,S11630201102310
S11630201102311,1135,5,S11630201102311
S11630201102312,1143,5,S11630201102312
S11630201102313,1123,5,S11630201102313
S11630201102314,1149,5,S11630201102314
S11630201102315,1139,5,S11630201102315
S11630201102316,1127,5,S11630201102316
S11630201102317,966,2,S11630201102317
S11630201102318,1108,5,S11630201102318
S11630201102319,1072,4,S11630201102319
S11630201102401,1037,3,S11630201102401
S11630201102403,1053,3,S11630201102403
S11630201102404,1035,3,S11630201102404
S11630201102406,1073,4,S11630201102406
S11630201102407,1076,4,S11630201102407
S11630201102409,1029,3,S11630201102409
S11630201102410,736,1,S11630201102410
S11630201102411,1074,4,S11630201102411
S11630201102412,1054,3,S11630201102412
S11630201102413,1056,4,S11630201102413
S11630201102414,1100,5,S11630201102414
S11630201102415,1096,5,S11630201102415
S11630201102417,1091,5,S11630201102417
S11630201102418,1065,4,S11630201102418
S11630201102419,1095,5,S11630201102419
S11630201102420,1088,4,S11630201102420
S11630201102421,1098,5,S11630201102421
S11630201102422,1077,4,S11630201102422
S11630201102423,1092,5,S11630201102423
S11630201102424,1108,5,S11630201102424
S11630201102501,1102,5,S11630201102501
S11630201102502,1084,4,S11630201102502
S11630201102503,1065,4,S11630201102503
S11630201102504,1115,5,S11630201102504
S11630201102505,1100,5,S11630201102505
S11630201102506,1067,4,S11630201102506
S11630201102507,1019,3,S11630201102507
S11630201102508,1007,2,S11630201102508
S11630201102509,976,2,S11630201102509
S11630201102510,1064,4,S11630201102510
S11630201102511,982,2,S11630201102511
S11630201102512,1013,2,S11630201102512
S11630201102513,1107,5,S11630201102513
S11630201102514,1077,4,S11630201102514
S11630201102515,1083,4,S11630201102515
S11630201102516,1053,3,S11630201102516
S11630201102517,1044,3,S11630201102517
S11630201102518,1084,4,S11630201102518
S11630201102519,1095,5,S11630201102519
S11630201102601,1082,4,S11630201102601
S11630201102602,1121,5,S11630201102602
S11630201102603,1107,5,S11630201102603
S11630201102604,1118,5,S11630201102604
S11630201102605,1066,4,S11630201102605
S11630201102606,1054,3,S11630201102606
S11630201102607,1117,5,S11630201102607
S11630201102608,1089,4,S11630201102608
S11630201102609,1133,5,S11630201102609
S11630201102610,1127,5,S11630201102610
S11630201102611,1114,5,S11630201102611
S11630201102612,1098,5,S11630201102612
S11630201102613,1098,5,S11630201102613
S11630201102614,1091,5,S11630201102614
S11630201102615,1100,5,S11630201102615
S11630201102616,1074,4,S11630201102616
S11630201102617,1123,5,S11630201102617
S11630201102618,1087,4,S11630201102618
S11630202102701,1132,5,S11630202102701
S11630202102702,1025,3,S11630202102702
S11630202102704,1110,5,S11630202102704
S11630202102705,1081,4,S11630202102705
S11630202102706,1001,2,S11630202102706
S11630202102708,981,2,S11630202102708
S11630202102709,1040,3,S11630202102709
S11630202102710,1050,3,S11630202102710
S11630202102711,1065,4,S11630202102711
S11630202102712,1036,3,S11630202102712
S11630202102713,1063,4,S11630202102713
S11630202102714,1098,5,S11630202102714
S11630202102715,1139,5,S11630202102715
S11630202102716,1085,4,S11630202102716
S11630202102717,1054,3,S11630202102717
S11630202102718,1086,4,S11630202102718
S11630202102721,1049,3,S11630202102721
S11630202102722,1055,3,S11630202102722
S11630202102723,1041,3,S11630202102723
S11630202102724,1083,4,S11630202102724
S11630202102725,1113,5,S11630202102725
S11630202102726,1080,4,S11630202102726
S11630202102727,1053,3,S11630202102727
S11630202102728,1090,4,S11630202102728
S11630202102729,1047,3,S11630202102729
S11630202102730,1071,4,S11630202102730
S11630202102731,1125,5,S11630202102731
S11630202102732,1134,5,S11630202102732
S11630202102733,1060,4,S11630202102733
S11630202102734,1038,3,S11630202102734
S11630202102735,1134,5,S11630202102735
S11630202102738,940,1,S11630202102738
S11630202102739,995,2,S11630202102739
S11630202102740,583,1,S11630202102740
S11630202102803,997,2,S11630202102803
S11630202102804,1047,3,S11630202102804
S11630202102806,973,2,S11630202102806
S11630202102807,935,1,S11630202102807
S11630202102808,958,2,S11630202102808
S11630202102809,973,2,S11630202102809
S11630202102810,953,2,S11630202102810
S11630202102811,990,2,S11630202102811
S11630202102813,940,1,S11630202102813
S11630202102814,878,1,S11630202102814
S11630202102815,957,2,S11630202102815
S11630202102816,969,2,S11630202102816
S11630202102817,1008,2,S11630202102817
S11630202102818,1025,3,S11630202102818
S11630202102819,873,1,S11630202102819
S11630202102820,1075,4,S11630202102820
S11630202102821,972,2,S11630202102821
S11630202102823,1055,3,S11630202102823
S11630202102824,993,2,S11630202102824
S11630202102825,1042,3,S11630202102825
S11630202102901,1131,5,S11630202102901
S11630202102902,1050,3,S11630202102902
S11630202102903,1084,4,S11630202102903
S11630202102904,1064,4,S11630202102904
S11630202102905,1052,3,S11630202102905
S11630202102906,1040,3,S11630202102906
S11630202102907,1068,4,S11630202102907
S11630202102908,1054,3,S11630202102908
S11630202102909,1021,3,S11630202102909
S11630202102910,1071,4,S11630202102910
S11630202102911,1054,3,S11630202102911
S11630202102912,1056,4,S11630202102912
S11630202102913,1085,4,S11630202102913
S11630202102915,1051,3,S11630202102915
S11630202102917,1110,5,S11630202102917
S11630202103001,1082,4,S11630202103001
S11630202103002,1053,3,S11630202103002
S11630202103003,1083,4,S11630202103003
S11630202103004,1067,4,S11630202103004
S11630202103005,1055,3,S11630202103005
S11630202103006,1041,3,S11630202103006
S11630202103008,1078,4,S11630202103008
S11630202103009,1051,3,S11630202103009
S11630202103010,1022,3,S11630202103010
S11630202103011,976,2,S11630202103011
S11630202103101,1092,5,S11630202103101
S11630202103102,1089,4,S11630202103102
S11630202103103,1048,3,S11630202103103
S11630202103105,1088,4,S11630202103105
S11630202103106,1050,3,S11630202103106
S11630202103107,1070,4,S11630202103107
S11630202103108,1064,4,S11630202103108
S11630202103109,994,2,S11630202103109
S11630202103110,1020,3,S11630202103110
S11630202103111,1128,5,S11630202103111
S11630202103112,1102,5,S11630202103112
S11630202103113,1066,4,S11630202103113
S11630202103114,1045,3,S11630202103114
S11630202103115,1061,4,S11630202103115
S11630202103116,1091,5,S11630202103116
S11630202103117,1066,4,S11630202103117
