code,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
S11630501110526,5.095,6.585,3.946,1.37,3.584,0.769,3.333,2.679,1.456,4.186
S11630102101230,1.39,0.325,0.609,1.462,0.536,0.767,0,0.469,0.22,0.215
S11630102100708,0.234,0.47,1.418,0.957,0.964,2.123,0.236,1.951,0.993,0.971
S11630102100709,0.729,0.478,0.942,1.389,0.232,0.22,0.45,0.441,0.641,0
S11630202103003,1.773,1.331,4.883,1.351,0.439,1.77,1.327,0.901,0,0.446
S11630101100207,3.643,2.252,0.891,1.754,0,1.717,1.695,2.929,3.333,3.75
S11630202103401,2.446,0.693,1.719,1.695,2.341,1.007,0.34,1.678,0,1.592
S11630202103412,1.398,0.348,1.042,0.351,0.342,0.34,2.069,1.031,0.341,2.389
S11630303106027,2.996,3.222,4.695,8.065,14.286,9.722,8.497,3.738,5.556,4.638
S11630203103915,1.117,3.593,1.368,0.265,1.877,0.274,1.07,2.078,1.279,1.272
S11630302105611,3.145,2.697,1.511,1.852,0.727,0.702,2.837,0.694,1.712,2.614
S11630404110101,0.875,1.088,1.95,2.179,1.285,1.05,1.48,1.293,1.486,0.833
S11631305137706,1.084,0.805,1.329,2.611,3.109,1.042,1.828,2.513,1.754,0.743
S11630403109620,1.419,3.519,0.776,1.244,1.16,0.691,0.445,0,0.203,0.392
S11630403109717,0.841,1.463,1.87,1.245,0.404,1.016,1.434,2.053,1.008,1.176
S11630503112303,0.54,1.609,0.266,1.613,1.832,2.344,1.538,1.289,1.809,4.113
S11630103102134,0.382,0,0.761,1.521,1.538,1.128,1.859,0.379,1.504,1.136
S11630501110603,8.128,5.575,9.543,11.338,12.385,9.091,7.294,6.935,4.357,6.653
S11630503112108,3.226,2.05,1.463,0.581,1.734,1.749,2.083,1.17,3.17,4.023
S11630204104619,0.626,1.459,2.913,1.258,1.903,1.205,1.434,1.235,2.316,1.852
S11630503112109,4.013,1.526,1.904,3.462,3.059,0.75,2.991,2.022,2.846,2.677
S11630101100320,1.865,0.698,2.324,1.155,1.176,4.1,0.46,0.468,0.688,0.459
S11630101100114,0.972,1.367,0.784,0.784,0.399,0.402,0.777,0.2,1.408,0.61
S11630503112110,2.549,2.309,2.07,3.472,3.189,3.401,1.798,3.139,3.628,2.928
S11630101100333,0.35,0.347,0.345,0.697,0.338,0.673,0.676,0.329,1,1.338
S11630103101621,2.363,0.893,1.501,1.813,1.558,1.231,1.502,2.804,0.641,1.278
S11630301104708,1.286,0.617,0.592,0.285,1.397,1.323,0.255,0.484,1.9,1.188
S11630101100307,0.735,0.366,1.275,0.541,0.904,1.246,0.911,0.551,0.35,0.527
S11630101100308,1.613,0.325,0.984,0.329,0.669,0.34,1.014,0.678,1.742,0.694
S11630101100111,1.009,1.698,0.515,0.714,0.692,0.859,0.712,0,0.366,0.559
S11630101100112,1.672,3.731,1.234,2.459,0.823,2.778,3.968,0.775,1.176,1.587
S11630101100309,1.679,0.844,0.283,0.282,0,0,0.576,0.587,0,0.852
S11630101100113,1.515,1.212,0.909,0.915,0.306,0.595,1.227,0.3,0.606,0.613
S11630103101708,3.565,5.511,7.996,12.025,25.392,26.38,24.629,22.319,20.728,22.074
S11630103101817,1.083,6.601,4.098,3.019,2.692,4.247,2.8,7.469,2.905,3.689
S11630101100102,1.282,1.907,1.261,2.215,0,1.807,0.901,0.61,0.299,0.302
S11630101100115,0.845,0.634,1.904,0.647,0.644,1.66,0.619,0.633,0.215,0.216
S11630101100126,1.296,1.752,1.999,1.856,1.566,0.685,3.037,1.202,1.229,1.481
S11630101100124,1.918,1.426,1.413,1.887,0.459,0.922,1.81,1.345,1.778,0.448
S11630101100108,0.414,0.416,3.144,2.326,2.366,2.802,0.209,0.43,2.198,0.891
S11630101100109,2.769,1.155,2.341,1.546,1.525,3.12,1.25,2.281,1.828,1.855
S11630303106218,0.814,0.809,1.006,0.988,1.578,0,0.201,0,0.385,0.567
S11630301105004,0.739,2.179,4.045,3.002,1.379,0.457,1.826,1.515,0.642,1.274
S11630101100101,0.786,0.401,1.23,1.446,0.215,0.877,0.459,0.683,0,0.236
S11630101100103,0.488,1.634,2.297,1.327,1.361,0.988,1.131,0.655,1.528,2.426
S11630101100110,1.299,1.031,0.768,0.761,1.003,1.733,1.5,1.263,0.978,0.478
S11630101100104,1.088,1.109,1.811,3.271,1.687,0.471,0.957,0.504,0.262,1.33
S11630101100105,1.233,0.419,2.563,6.957,4.484,2.252,2.727,1.442,4.455,3.883
S11630101100106,0,0.731,1.109,1.894,0.375,1.533,0.389,1.55,0,0.405
S11630101100107,1.133,1.127,2.988,2.198,0.743,0.373,1.465,1.087,1.439,1.799
S11630101100116,4.394,1.937,2.11,6.288,7.895,5.444,12.274,18.618,10.28,12.661
S11630202102904,1.394,0.696,0.696,0.238,0.699,0.901,1.577,2.523,0.471,0.93
S11630202103418,2.292,2.276,3.109,3.419,1.681,3.27,1.344,0.273,0.833,2.688
S11631003128743,1.531,0.535,3.372,2.071,2.484,2.589,2.857,2.353,4.641,2.049
S11631003128744,2.922,1.349,2.741,1.955,2.486,2.841,2.687,3.106,2.477,2.059
S11631102130729,0.516,3.696,2.165,8.782,3.704,3.448,0.59,2.424,4.262,2.632
S11630303106216,0,0.27,0.54,1.34,1.337,0.276,0.551,0.82,2.151,1.084
S11630306107904,5.346,2.798,3.382,3.988,2.663,13.69,13.433,6.34,8.382,7.407
S11631102130730,0.337,0.886,2.625,1.235,2.198,0.386,0,0,1.391,0.624
S11630101100423,1.044,3.167,2.491,3.584,1.071,1.471,1.533,0.383,1.969,2.593
S11631106133628,4.176,5.416,5.059,6.198,12,12.474,8.197,9.278,15.733,13.496
S11630401108305,2.094,0.675,2.29,2.5,2.174,1.205,3.499,0.567,2.204,1.067
S11630101100332,0.79,0.522,0.517,2.551,1.527,1.015,1,0.748,0.489,0.244
S11630201102210,0.754,1.022,0,0.533,0.794,1.084,0.838,0.292,2.065,1.146
S11630102100731,1.495,1.337,1.514,1.171,3.259,1.557,0.515,1.205,0.36,0.861
S11630203103918,1.09,3.407,3.537,2.605,1.19,1.383,1.524,1.328,2.403,2.105
S11630204104610,2.62,2.236,2.835,2.247,2.863,7.01,5.859,5.351,4.159,4.693
S11630301104723,0.61,1.205,1.785,0.587,1.566,0.765,0.556,0.565,0.558,1.095
S11630501110927,3.807,1.899,5.683,2.439,1.896,2.273,2.283,2.336,2.83,0.474
S11630301104724,0.961,1.685,2.555,0.535,1.058,0.678,0.822,1.757,0.946,0.633
S11630301104725,1.135,0,1.834,2.509,0.719,1.389,0.35,0.345,1.333,0.993
S11630305107612,1.221,5.86,4.131,1.434,6.69,3.654,4.918,5.732,3.951,3.812
S11630204104417,0.733,3.638,0.361,0.714,1.071,1.773,1.042,1.049,1.706,5.862
S11630203104002,0.721,2.495,2.82,1.767,2.414,2.318,0.667,1.379,3.716,2.244
S11630301104911,0.691,1.695,0.998,1.639,1.572,0.314,0.94,1.238,1.183,0.583
S11630202103102,0.751,0.925,1.459,1.593,1.795,0.528,1.375,2.74,2.062,1.951
S11630301104912,1.246,2.136,1.196,3.012,1.153,1.393,0.802,2.406,1.34,0.804
S11630302105310,2.864,1.667,1.426,4.46,4.773,9.624,20.096,22.378,21.647,29.302
S11631403139107,1.401,1.381,1.635,1.351,1.323,2.046,2.332,4.462,4.557,1.956
S11631003128714,4.633,4.026,5.025,5.542,11.45,14.691,7.068,6.516,8.252,5.543
S11630204104130,2.844,2.311,0.889,1.59,1.795,1.399,1.975,1.971,0.176,1.062
S11630306107712,0.305,2.134,2.131,2.477,1.818,0.877,3.03,4,3.67,3.881
S11630502111511,4.786,2.385,2.376,3.293,2.381,4.058,2.571,2.647,2.899,3.226
S11630204104131,1.439,2.559,2.72,3.04,2.093,0.791,1.288,1.454,1.595,1.605
S11631403139417,0.537,0.535,1.066,0,1.042,1.571,0.535,2.688,0.521,0.51
S11631305137807,3.238,2.513,1.791,1.064,2.128,2.182,2.509,1.394,0.353,1.06
S11630101100319,1.092,1.876,0.789,1.034,1.746,2.02,2.506,0.723,1.415,0.466
S11630204104132,1.358,0.674,1.34,0,0.326,1.311,1.618,1.98,1.618,2.556
S11630204104532,0,0,0,NA,0,0,3.333,1.25,1,3.623
S11630302105409,3.859,1.298,1.812,4.237,8.223,5.926,3.059,2.975,5.794,2.605
S11630302105606,2.825,3.735,1.389,0,2.703,1.843,0.909,1.345,3.947,0.862
S11630303106217,2.525,3.6,4.193,3.004,7.725,1.261,3.049,5.285,3.295,3.536
S11630204104608,5.061,4.595,3.732,1.871,7.392,6.084,5.085,5.914,3.853,6.788
S11630101100127,1.36,4.416,2.583,1.255,1.667,1.2,1.167,0.377,0.372,0.743
S11630103102106,1.28,1.101,1.106,0.378,0.549,1.115,1.465,0.94,0.574,3.416
S11630101100117,1.781,2.243,2.711,2.506,4.378,5.517,3.963,2.797,2.837,4.067
S11630101100118,0.421,0.417,3.712,1.796,2.016,2.028,4.321,3.15,1.145,1.912
S11630101100119,0.662,1.328,1.331,1.094,2.222,0.676,0.68,0.694,0.452,0.44
S11630101100120,6.131,11.553,5.763,5.842,8.638,3.716,4.29,1.014,2.676,5.686
S11630101100121,0.658,1.093,3.268,1.717,1.528,1.302,1.931,1.302,0.853,0.847
S11630101100122,1.168,0.474,0.721,0.732,0.5,0.248,0.771,0.779,0.265,0.802
S11630101100135,0.263,0.536,1.366,0.836,1.149,1.983,0.885,0.301,0.617,0.94
S11630101100136,0.649,0.865,0.648,1.075,0.644,0.875,0.426,1.502,0,0
S11630101100137,1.135,2.598,2.056,2.727,2.395,0.309,1.567,0.647,2.365,0.984
S11630101100138,0.451,1.758,0,1.255,2.041,0.794,2.344,0.749,1.103,0.735
S11630101100139,0.674,0.225,0.225,1.613,0.911,0.222,0.664,1.139,0.228,1.16
S11630101100140,0.813,2.262,2.704,0.826,1.279,0,0.435,0.905,0,0.449
S11630101100141,0.734,1.241,2.017,0.519,0,2.611,0,0.275,0.279,0.563
S11630101100142,1.025,1.824,1.325,2.133,1.093,1.117,2.017,0.893,0.888,1.466
S11630101100202,0.727,0.239,1.647,0.691,2.746,1.139,0.879,0.879,0.659,2.947
S11630101100304,1.46,2.133,1.04,1.322,1.983,1.146,1.106,1.57,1.802,1.445
S11630101100145,9.443,7.499,6.789,7.125,3,5.882,3.906,4.393,1.882,2.813
S11630101100201,2.969,3.796,4.194,7.917,10.744,7.438,4.564,4.858,3.252,5.242
S11630101100203,3.378,4.97,3.659,4.878,5.078,6.061,2.996,2.622,2.545,2.182
S11630101100204,5.577,5.335,5.763,10.247,15.609,18.389,10,14.794,21.442,20.038
S11630101100205,3.299,1.005,1.493,1.728,1.711,0.244,0.475,1.399,0.706,0.236
S11630101100216,0.727,0.734,0,0.257,0.75,0.498,0,0.525,0.538,1.07
S11630301105120,1.077,1.33,0.263,1.028,0.26,0.512,0.249,1.75,1.225,0.485
S11630101100303,2.67,4.158,3.568,3.582,3.509,5.655,8.182,4.587,6.061,2.924
S11630101100206,2.434,1.969,1.947,2.521,3.617,3.198,2.292,1.237,2.395,1.406
S11630101100208,1.238,0.311,1.564,0.98,2.215,1.52,0.313,0.962,0.33,0
S11630101100123,1.49,2.321,1.673,2.714,3.145,2.429,1.383,1.373,3.187,3.024
S11630101100125,8.13,14.567,11.859,11.221,20.608,17.361,15.411,8.681,9.524,8.553
S11630101100128,0.221,1.105,1.547,1.327,1.104,0.887,0.439,1.327,1.099,0.222
S11630101100129,0,0.523,0.78,1.018,1.026,1.031,0.781,1.269,0.748,1.238
S11630101100130,0.805,0.646,0.648,0.816,2.917,1.794,1.314,0.325,0.329,1.824
S11630101100131,1.437,1.905,1.658,1.439,1.628,0.464,0.899,1.152,0,1.584
S11630101100132,0.431,0.439,1.793,1.843,1.835,3.774,0.98,2.041,2.604,3.535
S11630101100133,0.59,1.403,1.838,1.033,3.879,2.381,1.525,0,0.461,1.412
S11630101100134,0.972,0.989,2.517,0.254,0.524,1.072,2.997,0,0.847,0.857
S11630101100209,1.906,0.474,1.413,0.709,0.928,0.928,1.826,4.505,5.708,8.009
S11630101100210,1.791,2.284,0.503,1.266,1.768,0.718,0.48,0.478,0.966,0.484
S11630101100211,28.011,38.095,77.745,50,20,60,22.222,11.111,22.222,55.556
S11630101100212,1.953,1.509,1.094,0.704,0.341,1.661,0.968,1.893,1.524,2.059
S11630101100213,0.454,1.534,2.117,0.8,1.004,1.174,1.126,1.993,1.903,1.375
S11630101100214,1.539,1.995,0.971,2.404,1.86,0.893,1.709,0.84,0.837,0.837
S11630101100215,1.061,0.211,0.842,0.637,1.057,1.222,0.607,2.459,0,0
S11630101100305,2.615,1.514,1.931,3.778,3.138,2.469,1.613,2.041,3.734,3.967
S11630101100217,18.378,15.736,13.246,7.921,10.577,7.477,7.339,9.009,6.034,9.322
S11630101100218,3.33,1.495,1.181,1.453,4.058,3.458,3.073,1.653,2.192,2.198
S11630101100219,1.021,1.166,0.714,1.052,1.575,1.58,0.919,0.278,1.037,1.637
S11630101100220,1.634,0.555,1.13,2.011,0.592,2.967,1.22,0,2.236,2.265
S11630101100221,0.689,0.688,0.229,1.595,0.683,0,0.462,0.221,0.224,0.227
S11630101100301,1.384,1.63,3.29,2.41,1.202,0.955,1.432,1.471,1.768,3.291
S11630101100302,1.86,0.69,0.682,1.37,0.895,1.499,1.299,1.493,0.86,1.059
S11630101100306,0.525,0.512,2.997,0.75,0.941,0,0.899,2.208,1.538,0.216
S11630101100310,0.733,0,0.147,0.44,1.042,0.3,0.292,0.747,0.149,0.3
S11630101100311,4.976,3.288,5.181,4.775,22.102,5.385,13.119,12.319,5.828,8.837
S11630101100312,0.403,0.399,0.395,0.386,1.163,1.167,0.769,1.504,0.373,0.735
S11630101100313,0.971,1.167,1.559,0.791,0.96,0.588,0.587,0.601,0.393,0.786
S11630101100314,2.398,0.263,1.82,0.501,1.272,1.276,1.256,0.995,0.489,0.467
S11630101100411,2.776,2.45,4.589,4.643,6.05,5.357,3.333,3.396,4.851,7.749
S11630101100509,1.469,0.879,0,1.173,0.583,1.14,0.855,1.754,0.588,1.127
S11630101100412,3.179,0.355,3.209,2.105,0.358,0.735,1.481,0.372,1.095,3.249
S11630101100415,0.341,1.357,2.024,1.706,0.664,0.325,0.662,0.326,0.327,0
S11630101100416,0.48,0,0.716,1.19,2.844,0.932,0.238,0.952,1.166,0
S11630101100417,0.43,0.432,2.391,1.279,1.104,0.221,0.917,0.682,0,0.656
S11630101100418,0.333,0.668,2.349,0.33,0,0.69,0.714,0,0.702,0
S11630101100443,1.319,0.53,2.132,3.261,2.941,1.061,2.459,0.274,1.662,0.275
S11630101100419,0,0,1.287,0.955,1.238,0.629,0,1.19,0,0.592
S11630101100420,0.53,0.522,1.028,0.489,1.003,0.99,0.763,1.208,1.379,2.746
S11630101100421,0.508,1.36,1.534,1.868,1.184,1.036,0.704,0.526,0.862,0
S11630101100422,0.66,0,0.645,1.25,1.25,0,0,2.484,2.41,0.581
S11630101100425,0.925,0.309,2.175,0.621,0.615,0,0.974,0.313,1.911,0.316
S11630101100426,0.835,0,1.371,0,1.73,0.524,0.727,0.559,0.375,1.117
S11630101100427,9.16,5.763,6.247,2.239,2.621,0.656,0.843,0.735,1.741,1.285
S11630101100428,0.606,1.008,2.213,0.199,0,0.598,0.405,0.202,1.61,1.55
S11630101100429,0.377,2.254,2.247,0.373,2.239,1.471,1.128,2.198,1.107,0.366
S11630101100430,0.477,0.639,0.16,0.482,0.977,1.124,0.166,0.998,0.166,1.809
S11630101100431,0,0.361,0,0.182,0.529,0.18,0.739,0.548,0.36,0.894
S11630101100432,7.084,2.639,4.369,10.345,7.759,6.897,9.483,1.681,7.563,10
S11630101100433,5.318,3.312,3.3,2.564,1.739,1.559,1.987,2.655,1.062,2.105
S11630101100434,1.461,1.44,2.555,4.645,1.114,1.374,1.609,2.71,1.064,1
