Code,Score
S11610102100701,991
S11610102100702,1044
S11610102100703,980
S11610102100704,984
S11610102100705,944
S11610102100706,972
S11610102100707,1030
S11610102100708,1046
S11610102100709,1058
S11610102100710,1023
S11610102100801,1038
S11610102100802,1053
S11610102100803,833
S11610102100804,882
S11610102100805,652
S11610102100806,1014
S11610102100807,974
S11610102100808,966
S11610102100810,1086
S11610102100811,1032
S11610102100812,1113
S11610102100813,1083
S11610102100814,1059
S11610102100815,977
S11610102100816,852
S11610102100817,993
S11610102100818,968
S11610102100819,1081
S11610102100820,1009
S11610102100821,1074
S11610102100822,1085
S11610102100823,1028
S11610102100901,1056
S11610102100902,1005
S11610102100904,1056
S11610102100905,1002
S11610102100907,985
S11610102100908,998
S11610102100909,958
S11610102100910,966
S11610102100911,981
S11610102100912,982
S11610102100913,1021
S11610102100914,1025
S11610102100915,951
S11610102100916,1006
S11610102100917,908
S11610102100918,1025
S11610102100919,1033
S11610102100920,839
S11610102100921,1037
S11610102100923,1012
S11610102100925,1028
S11610102100926,963
S11610102100927,1064
S11610102100928,956
S11610102100929,926
S11610102101001,978
S11610102101002,1142
S11610102101003,1127
S11610102101004,1090
S11610102101006,928
S11610102101007,984
S11610102101008,931
S11610102101009,1021
S11610102101010,968
S11610102101011,NA
S11610102101012,1049
S11610102101014,1135
S11610102101015,965
S11610102101016,1101
S11610102101017,1004
S11610102101101,1099
S11610102101102,1121
S11610102101103,1081
S11610102101104,1028
S11610102101105,1113
S11610102101106,1118
S11610102101107,1077
S11610102101108,969
S11610102101109,1115
S11610102101110,1117
S11610102101111,1122
S11610102101112,1066
S11610102101113,1067
S11610102101115,1120
S11610102101116,1057
S11610102101117,1093
S11610102101118,1056
S11610102101119,1110
S11610102101120,1120
S11610102101122,1075
S11610102101123,1119
S11610102101125,1078
S11610102101126,1085
S11610102101127,1124
S11610102101128,1129
S11610102101129,1129
S11610102101130,1148
S11610102101131,1138
S11610102101132,1131
S11610102101133,1133
S11610102101134,1106
S11610102101135,1127
S11610102101136,1117
S11610102101137,1129
S11610102101139,1133
S11610102101140,1117
S11610102101141,1099
S11610102101142,1120
S11610102101143,1099
S11610102101144,1147
S11610102101145,1111
