"code","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","clustr"
"S11630501110526",0.0001093,0.0001522,8.22e-05,2.82e-05,6.87e-05,1.63e-05,7.05e-05,5.05e-05,2.57e-05,6.47e-05,"C"
"S11630102101230",2.98e-05,7.5e-06,1.27e-05,3.01e-05,1.03e-05,1.63e-05,0,8.8e-06,3.9e-06,3.3e-06,"E"
"S11630102100708",5e-06,1.09e-05,2.95e-05,1.97e-05,1.85e-05,4.5e-05,5e-06,3.68e-05,1.75e-05,1.5e-05,"F"
"S11630102100709",1.56e-05,1.1e-05,1.96e-05,2.86e-05,4.4e-06,4.7e-06,9.5e-06,8.3e-06,1.13e-05,0,"E"
"S11630202103003",3.8e-05,3.08e-05,0.0001017,2.78e-05,8.4e-06,3.75e-05,2.81e-05,1.7e-05,0,6.9e-06,"D"
"S11630101100207",7.81e-05,5.2e-05,1.86e-05,3.61e-05,0,3.64e-05,3.59e-05,5.52e-05,5.88e-05,5.8e-05,"F"
"S11630202103401",5.25e-05,1.6e-05,3.58e-05,3.49e-05,4.49e-05,2.13e-05,7.2e-06,3.16e-05,0,2.46e-05,"D"
"S11630202103412",3e-05,8e-06,2.17e-05,7.2e-06,6.6e-06,7.2e-06,4.38e-05,1.94e-05,6e-06,3.69e-05,"F"
"S11630303106027",6.43e-05,7.45e-05,9.78e-05,0.0001661,0.0002738,0.0002061,0.0001798,7.05e-05,9.79e-05,7.17e-05,"F"
"S11630203103915",2.4e-05,8.3e-05,2.85e-05,5.5e-06,3.6e-05,5.8e-06,2.26e-05,3.92e-05,2.25e-05,1.97e-05,"E"
"S11630302105611",6.75e-05,6.23e-05,3.15e-05,3.81e-05,1.39e-05,1.49e-05,6e-05,1.31e-05,3.02e-05,4.04e-05,"D"
"S11630404110101",1.88e-05,2.51e-05,4.06e-05,4.49e-05,2.46e-05,2.23e-05,3.13e-05,2.44e-05,2.62e-05,1.29e-05,"E"
"S11631305137706",2.33e-05,1.86e-05,2.77e-05,5.38e-05,5.96e-05,2.21e-05,3.87e-05,4.74e-05,3.09e-05,1.15e-05,"F"
"S11630403109620",3.04e-05,8.13e-05,1.62e-05,2.56e-05,2.22e-05,1.47e-05,9.4e-06,0,3.6e-06,6.1e-06,"D"
"S11630403109717",1.8e-05,3.38e-05,3.89e-05,2.56e-05,7.7e-06,2.15e-05,3.03e-05,3.87e-05,1.78e-05,1.82e-05,"F"
"S11630503112303",1.16e-05,3.72e-05,5.5e-06,3.32e-05,3.51e-05,4.97e-05,3.25e-05,2.43e-05,3.19e-05,6.36e-05,"G"
"S11630103102134",8.2e-06,0,1.58e-05,3.13e-05,2.95e-05,2.39e-05,3.93e-05,7.1e-06,2.65e-05,1.76e-05,"G"
"S11630501110603",0.0001744,0.0001288,0.0001987,0.0002335,0.0002374,0.0001927,0.0001543,0.0001308,7.68e-05,0.0001029,"C"
"S11630503112108",6.92e-05,4.74e-05,3.05e-05,1.2e-05,3.32e-05,3.71e-05,4.41e-05,2.21e-05,5.59e-05,6.22e-05,"F"
"S11630204104619",1.34e-05,3.37e-05,6.07e-05,2.59e-05,3.65e-05,2.55e-05,3.03e-05,2.33e-05,4.08e-05,2.86e-05,"F"
"S11630503112109",8.61e-05,3.53e-05,3.96e-05,7.13e-05,5.86e-05,1.59e-05,6.33e-05,3.81e-05,5.02e-05,4.14e-05,"E"
"S11630101100320",4e-05,1.61e-05,4.84e-05,2.38e-05,2.25e-05,8.69e-05,9.7e-06,8.8e-06,1.21e-05,7.1e-06,"D"
