"Table 3a: Estimated population by sex, single year of age and 2011 Data Zone area: 30 June 2013",,,,"Table 4a: Estimated population by sex, single year of age and 2011 Data Zone area: 30 June 2014",,,,"Table 1a: Estimated population by sex, single year of age and 2011 Data Zone area: 30 June 2015",,,,"Table 1a: Estimated population by sex, single year of age, 2011 Data Zone area, and council area: 30 June 2016 ",,,,"Table 1a: Estimated population by sex, single year of age and 2011 Data Zone area, and council area: 30 June 2017",,,
,,,,,,,,,,,,,,,,,,,
Area,,All Ages,,Area,,All ages,,Area,,All ages,,Area,Council Area,All age,,Area,Area Name,Council Area,All ages
,,,,,,,,,,,,,,,,,,,
SCOTLAND,,"2,013",,SCOTLAND,,"2,014",,SCOTLAND,,"2,015",,SCOTLAND,,"2,016",,SCOTLAND,,,"2,017"
DataZone2011Code,,,,DataZone2011Code,,,,DataZone2011Code,,,,DataZone2011Code,CouncilArea2011Name,,,DataZone2011Code,DataZone2011Name,CouncilArea2011Name,
S01006506,,897,,S01006506,,904,,S01006506,,901,,S01006506,Aberdeen City,897,,S01006506,Culter - 01,Aberdeen City,894
S01006507,,853,,S01006507,,830,,S01006507,,818,,S01006507,Aberdeen City,807,,S01006507,Culter - 02,Aberdeen City,793
S01006508,,670,,S01006508,,694,,S01006508,,669,,S01006508,Aberdeen City,640,,S01006508,Culter - 03,Aberdeen City,624
S01006509,,574,,S01006509,,573,,S01006509,,553,,S01006509,Aberdeen City,555,,S01006509,Culter - 04,Aberdeen City,537
S01006510,,645,,S01006510,,676,,S01006510,,694,,S01006510,Aberdeen City,671,,S01006510,Culter - 05,Aberdeen City,663
S01006511,,774,,S01006511,,781,,S01006511,,772,,S01006511,Aberdeen City,776,,S01006511,Culter - 06,Aberdeen City,759
S01006512,,536,,S01006512,,528,,S01006512,,532,,S01006512,Aberdeen City,542,,S01006512,Culter - 07,Aberdeen City,539
S01006513,,688,,S01006513,,697,,S01006513,,705,,S01006513,Aberdeen City,706,,S01006513,"Cults, Bieldside and Milltimber West - 01",Aberdeen City,788
S01006514,,"1,099",,S01006514,,"1,131",,S01006514,,"1,103",,S01006514,Aberdeen City,"1,126",,S01006514,"Cults, Bieldside and Milltimber West - 02",Aberdeen City,"1,123"
S01006515,,802,,S01006515,,791,,S01006515,,796,,S01006515,Aberdeen City,786,,S01006515,"Cults, Bieldside and Milltimber West - 03",Aberdeen City,816
S01006516,,559,,S01006516,,572,,S01006516,,608,,S01006516,Aberdeen City,634,,S01006516,"Cults, Bieldside and Milltimber West - 04",Aberdeen City,629
S01006517,,"1,019",,S01006517,,"1,038",,S01006517,,"1,042",,S01006517,Aberdeen City,"1,023",,S01006517,"Cults, Bieldside and Milltimber West - 05",Aberdeen City,"1,052"
S01006518,,647,,S01006518,,671,,S01006518,,670,,S01006518,Aberdeen City,675,,S01006518,"Cults, Bieldside and Milltimber East - 01",Aberdeen City,664
S01006519,,899,,S01006519,,904,,S01006519,,928,,S01006519,Aberdeen City,980,,S01006519,"Cults, Bieldside and Milltimber East - 02",Aberdeen City,941
S01006520,,779,,S01006520,,783,,S01006520,,784,,S01006520,Aberdeen City,786,,S01006520,"Cults, Bieldside and Milltimber East - 03",Aberdeen City,875
S01006521,,758,,S01006521,,772,,S01006521,,776,,S01006521,Aberdeen City,793,,S01006521,"Cults, Bieldside and Milltimber East - 04",Aberdeen City,793
S01006522,,607,,S01006522,,628,,S01006522,,626,,S01006522,Aberdeen City,667,,S01006522,"Cults, Bieldside and Milltimber East - 05",Aberdeen City,675
S01006523,,952,,S01006523,,942,,S01006523,,974,,S01006523,Aberdeen City,972,,S01006523,"Cults, Bieldside and Milltimber East - 06",Aberdeen City,957
S01006524,,"1,014",,S01006524,,"1,017",,S01006524,,"1,058",,S01006524,Aberdeen City,"1,076",,S01006524,"Cults, Bieldside and Milltimber East - 07",Aberdeen City,"1,056"
S01006525,,795,,S01006525,,849,,S01006525,,870,,S01006525,Aberdeen City,879,,S01006525,"Cults, Bieldside and Milltimber East - 08",Aberdeen City,904
S01006526,,873,,S01006526,,906,,S01006526,,925,,S01006526,Aberdeen City,953,,S01006526,Garthdee - 01,Aberdeen City,924
S01006527,,658,,S01006527,,669,,S01006527,,711,,S01006527,Aberdeen City,756,,S01006527,Garthdee - 02,Aberdeen City,756
S01006528,,"1,086",,S01006528,,"1,056",,S01006528,,"1,094",,S01006528,Aberdeen City,"1,115",,S01006528,Garthdee - 03,Aberdeen City,"1,154"
S01006529,,895,,S01006529,,889,,S01006529,,930,,S01006529,Aberdeen City,947,,S01006529,Garthdee - 04,Aberdeen City,932
S01006530,,762,,S01006530,,794,,S01006530,,748,,S01006530,Aberdeen City,748,,S01006530,Garthdee - 05,Aberdeen City,785
S01006531,,952,,S01006531,,975,,S01006531,,966,,S01006531,Aberdeen City,940,,S01006531,Garthdee - 06,Aberdeen City,946
S01006532,,777,,S01006532,,804,,S01006532,,805,,S01006532,Aberdeen City,806,,S01006532,"Braeside, Mannofield, Broomhill and Seafield East - 01",Aberdeen City,793
S01006533,,797,,S01006533,,772,,S01006533,,752,,S01006533,Aberdeen City,732,,S01006533,"Braeside, Mannofield, Broomhill and Seafield East - 02",Aberdeen City,717
S01006534,,949,,S01006534,,975,,S01006534,,975,,S01006534,Aberdeen City,988,,S01006534,"Braeside, Mannofield, Broomhill and Seafield East - 03",Aberdeen City,956
S01006535,,"1,065",,S01006535,,"1,035",,S01006535,,"1,035",,S01006535,Aberdeen City,"1,055",,S01006535,"Braeside, Mannofield, Broomhill and Seafield East - 04",Aberdeen City,"1,046"
S01006536,,"1,026",,S01006536,,"1,071",,S01006536,,"1,062",,S01006536,Aberdeen City,"1,018",,S01006536,"Braeside, Mannofield, Broomhill and Seafield East - 05",Aberdeen City,"1,003"
S01006537,,869,,S01006537,,916,,S01006537,,898,,S01006537,Aberdeen City,894,,S01006537,"Braeside, Mannofield, Broomhill and Seafield South - 01",Aberdeen City,920
S01006538,,575,,S01006538,,594,,S01006538,,581,,S01006538,Aberdeen City,567,,S01006538,"Braeside, Mannofield, Broomhill and Seafield South - 02",Aberdeen City,548
S01006539,,767,,S01006539,,777,,S01006539,,770,,S01006539,Aberdeen City,760,,S01006539,"Braeside, Mannofield, Broomhill and Seafield South - 03",Aberdeen City,781
S01006540,,945,,S01006540,,946,,S01006540,,968,,S01006540,Aberdeen City,950,,S01006540,"Braeside, Mannofield, Broomhill and Seafield South - 04",Aberdeen City,933
S01006541,,837,,S01006541,,826,,S01006541,,841,,S01006541,Aberdeen City,861,,S01006541,"Braeside, Mannofield, Broomhill and Seafield South - 05",Aberdeen City,864
S01006542,,981,,S01006542,,991,,S01006542,,"1,082",,S01006542,Aberdeen City,"1,121",,S01006542,"Braeside, Mannofield, Broomhill and Seafield North - 01",Aberdeen City,"1,131"
S01006543,,811,,S01006543,,812,,S01006543,,785,,S01006543,Aberdeen City,777,,S01006543,"Braeside, Mannofield, Broomhill and Seafield North - 02",Aberdeen City,792
S01006544,,"1,203",,S01006544,,"1,176",,S01006544,,"1,187",,S01006544,Aberdeen City,"1,236",,S01006544,"Braeside, Mannofield, Broomhill and Seafield North - 03",Aberdeen City,"1,283"
S01006545,,"1,057",,S01006545,,"1,071",,S01006545,,"1,117",,S01006545,Aberdeen City,"1,079",,S01006545,"Braeside, Mannofield, Broomhill and Seafield North - 04",Aberdeen City,"1,120"
S01006546,,621,,S01006546,,638,,S01006546,,635,,S01006546,Aberdeen City,629,,S01006546,"Braeside, Mannofield, Broomhill and Seafield North - 05",Aberdeen City,624
S01006547,,925,,S01006547,,929,,S01006547,,"1,034",,S01006547,Aberdeen City,"1,153",,S01006547,Hazlehead - 01,Aberdeen City,"1,242"
S01006548,,703,,S01006548,,697,,S01006548,,687,,S01006548,Aberdeen City,670,,S01006548,Hazlehead - 02,Aberdeen City,658
S01006549,,815,,S01006549,,836,,S01006549,,805,,S01006549,Aberdeen City,807,,S01006549,Hazlehead - 03,Aberdeen City,796
S01006550,,950,,S01006550,,941,,S01006550,,949,,S01006550,Aberdeen City,929,,S01006550,Hazlehead - 04,Aberdeen City,900
S01006551,,664,,S01006551,,693,,S01006551,,711,,S01006551,Aberdeen City,700,,S01006551,Hazlehead - 05,Aberdeen City,704
S01006552,,880,,S01006552,,864,,S01006552,,860,,S01006552,Aberdeen City,883,,S01006552,Hazlehead - 06,Aberdeen City,884
S01006553,,873,,S01006553,,866,,S01006553,,887,,S01006553,Aberdeen City,917,,S01006553,Summerhill - 01,Aberdeen City,903
S01006554,,753,,S01006554,,799,,S01006554,,792,,S01006554,Aberdeen City,785,,S01006554,Summerhill - 02,Aberdeen City,777
S01006555,,800,,S01006555,,785,,S01006555,,750,,S01006555,Aberdeen City,748,,S01006555,Summerhill - 03,Aberdeen City,732
S01006556,,839,,S01006556,,815,,S01006556,,837,,S01006556,Aberdeen City,813,,S01006556,Summerhill - 04,Aberdeen City,804
S01006557,,710,,S01006557,,707,,S01006557,,677,,S01006557,Aberdeen City,674,,S01006557,Summerhill - 05,Aberdeen City,679
S01006558,,620,,S01006558,,620,,S01006558,,613,,S01006558,Aberdeen City,576,,S01006558,Midstocket - 01,Aberdeen City,596
