code,p2002,p2003,p2004,p2005,p2006,p2007,p2008,p2009,p2010,p2011,p2012,p2013,p2014,p2015,p2016
S00116563,69,NA,NA,NA,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,NA
S00112347,82,NA,NA,NA,NA,NA,NA,NA,NA,86,NA,NA,NA,NA,NA
S00116550,84,NA,NA,NA,NA,NA,NA,NA,NA,92,NA,NA,NA,NA,NA
S00116883,73,NA,NA,NA,NA,NA,NA,NA,NA,55,NA,NA,NA,NA,NA
S00116538,82,NA,NA,NA,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,NA
S00117031,63,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA
S00115522,136,NA,NA,NA,NA,NA,NA,NA,NA,133,NA,NA,NA,NA,NA
S00113403,58,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA
S00115601,71,NA,NA,NA,NA,NA,NA,NA,NA,73,NA,NA,NA,NA,NA
S00115439,96,NA,NA,NA,NA,NA,NA,NA,NA,110,NA,NA,NA,NA,NA
S00114331,156,NA,NA,NA,NA,NA,NA,NA,NA,86,NA,NA,NA,NA,NA
S00116554,75,NA,NA,NA,NA,NA,NA,NA,NA,69,NA,NA,NA,NA,NA
S00114845,99,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
S00113004,111,NA,NA,NA,NA,NA,NA,NA,NA,102,NA,NA,NA,NA,NA
S00117324,74,NA,NA,NA,NA,NA,NA,NA,NA,71,NA,NA,NA,NA,NA
S00113299,138,NA,NA,NA,NA,NA,NA,NA,NA,131,NA,NA,NA,NA,NA
S00113005,123,NA,NA,NA,NA,NA,NA,NA,NA,85,NA,NA,NA,NA,NA
S00116880,113,NA,NA,NA,NA,NA,NA,NA,NA,89,NA,NA,NA,NA,NA
S00112997,93,NA,NA,NA,NA,NA,NA,NA,NA,91,NA,NA,NA,NA,NA
S00116878,75,NA,NA,NA,NA,NA,NA,NA,NA,79,NA,NA,NA,NA,NA
S00113298,137,NA,NA,NA,NA,NA,NA,NA,NA,111,NA,NA,NA,NA,NA
S00117457,61,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,NA,NA,NA,NA
S00115409,148,NA,NA,NA,NA,NA,NA,NA,NA,69,NA,NA,NA,NA,NA
S00115410,52,NA,NA,NA,NA,NA,NA,NA,NA,51,NA,NA,NA,NA,NA
S00115415,130,NA,NA,NA,NA,NA,NA,NA,NA,125,NA,NA,NA,NA,NA
S00115416,66,NA,NA,NA,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,NA
S00114490,114,NA,NA,NA,NA,NA,NA,NA,NA,105,NA,NA,NA,NA,NA
S00112437,59,NA,NA,NA,NA,NA,NA,NA,NA,56,NA,NA,NA,NA,NA
