code,p2002,p2003,p2004,p2005,p2006,p2007,p2008,p2009,p2010,p2011,p2012,p2013,p2014,p2015,p2016
S00115209,6.51,2.42,4.96,2.54,1.95,2,3.42,2.1,1.44,2.22,0.76,0.78,0,3.34,0
S00115210,3.05,1.23,4.35,1.26,3.8,1.92,1.29,1.96,2.64,1.33,0.67,1.36,2.06,0.7,0
S00117407,1.29,0.87,1.77,1.79,2.28,6.01,1.88,0.48,0.97,2.96,1,0.51,1.04,1.58,2.68
S00117409,1.53,4.66,3.96,2.42,2.47,1.68,1.71,3.49,2.67,0.91,0,0,1.94,0.99,2.03
S00115236,14.43,1.93,9.04,6.82,13.7,12.99,7.26,6.92,5.29,1.9,2.43,1.75,0,0.54,1.04
S00117411,8.9,4.2,7.88,3.68,6.33,4.75,1.06,4.24,3.19,3.19,4.8,3.2,1.6,1.61,1.61
S00115234,20.59,3.92,6.86,7.84,8.82,18.63,3.92,1.96,9.8,9.8,11.76,4.9,4.9,1.96,5.88
S00115240,17.04,3.09,4.83,5.06,4.42,3.71,8.8,5.16,7.66,4.65,3.72,6.66,2.87,0,3.4
S00115233,0.79,4,0.81,3.25,0,1.65,5,3.36,0.85,1.71,0.86,1.74,1.75,0,1.79
S00115239,7.69,6.8,9.83,7.95,9.04,3.05,0,9.35,9.46,7.45,2.15,2.18,3.31,1.12,2.26
S00115238,5.88,3.91,1.95,2.92,4.86,7.76,0,3.86,12.53,2.88,0.96,2.87,0.96,1.91,0.95
S00115237,4.26,9.68,5.43,2.2,6.67,6.74,3.41,19.54,1.16,2.35,3.57,3.61,2.44,1.23,0
S00115232,3.85,9.06,5.31,12.46,3.13,3.44,2.54,1.43,3.25,1.89,9,2.79,3.66,0,9.78
S00115217,21,25.26,20.21,18.23,29.01,6.69,6.37,8.77,3.87,4.32,7.11,8.53,12.59,1.58,3.05
S00115211,4.72,6.37,5.63,2.44,0.82,5.82,0,0.85,2.58,0,1.76,2.67,0,1.82,0.92
S00115231,8.41,7.91,7.35,12.31,13.18,5.16,2.79,1.52,8.35,11.11,10.39,2.37,5.51,3.29,28.5
S00115230,6.1,13.36,3.6,6.8,1.61,6.14,1.46,2.79,6.68,2.56,6.16,0,2.28,2.2,4.25
S00115235,2.5,7.45,8.63,12.24,12.16,12.08,3.6,3.58,2.37,2.35,1.17,3.48,0,0,0
S00115212,4.82,6.05,0,4.88,1.22,1.23,2.47,0,1.24,2.5,1.26,5.04,0,1.27,0
S00115229,2.78,3.48,8.21,2.33,4.42,6.3,1.33,2.55,3.05,4.68,1.69,3.78,0.52,1.51,0.97
S00115213,2.02,3.04,1.02,8.19,1.03,1.03,1.04,2.09,0,2.11,1.06,3.19,0,5.36,3.23
S00115218,5.26,0.75,0.75,2.26,1.51,2.27,0.76,0.76,1.51,0.76,1.52,1.52,0,0.76,0
S00116249,4.11,2.75,1.38,6.91,6.93,4.17,1.4,0,0,7.04,0,1.42,1.42,0,1.43
S00117410,1.16,2.36,1.19,3.63,7.36,1.24,2.52,1.28,5.19,3.95,0,0,0,1.4,2.84
S00116248,0,3.06,6.07,0,0,0,5.91,1.47,1.46,8.7,5.76,0,0,1.41,0
S00115215,0,2.5,5.85,3.35,2.52,1.68,0.84,2.53,1.69,5.93,0.85,1.7,0.85,0.85,0
S00115214,4.97,1.26,1.91,2.59,3.28,1.99,1.35,0,0.69,2.82,2.14,0.73,0,1.5,0
S00115216,4.28,4.15,6.45,7.05,0.76,1.48,0,1.41,2.75,2.68,1.97,1.28,0,0,0
S00115219,3.33,5.54,4.42,7.72,3.3,3.29,4.38,6.55,4.36,7.61,2.17,4.33,2.16,1.08,3.22
S00117408,10.17,13.51,8.41,0,3.34,1.66,0,1.65,11.52,1.64,3.27,1.63,1.62,1.62,0
S00115221,2.22,1.11,2.2,1.09,0,1.08,8.63,2.15,0,1.06,4.24,1.05,1.05,0,0
S00115228,3.9,7.72,2.55,2.53,3.77,2.49,6.17,1.22,8.5,6.02,2.39,2.37,2.35,3.5,3.48
S00115223,7.27,8.14,0.9,5.37,7.13,1.77,1.76,2.63,1.75,2.61,0.87,0.86,0.86,0.85,0.85
S00115225,18.97,13.43,11.45,9.57,10.9,9.12,4.46,13.06,7.1,6.94,10.88,6.66,11.74,6.39,5.01
S00115226,4.44,4.36,2.14,4.2,4.12,2.02,2.98,1.95,3.84,4.72,1.86,0,0,4.42,1.74
S00115227,12.66,12.06,16.13,25.37,20.09,5.08,6.84,4.71,2.72,3.51,6.79,1.64,0,0,3
S00115224,0,3.24,4.38,0,3.38,1.15,0,3.54,3.6,6.1,4.96,2.52,1.28,2.61,0
S00115222,11.35,4.98,3.57,7.16,2.87,4.32,2.89,0.73,1.46,2.19,1.46,2.2,1.47,2.22,2.23
S00115220,3.85,2.83,2.77,1.81,0,3.49,2.57,2.53,1.65,3.25,1.6,0,3.09,0,3.74
S00116247,0.51,2.07,0.52,3.72,2.15,4.35,1.1,1.67,0,1.71,1.74,0,1.19,0,0
S00117406,3.09,4.08,3.02,1.99,2.96,0,0.96,2.86,0,1.87,0.92,0.92,0.91,0,0.89
S00117405,1.26,2.53,2.55,1.28,0,4.55,5.88,0,1.32,8.67,0.67,3.38,1.36,2.74,0.69
S00116110,0,0,0,0,1.26,4.13,8.76,2.28,2.69,3.61,2.18,0,0,0.43,0.4
S00116112,0,0,0,0,0,0,8.36,4.36,3.85,4.02,0,0.95,0.88,0.81,0.38
S00115777,12.8,6.61,7.16,2.79,4.09,6.66,10.42,1.91,4.98,5.49,3.58,3.51,4.01,1.69,2.76
S00115774,30,21.18,6.32,5.71,2.61,10.8,7.78,3.1,1.94,2.73,1.71,0,0,0,2.09
S00116308,3.28,2.5,5.08,1.72,4.39,2.68,2.73,2.78,2.83,1.92,0,7,1.02,2.08,3.19
S00117499,10.78,3.89,1.93,11.5,9.51,5.67,0.94,0.93,0.92,6.42,1.82,1.81,1.8,1.78,3.54
S00115773,18.82,11.42,12.07,9.24,7.67,13.41,3.92,4.26,4.55,2.14,3.03,0.48,2.26,1.29,2.46
S00117500,11.19,18.93,9.24,9.72,9.5,13.27,5.84,5.08,6.85,5.49,1.79,5.86,2.3,3.38,3.87
S00117496,6.67,3.69,2.94,5.87,1.46,1.46,2.91,1.45,1.44,1.44,2.87,4.29,0,0.71,1.42
S00117498,7.14,11.93,8.33,0,7.04,3.27,1.83,0.57,1.61,1.52,1.92,0.91,1.3,1.24,1.19
S00117502,14.29,1.42,3.52,4.9,3.47,2.76,0.68,4.76,0,5.37,2,2.65,0.66,1.31,2.6
S00117497,1.33,0,2.12,0,6.01,1.55,0.8,0,0.86,2.68,0.93,1.93,1.01,1.05,2.2
S00117501,0,3.95,0.99,2,0,2.03,3.06,3.08,2.07,0,0,1.06,1.06,1.07,0
S00117503,11.18,2.37,2.38,7.17,4.21,4.83,0,0.61,3.07,4.32,2.48,1.87,1.26,0.63,2.54
S00116307,3.88,2.98,1.01,2.08,3.19,3.26,3.35,2.29,4.69,3.61,3.71,1.27,0,0,0
S00116302,5.52,4.93,4.31,2.2,5.25,3.06,10.18,2.4,6.56,3.36,2.58,2.65,0.91,2.79,3.83
S00116305,2.82,1.47,3.07,3.21,1.68,0.88,1.86,0,2.09,4.44,1.19,0,2.75,1.49,1.64
S00116306,3.1,3.15,2.4,4.88,1.65,0,3.42,1.74,6.19,4.5,3.67,3.74,0,2.91,2.97
S00116304,9.35,2.23,5.09,5.73,9.88,8.84,10.16,3.03,3.08,3.75,1.27,1.93,1.96,2.66,2.03
S00116309,23.97,18.37,10.12,13.64,13.78,13.93,14.96,8.89,16.18,13.64,4.6,4.65,6.58,10.47,3.85
S00115776,83.89,67.78,75.81,35.27,54.58,62.78,49.19,40.4,34.08,35.59,27.74,24.65,26.33,25.46,31.27
S00115772,10.76,5.13,3.75,2.3,3.92,2.41,4.93,5.05,0.86,2.65,2.73,0.93,7.68,3.95,1.02
