code,p2001
60QA000001,58
60QA000002,174
60QA000003,76
60QA000004,66
60QA000005,82
60QA000006,198
60QA000007,73
60QA000008,108
60QA000009,153
60QA000010,65
60QA000011,71
60QA000012,84
60QA000013,212
60QA000014,99
60QA000015,77
60QA000016,130
60QA000017,144
60QA000018,123
60QA000019,62
60QA000020,65
60QA000021,55
60QA000022,54
60QA000023,85
60QA000024,90
60QA000025,72
60QA000026,59
60QA000027,73
60QA000028,119
60QA000029,56
60QA000030,63
60QA000031,71
60QA000032,92
60QA000033,115
60QA000034,170
60QA000035,164
60QA000036,124
60QA000037,62
60QA000038,100
60QA000039,178
60QA000040,129
60QA000041,71
60QA000042,57
60QA000043,121
60QA000044,143
60QA000045,117
60QA000046,101
60QA000047,137
60QA000048,112
60QA000049,114
60QA000050,131
60QA000051,71
60QA000052,98
60QA000053,85
60QA000054,116
60QA000055,164
60QA000056,128
60QA000057,69
60QA000058,95
60QA000059,81
60QA000060,97
60QA000061,82
60QA000062,68
60QA000063,67
60QA000064,99
60QA000065,96
60QA000066,81
60QA000067,71
60QA000068,68
60QA000069,120
60QA000070,60
60QA000071,69
60QA000072,61
60QA000073,87
60QA000074,97
60QA000075,59
60QA000076,160
60QA000077,82
60QA000078,190
60QA000079,66
60QA000080,123
60QA000081,78
60QA000082,211
60QA000083,94
60QA000084,102
60QA000085,131
60QA000086,119
60QA000087,141
60QA000088,155
60QA000089,90
60QA000090,80
60QA000091,88
60QA000092,62
60QA000093,104
60QA000094,71
60QA000095,64
60QA000096,104
60QA000097,90
60QA000098,84
60QA000099,93
60QA000100,63
60QA000101,62
60QA000102,75
60QA000103,76
60QA000104,74
60QA000105,76
60QA000106,70
60QA000107,77
60QA000108,119
60QA000109,62
60QA000110,123
60QA000111,71
60QA000112,54
60QA000113,56
60QA000114,92
60QA000115,73
60QA000116,79
60QA000117,133
60QA000118,108
60QA000119,103
60QA000120,107
60QA000121,129
60QA000122,101
60QA000123,106
60QA000124,128
60QA000125,160
60QA000126,156
60QA000127,133
60QA000128,100
60QA000129,108
60QA000130,89
60QA000131,147
60QA000132,110
60QA000133,101
60QA000134,74
60QA000135,68
60QA000136,78
60QA000137,79
60QA000138,110
60QA000139,106
60QA000140,81
60QA000141,88
60QA000142,54
60QA000143,95
60QA000144,153
60QA000145,121
60QA000146,59
60QA000147,119
60QA000148,145
60QA000149,103
60QA000150,111
60QA000151,168
60QA000152,64
60QA000153,93
60QA000154,149
60QA000155,69
60QA000156,159
60QA000157,107
60QA000158,178
60QA000159,133
60QA000160,96
60QA000161,113
60QA000162,134
60QA000163,101
60QA000164,111
60QA000165,99
60QA000166,143
60QA000167,143
60QA000168,121
60QA000169,112
60QA000170,116
60QA000171,57
60QA000172,96
60QA000173,110
60QA000174,117
60QA000175,163
60QA000176,109
60QA000177,119
60QA000178,69
60QA000179,72
60QA000180,108
60QA000181,108
60QA000182,110
60QA000183,145
60QA000184,122
60QA000185,120
60QA000186,75
60QA000187,123
60QA000188,76
60QA000189,90
60QA000190,113
60QA000191,131
60QA000192,133
60QA000193,89
60QA000194,116
60QA000195,100
60QA000196,107
60QA000197,123
60QA000198,92
60QA000199,112
60QA000200,160
60QA000201,126
60QA000202,76
60QA000203,131
60QA000204,81
60QA000205,90
60QA000206,68
60QA000207,62
60QA000208,179
60QA000209,146
60QA000210,103
60QA000211,139
60QA000212,150
60QA000213,177
60QA000214,151
60QA000215,101
60QA000216,126
60QA000217,117
60QA000218,123
60QA000219,136
60QA000220,94
60QA000221,138
60QA000222,180
60QA000223,315
60QA000224,147
60QA000225,125
60QA000226,135
60QA000227,129
60QA000228,83
60QA000229,91
60QA000230,73
60QA000231,106
60QA000232,165
60QA000233,190
60QA000234,140
60QA000235,104
60QA000236,127
60QA000237,106
60QA000238,78
60QA000239,61
60QA000240,67
60QA000241,56
60QA000242,117
60QA000243,65
60QA000244,75
60QA000245,67
60QA000246,103
60QA000247,68
60QA000248,105
60QA000249,63
60QA000250,71
60QA000251,65
60QA000252,84
60QA000253,92
60QA000254,199
60QA000255,113
60QA000256,114
60QA000257,89
60QA000258,91
60QA000259,96
60QA000260,69
60QA000261,210
60QA000262,98
60QA000263,87
60QA000264,86
60QA000265,145
60QA000266,131
60QA000267,115
60QA000268,178
60QA000269,179
60QA000270,144
60QA000271,121
60QA000272,82
60QA000273,81
60QA000274,149
60QA000275,144
60QA000276,147
60QA000277,127
60QA000278,126
60QA000279,124
60QA000280,133
60QA000281,101
60QA000282,97
60QA000283,126
60QA000284,91
60QA000285,100
60QA000286,145
60QA000287,152
60QA000288,86
60QA000289,56
60QA000290,119
60QA000291,85
60QA000292,109
60QA000293,65
60QA000294,111
60QA000295,82
60QA000296,119
60QA000297,93
60QA000298,65
60QA000299,75
60QA000300,140
60QA000301,55
60QA000302,51
60QA000303,183
60QA000304,65
60QA000305,70
60QA000306,70
60QA000307,84
60QA000308,51
60QA000309,161
60QA000310,128
60QA000311,95
60QA000312,88
60QA000313,113
60QA000314,128
60QA000315,115
60QA000316,117
60QA000317,94
60QA000318,143
60QA000319,156
60QA000320,182
60QA000321,163
60QA000322,102
60QA000323,114
60QA000324,69
60QA000325,109
60QA000326,112
60QA000327,123
60QA000328,186
60QA000329,173
60QA000330,76
60QA000331,129
60QA000332,75
60QA000333,63
60QA000334,146
60QA000335,163
60QA000336,107
60QA000337,126
60QA000338,138
60QA000339,120
60QA000340,116
60QA000341,107
60QA000342,99
60QA000343,106
60QA000344,151
60QA000345,113
60QA000346,86
60QA000347,117
60QA000348,80
60QA000349,89
60QA000350,102
60QA000351,121
60QA000352,108
60QA000353,114
60QA000354,105
60QA000355,100
60QA000356,164
60QA000357,185
60QA000358,166
60QA000359,159
60QA000360,109
60QA000361,84
60QA000362,100
60QA000363,171
60QA000364,155
60QA000365,140
60QA000366,67
60QA000367,77
60QA000368,57
60QA000369,92
60QA000370,158
60QA000371,111
60QA000372,103
60QA000373,101
60QA000374,119
60QA000375,88
60QA000376,152
60QA000377,122
60QA000378,92
60QA000379,165
60QA000380,70
60QA000381,112
60QA000382,101
60QA000383,144
60QA000384,112
60QA000385,159
60QA000386,162
60QA000387,80
60QA000388,95
60QA000389,90
60QA000390,104
60QA000391,139
60QA000392,117
60QA000393,124
60QA000394,68
60QA000395,187
60QA000396,136
60QA000397,143
60QA000398,82
60QA000399,104
60QA000400,194
60QA000401,164
60QA000402,103
60QA000403,133
60QA000404,127
60QA000405,166
60QA000406,124
60QA000407,228
60QA000408,176
60QA000409,182
60QA000410,102
60QA000411,85
60QA000412,101
60QA000413,79
60QA000414,75
60QA000415,70
60QA000416,128
60QA000417,65
60QA000418,93
60QA000419,111
60QA000420,64
60QA000421,98
60QA000422,81
60QA000423,91
60QA000424,114
60QA000425,93
60QA000426,115
60QA000427,160
60QA000428,118
60QA000429,113
60QA000430,112
60QA000431,143
60QA000432,98
60QA000433,209
60QA000434,181
60QA000435,72
60QA000436,104
60QA000437,161
60QA000438,143
60QA000439,148
60QA000440,106
60QA000441,140
60QA000442,160
60QA000443,102
60QA000444,169
60QA000445,132
60QA000446,182
60QA000447,125
60QA000448,163
60QA000449,104
60QA000450,133
60QA000451,65
60QA000452,60
60QA000453,94
60QA000454,139
60QA000455,128
60QA000456,135
60QA000457,153
60QA000458,116
60QA000459,68
60QA000460,97
60QA000461,131
60QA000462,70
60QA000463,94
60QA000464,107
60QA000465,89
60QA000466,51
60QA000467,59
60QA000468,91
60QA000469,68
60QA000470,79
60QA000471,122
60QA000472,78
60QA000473,59
60QA000474,77
60QA000475,96
60QA000476,106
60QA000477,72
60QA000478,105
60QA000479,146
60QA000480,71
60QA000481,178
60QA000482,64
60QA000483,122
60QA000484,115
60QA000485,61
60QA000486,68
60QA000487,90
60QA000488,94
60QA000489,70
60QA000490,62
60QA000491,73
60QA000492,90
60QA000493,67
60QA000494,61
60QA000495,103
60QA000496,83
60QA000497,112
60QA000498,181
60QA000499,129
60QA000500,113
60QA000501,67
60QA000502,63
60QA000503,77
60QA000504,58
60QA000505,65
60QA000506,187
60QA000507,132
60QA000508,82
60QA000509,98
60QA000510,141
60QA000511,129
60QA000512,65
60QA000513,64
60QA000514,64
60QA000515,99
60QA000516,86
60QA000517,113
60QA000518,108
60QA000519,123
60QA000520,124
60QA000521,75
60QA000522,168
60QA000523,329
60QA000524,64
60QA000525,162
60QA000526,126
60QA000527,91
60QA000528,119
60QA000529,126
