Scotland,p2011
S00088956,230
S00088957,66
S00088958,90
S00088959,83
S00088960,68
S00088961,217
S00088962,86
S00088963,89
S00088964,88
S00088965,144
S00088966,120
S00088967,52
S00088968,56
S00088969,154
S00088970,105
S00088971,78
S00088972,129
S00088973,144
S00088974,120
S00088975,77
S00088976,69
S00088977,60
S00088978,60
S00088979,85
S00088980,66
S00088981,57
S00088982,66
S00088983,65
S00088984,55
S00088985,80
S00088986,131
S00088987,63
S00088988,67
S00088989,95
S00088990,107
S00088991,127
S00088992,541
S00088993,123
S00088994,57
S00088995,62
S00088996,102
S00088997,152
S00088998,126
S00088999,123
S00089000,120
S00089001,115
S00089002,135
S00089003,118
S00089004,97
S00089005,133
S00089006,104
S00089007,122
S00089008,73
S00089009,106
S00089010,129
S00089011,155
S00089012,117
S00089013,69
S00089014,117
S00089015,93
S00089016,90
S00089017,83
S00089018,148
S00089019,134
S00089020,79
S00089021,83
S00089022,96
S00089023,99
S00089024,65
S00089025,63
S00089026,67
S00089027,107
S00089028,78
S00089029,82
S00089030,66
S00089031,143
S00089032,84
S00089033,95
S00089034,58
S00089035,106
S00089036,67
S00089037,87
S00089038,58
S00089039,80
S00089040,91
S00089041,225
S00089042,68
S00089043,148
S00089044,71
S00089045,73
S00089046,248
S00089047,110
S00089048,91
S00089049,130
S00089050,108
S00089051,146
S00089052,148
S00089053,114
S00089054,76
S00089055,86
S00089056,71
S00089057,85
S00089058,96
S00089059,55
S00089060,61
S00089061,75
S00089062,53
S00089063,83
S00089064,84
S00089065,95
S00089066,64
S00089067,108
S00089068,73
S00089069,60
S00089070,127
S00089071,88
S00089072,113
S00089073,94
S00089074,145
S00089075,87
S00089076,113
S00089077,90
S00089078,52
S00089079,61
S00089080,100
S00089081,74
S00089082,82
S00089083,120
S00089084,100
S00089085,121
S00089086,100
S00089087,141
S00089088,93
S00089089,110
S00089090,126
S00089091,150
S00089092,171
S00089093,166
S00089094,90
S00089095,119
S00089096,97
S00089097,83
S00089098,82
S00089099,120
S00089100,101
S00089101,75
S00089102,86
S00089103,89
S00089104,67
S00089105,96
S00089106,89
S00089107,82
S00089108,92
S00089109,60
S00089110,109
S00089111,147
S00089112,151
S00089113,64
S00089114,117
S00089115,154
S00089116,206
S00089117,125
S00089118,145
S00089119,87
S00089120,77
S00089121,173
S00089122,65
S00089123,151
S00089124,105
S00089125,164
S00089126,116
S00089127,93
S00089128,97
S00089129,197
S00089130,93
S00089131,102
S00089132,87
S00089133,87
S00089134,129
S00089135,144
S00089136,112
S00089137,109
S00089138,55
S00089139,86
S00089140,100
S00089141,120
S00089142,137
S00089143,105
S00089144,91
S00089145,127
S00089146,117
S00089147,96
S00089148,123
S00089149,124
S00089150,151
S00089151,61
S00089152,54
S00089153,63
S00089154,72
S00089155,84
S00089156,129
S00089157,105
S00089158,136
S00089159,90
S00089160,112
S00089161,95
S00089162,77
S00089163,115
S00089164,78
S00089165,105
S00089166,150
S00089167,107
S00089168,64
S00089169,117
S00089170,90
S00089171,74
S00089172,64
S00089173,139
S00089174,161
S00089175,124
S00089176,102
S00089177,129
S00089178,149
S00089179,172
S00089180,134
S00089181,101
S00089182,114
S00089183,98
S00089184,137
S00089185,136
S00089186,114
S00089187,67
S00089188,146
S00089189,152
S00089190,113
S00089191,137
S00089192,111
S00089193,132
S00089194,153
S00089195,135
S00089196,119
S00089197,116
S00089198,83
S00089199,100
S00089200,69
S00089201,98
S00089202,152
S00089203,214
S00089204,149
S00089205,117
S00089206,122
S00089207,100
S00089208,76
S00089209,73
S00089210,76
S00089211,71
S00089212,106
S00089213,68
S00089214,61
S00089215,67
S00089216,97
S00089217,79
S00089218,126
S00089219,84
S00089220,60
S00089221,146
S00089222,89
S00089223,70
S00089224,191
S00089225,58
S00089226,57
S00089227,128
S00089228,95
S00089229,97
S00089230,100
S00089231,87
S00089232,93
S00089233,80
S00089234,97
S00089235,104
S00089236,81
S00089237,117
S00089238,135
S00089239,98
S00089240,179
S00089241,65
S00089242,123
S00089243,115
S00089244,117
S00089245,84
S00089246,95
S00089247,166
S00089248,205
S00089249,105
S00089250,88
S00089251,106
S00089252,118
S00089253,129
S00089254,137
S00089255,119
S00089256,109
S00089257,97
S00089258,100
S00089259,84
S00089260,136
S00089261,158
S00089262,108
S00089263,92
S00089264,139
S00089265,84
S00089266,100
S00089267,79
S00089268,113
S00089269,101
S00089270,120
S00089271,90
S00089272,69
S00089273,101
S00089274,129
S00089275,64
S00089276,59
S00089277,177
S00089278,66
S00089279,67
S00089280,59
S00089281,75
S00089282,69
S00089283,54
S00089284,105
S00089285,128
S00089286,106
S00089287,87
S00089288,151
S00089289,124
S00089290,69
S00089291,99
S00089292,90
S00089293,153
S00089294,148
S00089295,190
S00089296,161
S00089297,93
S00089298,98
S00089299,64
S00089300,99
S00089301,116
S00089302,104
S00089303,167
S00089304,159
S00089305,71
S00089306,141
S00089307,88
S00089308,77
S00089309,148
S00089310,171
S00089311,101
S00089312,164
S00089313,150
S00089314,125
S00089315,108
S00089316,106
S00089317,94
S00089318,107
S00089319,134
S00089320,125
S00089321,85
S00089322,124
S00089323,83
S00089324,94
S00089325,102
S00089326,130
S00089327,108
S00089328,111
S00089329,95
S00089330,151
S00089331,168
S00089332,172
S00089333,176
S00089334,150
S00089335,144
S00089336,93
S00089337,57
S00089338,156
S00089339,150
S00089340,125
S00089341,77
S00089342,75
S00089343,71
S00089344,70
S00089345,98
S00089346,145
S00089347,108
S00089348,92
S00089349,97
S00089350,123
S00089351,175
S00089352,158
S00089353,111
S00089354,89
S00089355,165
S00089356,61
S00089357,118
S00089358,85
S00089359,129
S00089360,113
S00089361,151
S00089362,134
S00089363,60
S00089364,96
S00089365,132
S00089366,105
S00089367,102
S00089368,58
S00089369,120
S00089370,107
S00089371,123
S00089372,63
S00089373,97
S00089374,97
S00089375,137
S00089376,135
S00089377,82
S00089378,103
S00089379,169
S00089380,156
S00089381,108
S00089382,126
S00089383,108
S00089384,106
S00089385,189
S00089386,208
S00089387,158
S00089388,159
S00089389,98
S00089390,93
S00089391,101
S00089392,85
S00089393,86
S00089394,68
S00089395,111
S00089396,72
S00089397,101
S00089398,96
S00089399,51
S00089400,98
S00089401,73
S00089402,84
S00089403,98
S00089404,95
S00089405,112
S00089406,145
S00089407,128
S00089408,104
S00089409,117
S00089410,121
S00089411,98
S00089412,190
S00089413,188
S00089414,63
S00089415,97
S00089416,151
S00089417,133
S00089418,149
S00089419,118
S00089420,142
S00089421,171
S00089422,88
S00089423,163
S00089424,144
S00089425,183
S00089426,189
S00089427,79
S00089428,83
S00089429,135
S00089430,126
S00089431,138
S00089432,61
S00089433,74
S00089434,80
S00089435,120
S00089436,117
