SCOTLAND,p2013,p2014,p2015,p2016
S01006506,897,904,901,897
S01006507,853,830,818,807
S01006508,670,694,669,640
S01006509,574,573,553,555
S01006510,645,676,694,671
S01006511,774,781,772,776
S01006512,536,528,532,542
S01006513,688,697,705,706
S01006514,"1,099","1,131","1,103","1,126"
S01006515,802,791,796,786
S01006516,559,572,608,634
S01006517,"1,019","1,038","1,042","1,023"
S01006518,647,671,670,675
S01006519,899,904,928,980
S01006520,779,783,784,786
S01006521,758,772,776,793
S01006522,607,628,626,667
S01006523,952,942,974,972
S01006524,"1,014","1,017","1,058","1,076"
S01006525,795,849,870,879
S01006526,873,906,925,953
S01006527,658,669,711,756
S01006528,"1,086","1,056","1,094","1,115"
S01006529,895,889,930,947
S01006530,762,794,748,748
S01006531,952,975,966,940
S01006532,777,804,805,806
S01006533,797,772,752,732
S01006534,949,975,975,988
S01006535,"1,065","1,035","1,035","1,055"
S01006536,"1,026","1,071","1,062","1,018"
S01006537,869,916,898,894
S01006538,575,594,581,567
S01006539,767,777,770,760
S01006540,945,946,968,950
S01006541,837,826,841,861
S01006542,981,991,"1,082","1,121"
S01006543,811,812,785,777
S01006544,"1,203","1,176","1,187","1,236"
S01006545,"1,057","1,071","1,117","1,079"
S01006546,621,638,635,629
S01006547,925,929,"1,034","1,153"
S01006548,703,697,687,670
S01006549,815,836,805,807
S01006550,950,941,949,929
S01006551,664,693,711,700
S01006552,880,864,860,883
S01006553,873,866,887,917
S01006554,753,799,792,785
S01006555,800,785,750,748
S01006556,839,815,837,813
S01006557,710,707,677,674
S01006558,620,620,613,576
S01006559,626,618,600,624
S01006560,975,984,"1,002","1,011"
S01006561,741,762,745,712
S01006562,806,889,910,939
S01006563,759,755,738,694
S01006564,"1,038","1,039","1,034","1,012"
S01006565,"1,017","1,011","1,037","1,025"
S01006566,781,744,767,779
S01006567,803,828,849,809
S01006568,908,936,967,965
S01006569,562,560,593,575
S01006570,805,815,775,744
S01006571,935,944,926,927
S01006572,931,969,968,961
S01006573,742,742,777,771
S01006574,992,977,"1,007","1,033"
S01006575,944,919,948,946
S01006576,757,759,733,729
S01006577,821,815,837,845
S01006578,"1,085","1,085","1,096","1,125"
S01006579,"1,013","1,018","1,054","1,038"
S01006580,768,781,765,741
S01006581,926,924,919,956
S01006582,900,903,854,822
S01006583,714,714,721,702
S01006584,659,648,650,611
S01006585,834,856,858,832
S01006586,"1,081","1,070","1,053","1,047"
S01006587,560,551,581,592
S01006588,633,651,648,641
S01006589,736,750,747,713
S01006590,779,785,809,790
S01006591,765,758,739,715
S01006592,680,697,713,707
S01006593,761,801,820,818
S01006594,521,525,549,537
S01006595,925,930,934,944
S01006596,740,771,778,782
S01006597,528,551,537,515
S01006598,"1,016","1,014","1,018","1,016"
S01006599,808,836,844,824
S01006600,"1,193","1,182","1,255","1,258"
S01006601,"1,039","1,075","1,058","1,038"
S01006602,875,934,899,886
S01006603,854,848,828,832
S01006604,653,675,675,659
S01006605,832,830,813,820
S01006606,847,856,824,809
S01006607,928,927,936,929
S01006608,847,"1,103","1,254","1,524"
S01006609,"1,063","1,074","1,059","1,063"
S01006610,457,453,458,432
S01006611,914,905,915,927
S01006612,847,857,850,845
S01006613,620,600,626,601
S01006614,680,686,661,653
S01006615,817,808,811,842
S01006616,794,780,763,737
S01006617,657,658,640,639
S01006618,498,503,488,478
S01006619,877,864,883,887
S01006620,840,819,819,785
S01006621,527,523,517,511
S01006622,649,659,654,673
S01006623,741,736,722,731
S01006624,913,822,835,845
S01006625,615,618,623,615
S01006626,722,720,692,681
S01006627,870,890,907,884
S01006628,"1,166","1,168","1,210","1,125"
S01006629,803,830,856,887
S01006630,659,651,651,655
S01006631,"1,012","1,032","1,088","1,075"
S01006632,836,824,841,834
S01006633,669,656,674,668
S01006634,660,647,646,622
S01006635,673,695,688,647
S01006636,850,820,841,822
S01006637,828,803,849,796
S01006638,844,866,859,802
S01006639,"1,015","1,004",986,962
S01006640,764,755,797,846
S01006641,"1,051","1,082","1,098","1,047"
S01006642,"1,344","1,332","1,367","1,337"
S01006643,737,782,791,758
S01006644,"1,085","1,102","1,131","1,131"
S01006645,725,703,708,716
S01006646,"1,016","1,001","1,021",950
S01006647,656,663,664,649
S01006648,"1,806","1,749","1,887","1,861"
S01006649,979,964,959,971
S01006650,877,890,879,836
S01006651,673,658,643,647
S01006652,610,592,630,616
S01006653,581,613,582,544
S01006654,894,873,872,881
S01006655,797,759,793,797
S01006656,"1,017","1,026",975,980
S01006657,518,502,517,510
S01006658,"1,051","1,043","1,137","1,169"
S01006659,631,645,638,607
S01006660,519,536,526,526
S01006661,635,616,621,601
S01006662,854,961,955,929
S01006663,566,544,569,549
S01006664,509,497,539,555
S01006665,736,721,795,800
S01006666,892,925,977,988
S01006667,757,745,742,761
S01006668,911,926,943,944
S01006669,"1,131","1,078","1,056","1,051"
S01006670,916,946,977,909
S01006671,"2,001","2,343","2,179","2,153"
S01006672,839,804,805,805
S01006673,882,837,861,865
S01006674,955,928,945,931
S01006675,855,837,908,921
S01006676,755,745,767,753
S01006677,711,736,741,703
S01006678,"1,352","1,572","1,669","1,697"
S01006679,657,657,626,601
S01006680,857,833,898,897
S01006681,843,834,810,813
S01006682,935,918,931,956
S01006683,914,926,938,967
S01006684,678,666,681,670
S01006685,725,728,733,706
S01006686,659,662,621,591
S01006687,825,850,820,750
S01006688,952,957,934,922
S01006689,829,833,926,932
S01006690,601,598,621,599
S01006691,554,528,574,586
S01006692,751,770,806,793
S01006693,"1,027","1,036","1,006",957
S01006694,855,848,915,923
S01006695,706,730,739,754
S01006696,832,831,838,812
S01006697,968,934,952,954
S01006698,759,756,772,786
S01006699,492,485,474,496
S01006700,831,853,822,844
S01006701,733,715,725,713
S01006702,780,787,804,790
S01006703,660,676,649,665
S01006704,597,590,568,582
S01006705,736,734,749,745
S01006706,631,645,632,622
S01006707,703,682,702,702
S01006708,788,798,805,816
S01006709,927,901,918,898
S01006710,843,859,850,832
S01006711,930,924,909,913
S01006712,529,530,516,517
S01006713,955,962,975,955
S01006714,729,750,747,738
S01006715,618,629,631,615
S01006716,619,630,596,595
S01006717,984,984,976,964
S01006718,646,635,633,627
S01006719,898,902,898,905
S01006720,590,574,563,580
S01006721,"1,007",995,981,958
S01006722,751,763,723,706
S01006723,640,640,639,635
S01006724,993,"1,013","1,017",996
S01006725,647,660,660,635
S01006726,"1,350","1,304","1,180",999
S01006727,"1,029","1,033","1,062","1,078"
S01006728,763,792,783,778
S01006729,847,829,822,839
S01006730,801,784,768,766
S01006731,578,559,541,534
S01006732,"1,143","1,154","1,117","1,080"
S01006733,975,967,973,974
S01006734,992,975,990,"1,021"
S01006735,610,616,599,589
S01006736,"1,154","1,162","1,109","1,107"
S01006737,775,774,802,788
S01006738,892,908,900,881
S01006739,740,807,804,996
S01006740,732,753,746,759
S01006741,652,647,645,665
S01006742,445,451,451,462
S01006743,558,642,644,664
S01006744,613,619,609,626
S01006745,850,838,849,829
S01006746,847,840,841,847
S01006747,822,810,892,983
S01006748,994,"1,156","1,172","1,209"
S01006749,909,903,889,894
S01006750,686,681,677,683
S01006751,532,520,509,485
S01006752,732,732,705,702
S01006753,894,903,891,861
S01006754,871,849,840,835
S01006755,812,818,818,817
S01006756,738,738,717,758
S01006757,888,914,884,900
S01006758,693,678,674,684
S01006759,593,593,587,590
S01006760,485,474,461,453
S01006761,679,681,690,682
S01006762,833,909,984,"1,046"
S01006763,846,847,884,860
S01006764,787,774,750,746
S01006765,563,556,552,546
S01006766,584,587,595,586
S01006767,687,678,683,676
S01006768,595,593,592,621
S01006769,969,979,964,930
S01006770,611,619,638,608
S01006771,450,450,431,418
S01006772,851,852,856,859
S01006773,851,890,885,900
S01006774,628,631,627,616
S01006775,653,654,667,713
S01006776,494,511,525,511
S01006777,658,663,664,670
S01006778,615,610,594,613
S01006779,613,597,584,582
S01006780,573,585,574,572
S01006781,690,700,692,688
S01006782,784,827,803,798
S01006783,671,651,619,624
S01006784,632,625,625,591
S01006785,595,608,607,614
S01006786,827,826,828,809
S01006787,621,639,623,629
S01006788,839,871,994,"1,263"
S01006789,606,615,607,544
S01006790,888,884,881,886
S01006791,525,556,559,552
S01006792,514,512,483,455
S01006793,583,597,588,603
S01006794,549,531,557,563
S01006795,781,811,815,797
S01006796,676,740,797,860
S01006797,624,645,647,640
