code,p2013,p2014,p2015,p2016
S01006506,886,898,901,897
S01006507,858,837,818,807
S01006508,665,696,669,640
S01006509,567,563,553,555
S01006510,645,684,694,671
S01006511,768,775,772,776
S01006512,542,538,532,542
S01006513,676,687,705,706
S01006514,1093,1122,1103,1126
S01006515,791,787,796,786
S01006516,549,564,608,634
S01006517,1019,1037,1042,1023
S01006518,648,665,670,675
S01006519,910,913,928,980
S01006520,782,784,784,786
S01006521,759,777,776,793
S01006522,605,626,626,667
S01006523,947,944,974,972
S01006524,1023,1030,1058,1076
S01006525,798,852,870,879
S01006526,888,916,925,953
S01006527,655,669,711,756
S01006528,1092,1054,1094,1115
S01006529,889,888,930,947
S01006530,757,785,748,748
S01006531,953,977,966,940
S01006532,779,805,805,806
S01006533,793,777,752,732
S01006534,948,970,975,988
S01006535,1069,1038,1035,1055
S01006536,1036,1079,1062,1018
S01006537,869,914,898,894
S01006538,568,582,581,567
S01006539,774,786,770,760
S01006540,941,941,968,950
S01006541,839,824,841,861
S01006542,981,989,1082,1121
S01006543,805,806,785,777
S01006544,1203,1170,1187,1236
S01006545,1061,1071,1117,1079
S01006546,618,638,635,629
S01006547,925,933,1034,1153
S01006548,704,690,687,670
S01006549,808,827,805,807
S01006550,940,934,949,929
S01006551,662,698,711,700
S01006552,884,873,860,883
S01006553,883,874,887,917
S01006554,753,807,792,785
S01006555,788,777,750,748
S01006556,841,815,837,813
S01006557,714,709,677,674
S01006558,613,622,613,576
S01006559,627,616,600,624
S01006560,969,979,1002,1011
S01006561,730,759,745,712
S01006562,811,889,910,939
S01006563,759,757,738,694
S01006564,1045,1038,1034,1012
S01006565,997,992,1037,1025
S01006566,775,748,767,779
S01006567,809,844,849,809
S01006568,912,939,967,965
S01006569,574,577,593,575
S01006570,801,812,775,744
S01006571,928,935,926,927
S01006572,947,981,968,961
S01006573,744,750,777,771
S01006574,994,981,1007,1033
S01006575,953,935,948,946
S01006576,756,753,733,729
S01006577,808,802,837,845
S01006578,1095,1091,1096,1125
S01006579,1016,1023,1054,1038
S01006580,772,781,765,741
S01006581,926,925,919,956
S01006582,899,908,854,822
S01006583,707,702,721,702
S01006584,667,656,650,611
S01006585,834,860,858,832
S01006586,1074,1049,1053,1047
S01006587,559,552,581,592
S01006588,632,651,648,641
S01006589,746,761,747,713
S01006590,781,793,809,790
S01006591,764,750,739,715
S01006592,679,696,713,707
S01006593,765,801,820,818
S01006594,523,526,549,537
S01006595,906,914,934,944
S01006596,745,774,778,782
S01006597,536,554,537,515
S01006598,1014,1012,1018,1016
S01006599,803,831,844,824
S01006600,1216,1202,1255,1258
S01006601,1026,1068,1058,1038
S01006602,869,928,899,886
S01006603,843,837,828,832
S01006604,655,681,675,659
S01006605,833,831,813,820
S01006606,846,852,824,809
S01006607,919,920,936,929
S01006608,844,1108,1254,1524
S01006609,1065,1073,1059,1063
S01006610,452,448,458,432
S01006611,924,915,915,927
S01006612,845,852,850,845
S01006613,626,609,626,601
S01006614,678,687,661,653
S01006615,818,812,811,842
S01006616,797,784,763,737
S01006617,655,657,640,639
S01006618,488,492,488,478
S01006619,885,870,883,887
S01006620,825,802,819,785
S01006621,526,517,517,511
S01006622,640,648,654,673
S01006623,745,741,722,731
S01006624,913,819,835,845
S01006625,620,626,623,615
S01006626,719,709,692,681
S01006627,873,896,907,884
S01006628,1166,1171,1210,1125
S01006629,801,830,856,887
S01006630,652,640,651,655
S01006631,1021,1045,1088,1075
S01006632,829,816,841,834
S01006633,674,664,674,668
S01006634,666,650,646,622
S01006635,673,689,688,647
S01006636,852,822,841,822
S01006637,832,811,849,796
S01006638,832,850,859,802
S01006639,1030,1015,986,962
S01006640,772,770,797,846
S01006641,1049,1076,1098,1047
S01006642,1361,1343,1367,1337
S01006643,732,786,791,758
S01006644,1082,1102,1131,1131
S01006645,726,706,708,716
S01006646,1011,986,1021,950
S01006647,662,663,664,649
S01006648,1811,1750,1887,1861
S01006649,981,975,959,971
S01006650,888,906,879,836
S01006651,674,663,643,647
S01006652,619,609,630,616
S01006653,568,601,582,544
S01006654,899,873,872,881
S01006655,795,762,793,797
S01006656,1005,1015,975,980
S01006657,511,498,517,510
S01006658,1055,1054,1137,1169
S01006659,627,642,638,607
S01006660,519,529,526,526
S01006661,629,611,621,601
S01006662,856,942,955,929
S01006663,575,559,569,549
S01006664,504,494,539,555
S01006665,721,710,795,800
S01006666,893,921,977,988
S01006667,751,742,742,761
S01006668,902,909,943,944
S01006669,1135,1085,1056,1051
S01006670,916,941,977,909
S01006671,2029,2336,2179,2153
S01006672,847,820,805,805
S01006673,902,867,861,865
S01006674,959,937,945,931
S01006675,848,837,908,921
S01006676,750,739,767,753
S01006677,700,729,741,703
S01006678,1347,1566,1669,1697
S01006679,649,643,626,601
S01006680,861,837,898,897
S01006681,843,829,810,813
S01006682,927,905,931,956
S01006683,913,922,938,967
S01006684,679,667,681,670
S01006685,729,731,733,706
S01006686,659,658,621,591
S01006687,821,843,820,750
S01006688,942,948,934,922
S01006689,832,843,926,932
S01006690,598,593,621,599
S01006691,555,540,574,586
S01006692,768,796,806,793
S01006693,1024,1039,1006,957
S01006694,853,844,915,923
S01006695,717,739,739,754
S01006696,831,821,838,812
S01006697,975,937,952,954
S01006698,765,759,772,786
S01006699,492,484,474,496
S01006700,830,844,822,844
S01006701,727,705,725,713
S01006702,788,794,804,790
S01006703,652,662,649,665
S01006704,595,584,568,582
S01006705,742,749,749,745
S01006706,635,646,632,622
S01006707,692,670,702,702
S01006708,789,797,805,816
S01006709,936,910,918,898
S01006710,845,860,850,832
S01006711,933,925,909,913
S01006712,527,524,516,517
S01006713,956,962,975,955
S01006714,739,757,747,738
S01006715,612,634,631,615
S01006716,608,619,596,595
S01006717,967,969,976,964
S01006718,640,622,633,627
S01006719,899,903,898,905
S01006720,590,579,563,580
S01006721,1000,986,981,958
S01006722,741,757,723,706
S01006723,636,635,639,635
S01006724,1007,1014,1017,996
S01006725,642,656,660,635
S01006726,1353,1308,1180,999
S01006727,1037,1043,1062,1078
S01006728,756,790,783,778
S01006729,854,839,822,839
S01006730,801,783,768,766
S01006731,578,558,541,534
S01006732,1140,1160,1117,1080
S01006733,975,967,973,974
S01006734,992,986,990,1021
S01006735,603,614,599,589
S01006736,1143,1143,1109,1107
S01006737,779,775,802,788
S01006738,894,926,900,881
S01006739,738,812,804,996
S01006740,740,755,746,759
S01006741,651,641,645,665
S01006742,449,452,451,462
S01006743,553,633,644,664
S01006744,618,625,609,626
S01006745,850,838,849,829
S01006746,847,850,841,847
S01006747,822,805,892,983
S01006748,998,1158,1172,1209
S01006749,900,898,889,894
S01006750,683,687,677,683
S01006751,529,513,509,485
S01006752,727,734,705,702
S01006753,909,927,891,861
S01006754,882,857,840,835
S01006755,803,808,818,817
S01006756,734,727,717,758
S01006757,877,898,884,900
S01006758,691,672,674,684
S01006759,598,598,587,590
S01006760,484,475,461,453
S01006761,678,684,690,682
S01006762,842,907,984,1046
S01006763,850,855,884,860
S01006764,784,765,750,746
S01006765,557,555,552,546
S01006766,583,586,595,586
S01006767,685,676,683,676
S01006768,587,588,592,621
S01006769,965,978,964,930
S01006770,618,626,638,608
S01006771,448,442,431,418
S01006772,852,860,856,859
S01006773,858,880,885,900
S01006774,626,627,627,616
S01006775,650,654,667,713
S01006776,499,513,525,511
S01006777,660,665,664,670
S01006778,621,617,594,613
S01006779,609,595,584,582
S01006780,577,586,574,572
S01006781,689,696,692,688
S01006782,786,832,803,798
S01006783,664,643,619,624
S01006784,635,627,625,591
S01006785,594,605,607,614
S01006786,810,807,828,809
S01006787,622,633,623,629
S01006788,842,867,994,1263
S01006789,605,613,607,544
S01006790,890,890,881,886
S01006791,522,551,559,552
S01006792,510,509,483,455
S01006793,583,595,588,603
S01006794,546,527,557,563
S01006795,777,805,815,797
S01006796,681,742,797,860
S01006797,627,647,647,640
S01006798,624,617,638,653
S01006799,898,903,916,907
S01006800,850,833,878,882
S01006801,951,970,928,927
S01006802,707,744,744,747
S01006803,678,654,649,669
S01006804,780,801,809,806
S01006805,1148,1156,1155,1168
S01006806,1033,1030,1018,1013
S01006807,585,577,567,573
S01006808,658,645,674,699
S01006809,796,827,840,882
S01006810,869,883,866,854
S01006811,1116,1120,1134,1136
S01006812,831,889,885,870
S01006813,780,794,826,857
S01006814,806,819,799,792
S01006815,629,611,604,607
S01006816,779,780,762,774
S01006817,683,698,721,731
S01006818,759,760,776,773
S01006819,864,874,885,881
S01006820,443,427,425,419
S01006821,878,1084,1208,1310
S01006822,782,763,800,888
S01006823,721,746,714,711
S01006824,838,815,784,792
S01006825,798,784,772,758
S01006826,951,991,968,916
S01006827,881,903,908,891
S01006828,902,874,875,866
S01006829,434,420,417,428
S01006830,757,777,776,795
S01006831,540,531,530,526
S01006832,996,1024,1014,988
S01006833,444,487,483,496
S01006834,531,512,498,505
S01006835,776,785,809,790
S01006836,580,568,544,530
S01006837,594,582,583,572
S01006838,649,636,618,603
S01006839,998,971,994,1003
S01006840,1107,1166,1137,1113
S01006841,900,906,905,899
S01006842,785,773,765,752
S01006843,830,838,844,833
S01006844,662,631,618,614
S01006845,949,945,927,923
S01006846,555,536,540,535
S01006847,717,721,720,729
S01006848,1275,1477,1571,1617
S01006849,1435,1643,1922,1970
S01006850,927,935,940,926
S01006851,806,789,788,790
S01006852,596,603,586,574
S01006853,931,969,933,930
S01006854,863,861,825,853
S01006855,786,780,793,785
S01006856,706,712,723,713
S01006857,1037,1108,1146,1187
S01006858,663,660,648,640
S01006859,1041,1046,1031,1019
S01006860,542,557,562,571
S01006861,641,635,631,646
S01006862,709,712,691,662
S01006863,686,669,645,664
S01006864,513,532,536,542
S01006865,968,992,991,973
S01006866,567,549,557,532
S01006867,745,747,761,737
S01006868,875,858,843,839
S01006869,490,493,496,480
S01006870,490,510,505,470
S01006871,758,757,751,729
S01006872,823,888,930,920
S01006873,1037,1051,1025,1049
S01006874,596,576,588,592
S01006875,729,738,727,711
S01006876,959,979,987,988
S01006877,940,958,929,924
S01006878,691,745,738,736
S01006879,805,811,806,749
S01006880,596,618,649,661
S01006881,598,589,585,580
S01006882,421,423,414,400
S01006883,474,469,462,467
S01006884,873,902,849,853
S01006885,690,742,793,843
S01006886,779,823,863,850
S01006887,605,611,672,670
S01006888,815,818,811,810
S01006889,812,804,799,787
S01006890,662,671,660,638
S01006891,1021,1028,1038,1043
S01006892,607,602,596,590
S01006893,544,534,529,515
S01006894,929,952,927,922
S01006895,573,535,554,562
S01006896,840,850,832,807
S01006897,718,723,716,697
S01006898,781,797,816,796
S01006899,631,624,628,613
S01006900,575,563,557,532
S01006901,594,581,569,543
S01006902,676,616,611,602
S01006903,831,830,806,806
S01006904,717,781,791,793
S01006905,852,850,852,865
S01006906,835,823,799,796
S01006907,636,721,751,729
S01006908,817,814,827,845
S01006909,993,1087,1128,1143
S01006910,938,976,983,953
S01006911,817,805,806,815
S01006912,457,439,497,566
S01006913,623,657,763,972
S01006914,744,758,728,700
S01006915,830,824,850,854
S01006916,596,597,590,589
S01006917,1061,1070,1053,1073
S01006918,507,501,505,503
S01006919,455,469,466,460
S01006920,483,466,449,463
S01006921,833,830,822,802
S01006922,584,616,635,672
S01006923,800,783,808,805
S01006924,559,570,564,550
S01006925,489,480,481,475
S01006926,762,769,754,768
S01006927,1088,1128,1117,1140
S01006928,1053,1057,1074,1027
S01006929,834,842,816,834
S01006930,890,893,881,874
S01006931,404,384,386,379
S01006932,1037,1216,1315,1323
S01006933,558,541,533,541
S01006934,683,729,867,1018
S01006935,701,707,731,704
S01006936,636,625,611,593
S01006937,723,722,725,711
S01006938,516,500,488,478
S01006939,604,597,590,584
S01006940,927,911,873,878
S01006941,630,624,628,608
S01006942,1058,1054,1024,1008
S01006943,690,669,664,650
S01006944,1138,1199,1190,1226
S01006945,496,488,463,465
S01006946,819,813,792,765
S01006947,883,884,881,847
S01006948,863,865,858,844
S01006949,719,738,744,734
S01006950,630,639,632,620
S01006951,469,444,442,444
S01006952,817,807,766,811
S01006953,819,834,814,795
S01006954,849,847,838,831
S01006955,612,625,615,610
S01006956,1133,1134,1133,1134
S01006957,1136,1129,1139,1110
S01006958,890,924,1043,1156
S01006959,743,712,716,710
S01006960,987,1004,1025,1026
S01006961,1032,1000,992,978
S01006962,873,883,874,846
S01006963,661,660,654,655
S01006964,709,692,694,665
S01006965,488,504,494,496
S01006966,587,573,567,559
S01006967,624,617,601,595
S01006968,512,529,501,490
S01006969,915,901,869,848
S01006970,701,697,688,690
S01006971,482,501,487,474
S01006972,598,626,616,621
S01006973,536,529,571,648
S01006974,1059,1052,1015,990
S01006975,960,986,977,996
S01006976,450,452,455,462
S01006977,846,837,844,814
S01006978,874,903,917,933
S01006979,870,890,957,985
S01006980,871,853,900,902
S01006981,799,816,795,768
S01006982,933,921,918,892
S01006983,745,762,768,773
S01006984,722,777,779,824
S01006985,1001,987,970,943
S01006986,703,714,695,685
S01006987,689,705,710,700
S01006988,658,664,657,668
S01006989,1049,1077,1083,1048
S01006990,976,987,990,1005
S01006991,434,438,437,441
S01006992,614,608,607,607
S01006993,527,539,547,568
S01006994,569,556,573,573
S01006995,934,926,922,916
S01006996,870,897,877,891
S01006997,819,864,864,862
S01006998,1187,1288,1301,1283
S01006999,877,862,859,831
S01007000,980,1010,1009,1007
