"code","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"E01009510",136,109,133,146,139,125,122,88,71,81,52
"E01009511",159,230,158,134,135,142,123,97,71,54,88
"E01009493",88,71,74,120,96,111,76,49,75,87,85
"E01009486",141,136,115,119,97,100,71,94,75,81,85
"E01009487",106,125,103,91,97,85,108,87,51,49,71
"E01009488",156,141,129,100,131,133,94,67,76,72,67
"E01009489",91,93,75,88,91,91,77,87,91,56,60
"E01009490",209,190,223,157,204,181,180,98,135,83,79
"E01009491",137,136,75,86,74,66,79,68,55,44,61
"E01009492",105,109,88,115,112,118,88,89,67,101,72
"E01009494",101,93,81,76,63,84,75,55,52,65,59
"E01009495",97,97,118,131,112,104,80,50,41,49,47
"E01009496",96,87,91,64,60,65,55,36,53,65,38
"E01009497",216,195,181,211,162,134,99,123,126,103,131
"E01009498",141,137,99,107,66,107,97,101,75,76,73
"E01009499",128,114,214,208,239,210,166,154,159,134,134
"E01009500",131,113,109,150,145,225,151,123,88,74,85
"E01009501",167,164,182,176,166,194,195,196,173,149,112
"E01009502",113,95,123,120,151,112,123,104,76,76,78
"E01009503",108,159,150,135,106,166,143,67,55,61,36
"E01009504",56,55,51,93,63,81,52,70,57,70,50
"E01009505",139,125,84,146,80,103,86,67,71,69,61
"E01009506",44,73,39,38,37,49,41,37,33,71,60
"E01009507",162,137,230,157,133,89,112,82,84,97,54
"E01009508",117,91,95,71,85,82,65,63,41,71,43
"E01009509",250,198,238,193,182,165,195,122,143,150,127
"E01009066",146,109,107,83,87,74,83,88,61,74,66
"E01009067",84,73,47,47,40,38,58,34,26,51,53
"E01009068",383,305,285,209,221,210,216,185,156,178,177
"E01009069",287,232,256,150,179,130,181,163,127,136,116
"E01009070",78,50,58,39,43,67,56,51,46,52,41
"E01009071",213,132,148,103,102,89,78,73,46,75,67
"E01009072",137,121,94,72,92,62,79,70,54,61,77
"E01009073",120,111,110,119,84,139,124,111,68,75,59
"E01009074",144,135,147,108,128,156,104,94,45,82,60
"E01009075",100,68,78,59,64,71,70,49,48,60,64
"E01009077",83,99,51,54,73,80,65,44,57,63,65
"E01009078",158,159,96,114,130,131,119,118,119,77,76
"E01009079",204,153,202,191,154,133,157,104,75,105,102
"E01009080",114,105,120,143,84,99,94,57,40,46,37
"E01009081",100,103,131,112,81,77,78,51,40,48,46
"E01009082",153,151,171,159,151,158,125,91,76,70,88
"E01009083",164,162,165,150,140,93,117,101,59,133,153
"E01009084",47,58,46,46,55,39,46,58,33,43,31
"E01009085",55,49,53,49,46,33,45,58,42,31,32
"E01009086",86,86,83,76,102,107,87,111,79,60,54
"E01009087",159,151,111,76,83,84,88,62,57,59,70
"E01009088",169,93,57,97,67,101,64,69,52,55,43
"E01009089",70,52,49,49,31,44,40,48,47,41,52
"E01009146",924,708,533,481,384,387,325,367,259,369,419
"E01008907",130,130,94,101,86,87,52,41,55,63,57
"E01008913",168,152,148,160,145,130,93,113,100,73,105
"E01009152",115,76,79,78,72,90,98,67,70,79,75
"E01008925",42,44,46,26,39,27,30,39,47,27,29
"E01009153",358,315,304,213,212,213,188,161,170,172,153
"E01009216",140,143,184,109,149,146,129,91,111,78,62
"E01009221",145,149,179,163,139,138,128,75,129,106,90
"E01009222",100,133,98,98,134,131,64,81,80,55,58
"E01009223",303,305,272,288,218,269,249,206,290,276,235
"E01009230",129,145,133,130,80,124,73,72,111,66,71
"E01008996",89,68,59,53,62,68,53,57,32,45,52
"E01008881",223,208,215,186,174,189,182,109,124,119,88
"E01008882",196,135,111,127,97,99,73,98,74,81,60
"E01008883",151,127,153,127,96,151,138,146,130,85,66
"E01008884",344,232,249,206,143,224,160,149,157,144,112
"E01008885",95,82,82,63,67,82,122,92,83,61,59
"E01008886",248,279,221,193,160,162,131,110,79,70,75
"E01008887",247,159,170,142,134,110,96,105,83,60,47
"E01008888",149,142,120,103,130,133,76,56,61,53,70
"E01008889",358,344,258,174,188,217,233,209,198,204,154
"E01008890",136,129,110,81,108,104,73,89,65,60,58
"E01008891",63,48,62,53,54,60,47,61,29,43,43
"E01008892",117,82,73,55,50,58,50,46,37,50,39
"E01008893",98,112,90,54,51,74,68,62,52,59,43
"E01008894",278,230,237,210,205,194,184,182,126,158,114
"E01008895",86,78,97,80,83,82,89,75,62,61,57
"E01008896",167,147,94,88,64,92,87,65,68,59,52
"E01008897",142,135,104,97,75,87,85,64,67,64,60
"E01008898",179,125,127,152,101,112,113,104,79,55,75
"E01008899",417,384,290,246,242,166,175,154,125,157,168
"E01008901",231,201,168,155,142,147,136,96,94,106,132
"E01008905",147,104,91,78,69,50,46,46,53,57,53
"E01008906",99,104,68,44,72,58,41,26,56,45,37
"E01008909",126,96,109,93,94,76,85,49,58,55,63
"E01008910",254,196,199,190,147,120,105,92,95,96,99
"E01008911",112,63,72,76,62,62,72,57,50,48,71
"E01008914",506,349,376,326,253,254,290,265,210,265,196
"E01008915",120,143,110,94,104,88,93,58,53,70,72
"E01008916",76,94,97,76,51,68,74,67,42,54,69
"E01008917",38,51,34,32,22,36,33,32,51,39,37
"E01008918",151,130,125,123,131,106,97,88,98,71,75
"E01008919",108,119,111,103,105,92,87,70,46,91,69
"E01008920",87,95,95,108,62,75,76,59,79,62,59
"E01008921",112,127,87,64,69,65,83,59,66,54,95
"E01008923",81,113,110,93,94,79,94,92,70,78,45
"E01008924",147,144,133,84,62,102,91,97,91,78,89
"E01008927",73,74,104,63,50,52,75,83,94,84,54
"E01008928",112,110,106,82,109,63,81,91,87,68,56
"E01008929",128,106,143,148,77,102,88,73,64,81,58
"E01008930",134,53,95,62,55,72,60,48,53,66,75
"E01008931",110,95,86,70,79,80,65,44,77,53,39
"E01008932",102,105,107,72,132,87,68,68,49,64,50
"E01008933",49,64,44,47,69,26,39,31,34,38,30
"E01008934",46,35,37,35,32,24,43,22,28,37,26
"E01008935",126,156,114,112,125,122,98,77,78,67,98
"E01008936",86,87,95,74,55,52,46,56,51,49,68
"E01008937",95,103,65,72,77,80,110,67,39,68,43
"E01008938",74,109,93,75,68,66,70,55,67,52,54
"E01008939",103,139,73,58,60,81,66,43,37,49,56
"E01008940",113,137,146,72,110,92,109,96,59,93,83
"E01008941",59,121,130,82,72,85,69,71,54,66,53
"E01008942",82,92,74,91,35,53,56,49,40,33,37
"E01008943",135,182,152,102,76,86,80,80,75,68,68
