code,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
S11630501110526,50.95,65.85,39.46,13.7,35.84,7.69,33.33,26.79,14.56,41.86
S11630102101230,13.9,3.25,6.09,14.62,5.36,7.67,0,4.69,2.2,2.15
S11630102100708,2.34,4.7,14.18,9.57,9.64,21.23,2.36,19.51,9.93,9.71
S11630102100709,7.29,4.78,9.42,13.89,2.32,2.2,4.5,4.41,6.41,0
S11630202103003,17.73,13.31,48.83,13.51,4.39,17.7,13.27,9.01,0,4.46
S11630101100207,36.43,22.52,8.91,17.54,0,17.17,16.95,29.29,33.33,37.5
S11630202103401,24.46,6.93,17.19,16.95,23.41,10.07,3.4,16.78,0,15.92
S11630202103412,13.98,3.48,10.42,3.51,3.42,3.4,20.69,10.31,3.41,23.89
S11630303106027,29.96,32.22,46.95,80.65,142.86,97.22,84.97,37.38,55.56,46.38
S11630203103915,11.17,35.93,13.68,2.65,18.77,2.74,10.7,20.78,12.79,12.72
S11630302105611,31.45,26.97,15.11,18.52,7.27,7.02,28.37,6.94,17.12,26.14
S11630404110101,8.75,10.88,19.5,21.79,12.85,10.5,14.8,12.93,14.86,8.33
S11631305137706,10.84,8.05,13.29,26.11,31.09,10.42,18.28,25.13,17.54,7.43
S11630403109620,14.19,35.19,7.76,12.44,11.6,6.91,4.45,0,2.03,3.92
S11630403109717,8.41,14.63,18.7,12.45,4.04,10.16,14.34,20.53,10.08,11.76
S11630503112303,5.4,16.09,2.66,16.13,18.32,23.44,15.38,12.89,18.09,41.13
S11630103102134,3.82,0,7.61,15.21,15.38,11.28,18.59,3.79,15.04,11.36
S11630501110603,81.28,55.75,95.43,113.38,123.85,90.91,72.94,69.35,43.57,66.53
S11630503112108,32.26,20.5,14.63,5.81,17.34,17.49,20.83,11.7,31.7,40.23
S11630204104619,6.26,14.59,29.13,12.58,19.03,12.05,14.34,12.35,23.16,18.52
S11630503112109,40.13,15.26,19.04,34.62,30.59,7.5,29.91,20.22,28.46,26.77
S11630101100320,18.65,6.98,23.24,11.55,11.76,41,4.6,4.68,6.88,4.59
S11630101100114,9.72,13.67,7.84,7.84,3.99,4.02,7.77,2,14.08,6.1
S11630503112110,25.49,23.09,20.7,34.72,31.89,34.01,17.98,31.39,36.28,29.28
S11630101100333,3.5,3.47,3.45,6.97,3.38,6.73,6.76,3.29,10,13.38
S11630103101621,23.63,8.93,15.01,18.13,15.58,12.31,15.02,28.04,6.41,12.78
S11630301104708,12.86,6.17,5.92,2.85,13.97,13.23,2.55,4.84,19,11.88
S11630101100307,7.35,3.66,12.75,5.41,9.04,12.46,9.11,5.51,3.5,5.27
S11630101100308,16.13,3.25,9.84,3.29,6.69,3.4,10.14,6.78,17.42,6.94
S11630101100111,10.09,16.98,5.15,7.14,6.92,8.59,7.12,0,3.66,5.59
S11630101100112,16.72,37.31,12.34,24.59,8.23,27.78,39.68,7.75,11.76,15.87
S11630101100309,16.79,8.44,2.83,2.82,0,0,5.76,5.87,0,8.52
S11630101100113,15.15,12.12,9.09,9.15,3.06,5.95,12.27,3,6.06,6.13
S11630103101708,35.65,55.11,79.96,120.25,253.92,263.8,246.29,223.19,207.28,220.74
S11630103101817,10.83,66.01,40.98,30.19,26.92,42.47,28,74.69,29.05,36.89
S11630101100102,12.82,19.07,12.61,22.15,0,18.07,9.01,6.1,2.99,3.02
S11630101100115,8.45,6.34,19.04,6.47,6.44,16.6,6.19,6.33,2.15,2.16
S11630101100126,12.96,17.52,19.99,18.56,15.66,6.85,30.37,12.02,12.29,14.81
S11630101100124,19.18,14.26,14.13,18.87,4.59,9.22,18.1,13.45,17.78,4.48
S11630101100108,4.14,4.16,31.44,23.26,23.66,28.02,2.09,4.3,21.98,8.91
S11630101100109,27.69,11.55,23.41,15.46,15.25,31.2,12.5,22.81,18.28,18.55
S11630303106218,8.14,8.09,10.06,9.88,15.78,0,2.01,0,3.85,5.67
S11630301105004,7.39,21.79,40.45,30.02,13.79,4.57,18.26,15.15,6.42,12.74
S11630101100101,7.86,4.01,12.3,14.46,2.15,8.77,4.59,6.83,0,2.36
S11630101100103,4.88,16.34,22.97,13.27,13.61,9.88,11.31,6.55,15.28,24.26
S11630101100110,12.99,10.31,7.68,7.61,10.03,17.33,15,12.63,9.78,4.78
S11630101100104,10.88,11.09,18.11,32.71,16.87,4.71,9.57,5.04,2.62,13.3
S11630101100105,12.33,4.19,25.63,69.57,44.84,22.52,27.27,14.42,44.55,38.83
S11630101100106,0,7.31,11.09,18.94,3.75,15.33,3.89,15.5,0,4.05
S11630101100107,11.33,11.27,29.88,21.98,7.43,3.73,14.65,10.87,14.39,17.99
S11630101100116,43.94,19.37,21.1,62.88,78.95,54.44,122.74,186.18,102.8,126.61
S11630202102904,13.94,6.96,6.96,2.38,6.99,9.01,15.77,25.23,4.71,9.3
S11630202103418,22.92,22.76,31.09,34.19,16.81,32.7,13.44,2.73,8.33,26.88
S11631003128743,15.31,5.35,33.72,20.71,24.84,25.89,28.57,23.53,46.41,20.49
S11631003128744,29.22,13.49,27.41,19.55,24.86,28.41,26.87,31.06,24.77,20.59
S11631102130729,5.16,36.96,21.65,87.82,37.04,34.48,5.9,24.24,42.62,26.32
S11630303106216,0,2.7,5.4,13.4,13.37,2.76,5.51,8.2,21.51,10.84
S11630306107904,53.46,27.98,33.82,39.88,26.63,136.9,134.33,63.4,83.82,74.07
S11631102130730,3.37,8.86,26.25,12.35,21.98,3.86,0,0,13.91,6.24
S11630101100423,10.44,31.67,24.91,35.84,10.71,14.71,15.33,3.83,19.69,25.93
S11631106133628,41.76,54.16,50.59,61.98,120,124.74,81.97,92.78,157.33,134.96
S11630401108305,20.94,6.75,22.9,25,21.74,12.05,34.99,5.67,22.04,10.67
S11630101100332,7.9,5.22,5.17,25.51,15.27,10.15,10,7.48,4.89,2.44
S11630201102210,7.54,10.22,0,5.33,7.94,10.84,8.38,2.92,20.65,11.46
S11630102100731,14.95,13.37,15.14,11.71,32.59,15.57,5.15,12.05,3.6,8.61
S11630203103918,10.9,34.07,35.37,26.05,11.9,13.83,15.24,13.28,24.03,21.05
S11630204104610,26.2,22.36,28.35,22.47,28.63,70.1,58.59,53.51,41.59,46.93
S11630301104723,6.1,12.05,17.85,5.87,15.66,7.65,5.56,5.65,5.58,10.95
S11630501110927,38.07,18.99,56.83,24.39,18.96,22.73,22.83,23.36,28.3,4.74
S11630301104724,9.61,16.85,25.55,5.35,10.58,6.78,8.22,17.57,9.46,6.33
S11630301104725,11.35,0,18.34,25.09,7.19,13.89,3.5,3.45,13.33,9.93
S11630305107612,12.21,58.6,41.31,14.34,66.9,36.54,49.18,57.32,39.51,38.12
S11630204104417,7.33,36.38,3.61,7.14,10.71,17.73,10.42,10.49,17.06,58.62
S11630203104002,7.21,24.95,28.2,17.67,24.14,23.18,6.67,13.79,37.16,22.44
S11630301104911,6.91,16.95,9.98,16.39,15.72,3.14,9.4,12.38,11.83,5.83
S11630202103102,7.51,9.25,14.59,15.93,17.95,5.28,13.75,27.4,20.62,19.51
S11630301104912,12.46,21.36,11.96,30.12,11.53,13.93,8.02,24.06,13.4,8.04
S11630302105310,28.64,16.67,14.26,44.6,47.73,96.24,200.96,223.78,216.47,293.02
S11631403139107,14.01,13.81,16.35,13.51,13.23,20.46,23.32,44.62,45.57,19.56
S11631003128714,46.33,40.26,50.25,55.42,114.5,146.91,70.68,65.16,82.52,55.43
S11630204104130,28.44,23.11,8.89,15.9,17.95,13.99,19.75,19.71,1.76,10.62
S11630306107712,3.05,21.34,21.31,24.77,18.18,8.77,30.3,40,36.7,38.81
S11630502111511,47.86,23.85,23.76,32.93,23.81,40.58,25.71,26.47,28.99,32.26
S11630204104131,14.39,25.59,27.2,30.4,20.93,7.91,12.88,14.54,15.95,16.05
S11631403139417,5.37,5.35,10.66,0,10.42,15.71,5.35,26.88,5.21,5.1
S11631305137807,32.38,25.13,17.91,10.64,21.28,21.82,25.09,13.94,3.53,10.6
S11630101100319,10.92,18.76,7.89,10.34,17.46,20.2,25.06,7.23,14.15,4.66
S11630204104132,13.58,6.74,13.4,0,3.26,13.11,16.18,19.8,16.18,25.56
S11630204104532,0,0,0,NA,0,0,33.33,12.5,10,36.23
