code,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11
S01009758,10,18,18,18,14,18,12,12,14,9,8
S01009759,59,61,46,50,53,65,55,37,52,49,36
S01009760,61,46,68,71,78,56,41,19,23,31,28
S01009761,26,32,32,29,34,20,15,9,17,26,34
S01009762,44,49,56,31,55,43,25,36,28,28,30
S01009763,10,2,11,10,9,14,12,27,12,15,22
S01009764,84,49,31,31,38,41,43,22,14,22,20
S01009765,61,56,60,31,46,43,38,16,21,24,21
S01009766,43,31,23,20,28,23,32,25,11,26,18
S01009767,110,150,108,102,74,106,111,107,72,71,77
S01009768,37,38,39,51,45,29,43,29,22,25,13
S01009769,67,59,53,49,41,41,44,55,31,69,71
S01009770,23,16,11,10,11,18,21,14,13,17,11
S01009771,17,71,21,12,23,23,14,11,5,18,20
S01009772,5,19,14,20,25,21,13,16,16,19,14
S01009773,0,0,0,0,0,5,8,7,13,13,20
S01009774,0,0,0,0,0,0,0,12,12,10,7
S01009775,174,177,115,150,106,93,206,397,387,464,470
S01009776,27,58,50,51,49,98,31,36,37,25,20
S01009777,32,31,20,35,20,37,36,30,28,36,23
S01009778,47,49,58,50,47,35,39,47,35,31,31
S01009779,61,51,49,51,64,58,46,54,44,44,36
S01009780,100,87,46,96,74,65,26,27,49,41,28
S01009781,21,29,39,50,60,28,28,17,19,37,38
S01009782,75,45,31,54,39,59,59,16,39,25,23
S01009783,24,30,37,48,62,66,42,41,38,32,19
S01009784,67,70,34,31,48,41,36,39,40,35,36
S01009785,83,86,62,68,59,57,49,53,45,66,34
S01009786,55,43,48,49,45,54,57,48,54,51,36
S01009787,43,47,33,49,57,25,40,52,46,24,43
S01009788,24,26,26,25,20,19,40,27,30,23,20
S01009789,65,36,45,54,33,48,37,24,40,34,26
S01009790,28,24,25,21,22,19,23,17,32,26,14
S01009791,76,36,41,53,45,48,36,42,35,28,32
S01009792,2,9,13,12,7,14,12,16,10,13,22
S01009793,18,15,31,31,16,19,31,18,26,15,27
S01009794,13,23,30,34,12,20,21,30,13,17,30
S01009795,10,12,26,23,14,18,25,26,18,14,13
S01009796,7,4,4,8,7,17,13,10,9,6,23
S01009797,26,42,36,44,26,33,60,27,35,59,27
S01009798,18,20,29,26,16,13,20,16,13,19,15
S01009799,44,49,40,89,55,51,54,61,61,39,48
S01009800,78,79,57,116,79,80,65,59,66,62,39
S01009801,44,40,28,37,53,35,40,26,31,19,19
S01009802,77,32,46,44,31,28,40,37,33,22,36
S01009803,42,75,48,49,44,44,30,35,46,22,26
S01009804,32,23,24,28,16,33,17,14,13,16,16
S01009805,76,75,59,53,48,48,48,44,56,37,36
S01009806,178,109,85,109,88,132,124,128,76,62,59
S01009807,44,35,33,45,44,62,62,40,46,41,36
S01009808,88,42,45,85,57,68,64,63,71,61,61
S01009809,26,14,25,27,22,21,17,17,17,22,16
S01009810,22,32,40,21,41,38,15,17,25,23,24
S01009811,47,47,37,40,54,52,24,31,24,27,38
S01009812,24,22,13,32,32,27,20,19,18,11,15
S01009813,19,18,21,15,29,21,21,11,12,9,30
S01009814,46,69,52,46,32,84,83,49,52,45,50
S01009815,29,9,20,29,16,23,29,33,16,18,15
S01009816,25,24,21,33,34,30,39,24,21,12,17
S01009817,31,24,26,26,21,21,9,8,19,10,27
S01009818,50,39,52,40,44,37,22,33,59,52,51
S01009819,140,71,94,90,72,74,80,75,75,61,64
S01009820,116,52,78,88,92,62,55,88,103,74,93
S01009821,23,14,26,50,38,33,30,26,20,18,28
S01009822,14,8,16,16,9,14,19,18,11,10,7
S01009823,19,21,15,19,23,45,17,26,19,21,17
S01009824,23,27,16,23,26,21,22,31,18,16,8
S01009825,50,38,38,46,46,53,46,46,31,32,29
