"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"S11630501110526","0","17","21","12","4","10","2","8","6","3","9","2"
"S11630102101230","0","4","1","2","5","2","3","0","2","1","1","1"
"S11630102100708","0","1","2","6","4","4","9","1","8","4","4","0"
"S11630102100709","0","3","2","4","6","1","1","2","2","3","0","0"
"S11630202103003","0","4","3","11","3","1","4","3","2","0","1","3"
"S11630101100207","0","8","5","2","4","0","4","4","7","8","9","5"
"S11630202103401","0","7","2","5","5","7","3","1","5","0","5","2"
"S11630202103412","0","4","1","3","1","1","1","6","3","1","7","4"
"S11630303106027","0","6","7","11","20","38","28","26","12","19","16","6"
"S11630203103915","0","4","13","5","1","7","1","4","8","5","5","2"
"S11630302105611","0","8","7","4","5","2","2","8","2","5","8","2"
"S11630404110101","0","4","5","9","10","6","5","7","6","7","4","5"
"S11631305137706","0","4","3","5","10","12","4","7","10","7","3","0"
"S11630403109620","0","5","13","3","5","5","3","2","0","1","2","1"
"S11630403109717","1","4","7","9","6","2","5","7","10","5","6","0"
"S11630503112303","0","2","6","1","6","7","9","6","5","7","16","2"
"S11630103102134","0","1","0","2","4","4","3","5","1","4","3","0"
"S11630501110603","0","33","23","40","50","54","39","31","31","20","32","12"
"S11630503112108","0","11","7","5","2","6","6","7","4","11","14","1"
"S11630204104619","0","3","7","14","6","9","6","7","6","11","9","5"
"S11630503112109","0","21","8","10","18","16","4","16","11","15","14","11"
"S11630101100320","0","8","3","10","5","5","18","2","2","3","2","4"
"S11630101100114","0","5","7","4","4","2","2","4","1","7","3","3"
"S11630503112110","0","11","10","9","15","14","15","8","14","16","13","7"
"S11630101100333","0","1","1","1","2","1","2","2","1","3","4","0"
"S11630103101621","0","8","3","5","6","5","4","5","9","2","4","5"
"S11630301104708","0","4","2","2","1","5","5","1","2","8","5","3"
"S11630101100307","0","4","2","7","3","5","7","5","3","2","3","3"
"S11630101100308","0","5","1","3","1","2","1","3","2","5","2","3"
"S11630101100111","0","6","10","3","4","4","5","4","0","2","3","4"
"S11630101100112","0","4","9","3","6","2","7","10","2","3","4","9"
